Date,Open,High,Low,Close,Adj Close,Volume
2023-06-16,5.690000,5.750000,4.270000,4.430000,4.430000,954600
2023-06-20,5.830000,6.200000,4.300000,4.480000,4.480000,7634300
2023-06-21,4.600000,4.740000,4.200000,4.360000,4.360000,740000
2023-06-22,4.310000,4.510000,3.880000,4.140000,4.140000,391100
2023-06-23,4.030000,4.080000,3.800000,3.980000,3.980000,290700
2023-06-26,3.810000,3.890000,3.490000,3.500000,3.500000,143500
2023-06-27,3.310000,3.620000,3.120000,3.230000,3.230000,203400
2023-06-28,3.190000,3.950000,3.030000,3.780000,3.780000,502100
2023-06-29,3.630000,3.740000,3.560000,3.610000,3.610000,252600
2023-06-30,3.560000,3.730000,3.190000,3.250000,3.250000,171600
2023-07-03,3.130000,3.355000,3.100000,3.200000,3.200000,103700
2023-07-05,3.240000,3.330000,3.010000,3.279000,3.279000,56700
2023-07-06,3.220000,3.390000,3.100000,3.170000,3.170000,97400
2023-07-07,3.170000,3.500000,3.070000,3.110000,3.110000,228600
2023-07-10,3.150000,3.200000,3.030000,3.050000,3.050000,109900
2023-07-11,3.060000,3.110000,2.810000,2.868000,2.868000,80100
2023-07-12,2.920000,2.930000,2.540000,2.630000,2.630000,125500
2023-07-13,2.590000,3.280000,2.590000,3.100000,3.100000,327800
2023-07-14,3.180000,3.290000,3.030000,3.110000,3.110000,75400
2023-07-17,3.110000,3.320000,3.110000,3.200000,3.200000,58100
2023-07-18,3.180000,3.230000,2.790000,2.910000,2.910000,145100
2023-07-19,2.880000,3.078000,2.800000,3.020000,3.020000,54100
2023-07-20,3.060000,3.138000,2.925000,2.990000,2.990000,47500
2023-07-21,3.070000,3.090000,2.950000,3.000000,3.000000,21000
2023-07-24,3.060000,3.060000,2.910000,2.910000,2.910000,42500
2023-07-25,2.950000,3.050000,2.890000,2.930000,2.930000,13600
2023-07-26,2.950000,3.000000,2.900000,2.940000,2.940000,23200
2023-07-27,2.920000,3.010000,2.810000,2.860000,2.860000,51000
