Date,Open,High,Low,Close,Adj Close,Volume
2000-08-04,20.468750,25.187500,19.187500,23.062500,22.308197,9184900
2000-08-07,23.125000,24.750000,22.500000,23.875000,23.094130,1006600
2000-08-08,23.625000,26.359375,23.625000,25.000000,24.182323,483700
2000-08-09,25.125000,25.625000,25.000000,25.375000,24.545061,487200
2000-08-10,24.937500,25.125000,24.500000,24.750000,23.940504,767000
2000-08-11,24.500000,24.625000,23.875000,24.375000,23.577768,157200
2000-08-14,24.250000,24.875000,24.000000,24.625000,23.819593,349900
2000-08-15,24.875000,25.312500,24.625000,25.187500,24.363697,41200
2000-08-16,25.062500,26.250000,24.687500,26.250000,25.391447,401500
2000-08-17,26.000000,26.250000,23.125000,24.500000,23.698683,727900
2000-08-18,24.125000,25.125000,24.125000,24.875000,24.061415,316200
2000-08-21,24.875000,28.812500,24.875000,28.750000,27.809675,381800
2000-08-22,28.750000,32.125000,28.000000,31.937500,30.892925,240200
2000-08-23,31.625000,32.500000,28.625000,30.500000,29.502441,481900
2000-08-24,30.500000,37.625000,30.500000,37.625000,36.394417,158200
2000-08-25,36.187500,39.000000,36.125000,38.000000,36.757145,200000
2000-08-28,39.000000,39.562500,37.562500,38.000000,36.757145,42400
2000-08-29,38.500000,38.500000,37.000000,37.562500,36.333946,136000
2000-08-30,37.375000,38.250000,36.500000,38.125000,36.878048,271300
2000-08-31,38.250000,51.375000,38.125000,50.250000,48.606487,503900
2000-09-01,49.437500,49.500000,46.250000,46.562500,45.039585,377000
2000-09-05,46.500000,46.500000,43.375000,44.500000,43.044533,398100
2000-09-06,44.000000,44.250000,37.500000,37.750000,36.515320,245000
2000-09-07,38.406250,38.500000,37.125000,37.875000,36.636227,98100
2000-09-08,37.500000,37.500000,31.875000,34.000000,32.887974,252300
2000-09-11,34.562500,34.562500,33.000000,33.062500,31.981121,18000
2000-09-12,33.500000,36.250000,33.500000,34.000000,32.887974,171900
2000-09-13,34.968750,36.250000,33.750000,34.000000,32.887974,217100
2000-09-14,34.000000,36.000000,33.968750,35.062500,33.915714,314600
2000-09-15,35.093750,35.093750,34.000000,34.250000,33.129784,15400
2000-09-18,34.000000,34.500000,28.750000,29.375000,28.414236,37900
2000-09-19,29.750000,30.375000,29.625000,29.875000,28.897884,183300
2000-09-20,29.125000,29.875000,27.000000,27.500000,26.600561,242100
2000-09-21,27.500000,28.875000,27.125000,28.750000,27.809675,238700
2000-09-22,28.500000,32.750000,27.500000,32.750000,31.678848,75300
2000-09-25,32.562500,34.625000,31.500000,33.000000,31.920677,67500
