Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,1.552083,1.572917,1.510417,1.531250,0.970834,2090400
1990-01-03,1.531250,1.541667,1.489583,1.489583,0.944416,1284000
1990-01-04,1.489583,1.510417,1.468750,1.489583,0.944416,2674800
1990-01-05,1.489583,1.489583,1.447917,1.458333,0.924603,2228400
1990-01-08,1.458333,1.458333,1.406250,1.437500,0.911394,2005200
1990-01-09,1.437500,1.447917,1.406250,1.416667,0.898186,861600
1990-01-10,1.416667,1.437500,1.406250,1.416667,0.898186,542400
1990-01-11,1.416667,1.458333,1.395833,1.416667,0.898186,866400
1990-01-12,1.395833,1.395833,1.333333,1.354167,0.858561,694800
1990-01-15,1.354167,1.354167,1.322917,1.333333,0.845351,1179600
1990-01-16,1.333333,1.354167,1.291667,1.354167,0.858561,640800
1990-01-17,1.354167,1.364583,1.343750,1.343750,0.851956,1072800
1990-01-18,1.343750,1.354167,1.322917,1.343750,0.851956,284400
1990-01-19,1.343750,1.354167,1.322917,1.333333,0.845351,532800
1990-01-22,1.333333,1.343750,1.302083,1.322917,0.838747,1012800
1990-01-23,1.322917,1.333333,1.291667,1.302083,0.825539,400800
1990-01-24,1.302083,1.302083,1.260417,1.260417,0.799122,906000
1990-01-25,1.270833,1.302083,1.270833,1.302083,0.825539,1819200
1990-01-26,1.302083,1.343750,1.281250,1.291667,0.818934,1411200
1990-01-29,1.291667,1.322917,1.260417,1.260417,0.799122,708000
1990-01-30,1.260417,1.281250,1.229167,1.250000,0.792518,1710000
1990-01-31,1.250000,1.270833,1.197917,1.260417,0.799122,1857600
1990-02-01,1.260417,1.302083,1.260417,1.270833,0.805725,964800
1990-02-02,1.270833,1.322917,1.270833,1.302083,0.825539,459600
1990-02-05,1.302083,1.322917,1.291667,1.291667,0.818934,673200
1990-02-06,1.291667,1.322917,1.291667,1.302083,0.825539,750000
1990-02-07,1.302083,1.333333,1.291667,1.322917,0.838747,2308800
1990-02-08,1.322917,1.385417,1.322917,1.364583,0.865164,2370000
1990-02-09,1.364583,1.364583,1.343750,1.343750,0.851956,405600
1990-02-12,1.343750,1.364583,1.343750,1.354167,0.858561,132000
1990-02-13,1.354167,1.375000,1.333333,1.343750,0.851956,822000
1990-02-14,1.343750,1.343750,1.322917,1.333333,0.845351,1144800
1990-02-15,1.333333,1.343750,1.302083,1.333333,0.845351,241200
1990-02-16,1.333333,1.354167,1.322917,1.354167,0.858561,502800
1990-02-20,1.333333,1.333333,1.291667,1.322917,0.838747,772800
1990-02-21,1.322917,1.333333,1.281250,1.333333,0.845351,806400
1990-02-22,1.333333,1.354167,1.291667,1.302083,0.825539,1111200
1990-02-23,1.302083,1.322917,1.281250,1.291667,0.818934,2072400
1990-02-26,1.291667,1.302083,1.260417,1.281250,0.812330,1105200
1990-02-27,1.281250,1.281250,1.260417,1.270833,0.805725,91200
1990-02-28,1.270833,1.281250,1.270833,1.281250,0.812330,130800
1990-03-01,1.281250,1.302083,1.281250,1.291667,0.818934,152400
1990-03-02,1.291667,1.322917,1.281250,1.322917,0.838747,549600
1990-03-05,1.322917,1.322917,1.270833,1.291667,0.818934,336000
1990-03-06,1.291667,1.291667,1.270833,1.281250,0.812330,265200
1990-03-07,1.291667,1.322917,1.291667,1.291667,0.818934,301200
1990-03-08,1.302083,1.322917,1.302083,1.322917,0.838747,734400
1990-03-09,1.322917,1.322917,1.291667,1.291667,0.818934,192000
1990-03-12,1.291667,1.322917,1.291667,1.291667,0.818934,723600
1990-03-13,1.291667,1.322917,1.291667,1.322917,0.838747,320400
1990-03-14,1.322917,1.364583,1.322917,1.343750,0.851956,1110000
1990-03-15,1.343750,1.375000,1.333333,1.333333,0.845351,846000
1990-03-16,1.343750,1.364583,1.343750,1.343750,0.851956,164400
1990-03-19,1.343750,1.364583,1.333333,1.354167,0.858561,438000
1990-03-20,1.354167,1.354167,1.333333,1.333333,0.845351,346800
1990-03-21,1.333333,1.333333,1.302083,1.322917,0.838747,1209600
1990-03-22,1.322917,1.333333,1.302083,1.333333,0.845351,2036400
1990-03-23,1.333333,1.343750,1.302083,1.343750,0.851956,358800
1990-03-26,1.343750,1.343750,1.302083,1.302083,0.825539,2242800
1990-03-27,1.312500,1.322917,1.312500,1.322917,0.838747,1168800
1990-03-28,1.333333,1.343750,1.312500,1.343750,0.851956,794400
1990-03-29,1.343750,1.354167,1.322917,1.333333,0.845351,90000
1990-03-30,1.343750,1.375000,1.322917,1.364583,0.865164,1112400
1990-04-02,1.333333,1.354167,1.333333,1.354167,0.858561,225600
1990-04-03,1.354167,1.375000,1.354167,1.354167,0.858561,1183200
1990-04-04,1.364583,1.375000,1.354167,1.354167,0.858561,500400
1990-04-05,1.354167,1.375000,1.354167,1.375000,0.871769,160800
1990-04-06,1.375000,1.375000,1.354167,1.354167,0.858561,21600
1990-04-09,1.375000,1.427083,1.364583,1.416667,0.898186,992400
1990-04-10,1.406250,1.416667,1.406250,1.416667,0.898186,216000
1990-04-11,1.416667,1.416667,1.406250,1.416667,0.898186,258000
1990-04-12,1.416667,1.427083,1.406250,1.427083,0.904790,434400
1990-04-16,1.437500,1.447917,1.416667,1.427083,0.904790,650400
1990-04-17,1.427083,1.437500,1.406250,1.406250,0.891582,205200
1990-04-18,1.406250,1.437500,1.364583,1.364583,0.865164,980400
1990-04-19,1.385417,1.385417,1.354167,1.354167,0.858561,643200
1990-04-20,1.354167,1.375000,1.354167,1.364583,0.865164,380400
1990-04-23,1.343750,1.364583,1.333333,1.364583,0.865164,620400
1990-04-24,1.354167,1.375000,1.354167,1.354167,0.858561,55200
1990-04-25,1.375000,1.375000,1.333333,1.333333,0.845351,454800
1990-04-26,1.416667,1.447917,1.395833,1.427083,0.904790,3702000
1990-04-27,1.437500,1.458333,1.416667,1.437500,0.911394,596400
1990-04-30,1.447917,1.458333,1.437500,1.447917,0.918000,582000
1990-05-01,1.458333,1.458333,1.437500,1.447917,0.918000,547200
1990-05-02,1.437500,1.447917,1.406250,1.406250,0.891582,550800
1990-05-03,1.406250,1.416667,1.395833,1.406250,0.891582,165600
1990-05-04,1.406250,1.427083,1.395833,1.427083,0.904790,228000
1990-05-07,1.406250,1.458333,1.406250,1.458333,0.924603,334800
1990-05-08,1.458333,1.520833,1.447917,1.479167,0.937812,1387200
1990-05-09,1.489583,1.510417,1.479167,1.510417,0.957625,722400
1990-05-10,1.510417,1.531250,1.489583,1.489583,0.944416,858000
1990-05-11,1.510417,1.541667,1.500000,1.531250,0.974651,1470000
1990-05-14,1.531250,1.541667,1.510417,1.510417,0.961390,2134800
1990-05-15,1.500000,1.520833,1.489583,1.520833,0.968019,1053600
1990-05-16,1.500000,1.520833,1.500000,1.500000,0.954759,643200
1990-05-17,1.520833,1.520833,1.500000,1.520833,0.968019,146400
1990-05-18,1.510417,1.520833,1.510417,1.510417,0.961390,170400
1990-05-21,1.510417,1.541667,1.510417,1.531250,0.974651,792000
1990-05-22,1.541667,1.572917,1.520833,1.572917,1.001171,613200
1990-05-23,1.583333,1.604167,1.562500,1.562500,0.994541,807600
1990-05-24,1.583333,1.583333,1.562500,1.583333,1.007801,418800
1990-05-25,1.562500,1.583333,1.562500,1.572917,1.001171,504000
1990-05-29,1.583333,1.583333,1.552083,1.572917,1.001171,110400
1990-05-30,1.583333,1.583333,1.552083,1.572917,1.001171,280800
1990-05-31,1.572917,1.572917,1.531250,1.531250,0.974651,703200
1990-06-01,1.531250,1.604167,1.531250,1.604167,1.021062,1341600
1990-06-04,1.604167,1.666667,1.583333,1.666667,1.060844,1142400
1990-06-05,1.645833,1.666667,1.625000,1.656250,1.054213,801600
1990-06-06,1.666667,1.666667,1.614583,1.635417,1.040953,394800
1990-06-07,1.645833,1.645833,1.635417,1.645833,1.047583,256800
1990-06-08,1.645833,1.645833,1.614583,1.635417,1.040953,669600
1990-06-11,1.635417,1.718750,1.614583,1.718750,1.093995,1233600
1990-06-12,1.729167,1.739583,1.656250,1.687500,1.074104,1238400
