Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,9.830000,9.830000,9.830000,9.830000,9.830000,134600
2022-01-10,9.830000,9.840000,9.820000,9.830000,9.830000,1450100
2022-01-11,9.830000,9.840000,9.830000,9.840000,9.840000,495400
2022-01-12,9.830000,9.840000,9.830000,9.830000,9.830000,631700
2022-01-13,9.840000,9.850000,9.830000,9.830000,9.830000,29900
2022-01-14,9.850000,9.850000,9.830000,9.830000,9.830000,500
2022-01-18,9.840000,9.860000,9.830000,9.830000,9.830000,472200
2022-01-19,9.860000,9.860000,9.840000,9.840000,9.840000,15300
2022-01-20,9.840000,9.840000,9.830000,9.830000,9.830000,1000
2022-01-21,9.830000,9.830000,9.830000,9.830000,9.830000,0
2022-01-24,9.850000,9.851000,9.830000,9.850000,9.850000,411200
2022-01-25,9.830000,9.830000,9.830000,9.830000,9.830000,3000
2022-01-26,9.830000,9.830000,9.830000,9.830000,9.830000,0
2022-01-27,9.821000,9.821000,9.821000,9.821000,9.821000,200
2022-01-28,10.000000,10.000000,9.820000,9.820000,9.820000,1000
2022-01-31,9.870000,9.870000,9.870000,9.870000,9.870000,100
2022-02-01,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-02,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-03,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-04,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-07,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-08,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-09,9.870000,9.890000,9.850000,9.870000,9.870000,150700
2022-02-10,9.870000,9.870000,9.870000,9.870000,9.870000,400
2022-02-11,9.870000,9.870000,9.870000,9.870000,9.870000,400
2022-02-14,9.880000,9.880000,9.870000,9.870000,9.870000,300
2022-02-15,9.890000,9.910000,9.890000,9.890000,9.890000,603000
2022-02-16,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-02-17,9.880000,9.880000,9.870000,9.870000,9.870000,77700
2022-02-18,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-22,9.880000,9.880000,9.860000,9.870000,9.870000,235000
2022-02-23,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-24,9.870000,9.870000,9.870000,9.870000,9.870000,157200
2022-02-25,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-02-28,9.880000,9.880000,9.870000,9.870000,9.870000,708000
2022-03-01,9.870000,9.870000,9.870000,9.870000,9.870000,0
2022-03-02,9.880000,9.880000,9.880000,9.880000,9.880000,174200
2022-03-03,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-03-04,9.890000,9.890000,9.880000,9.890000,9.890000,31900
2022-03-07,9.880000,9.880000,9.880000,9.880000,9.880000,100
2022-03-08,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-03-09,9.880000,9.880000,9.880000,9.880000,9.880000,0
2022-03-10,9.890000,9.890000,9.890000,9.890000,9.890000,600
2022-03-11,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-03-14,9.890000,9.890000,9.890000,9.890000,9.890000,0
2022-03-15,9.900000,9.900000,9.890000,9.900000,9.900000,24900
2022-03-16,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-17,9.900000,9.900000,9.900000,9.900000,9.900000,300
2022-03-18,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-21,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-22,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-23,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-24,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-25,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-28,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-29,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-30,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-03-31,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-04-01,9.900000,9.900000,9.900000,9.900000,9.900000,0
2022-04-04,9.910000,9.910000,9.910000,9.910000,9.910000,2800
2022-04-05,10.000000,10.000000,10.000000,10.000000,10.000000,500
2022-04-06,10.000000,10.000000,10.000000,10.000000,10.000000,0
2022-04-07,9.910000,9.940000,9.910000,9.940000,9.940000,700
2022-04-08,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-04-11,9.940000,9.940000,9.940000,9.940000,9.940000,0
2022-04-12,9.950000,9.950000,9.950000,9.950000,9.950000,400
2022-04-13,9.960000,9.960000,9.960000,9.960000,9.960000,300
2022-04-14,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-18,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-19,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-20,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-21,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-22,9.960000,9.960000,9.960000,9.960000,9.960000,0
2022-04-25,9.960000,9.960000,9.960000,9.960000,9.960000,300000
2022-04-26,9.960000,9.960000,9.960000,9.960000,9.960000,0
