Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,17.000000,17.000000,16.666668,17.000000,3.290412,12450
1990-01-03,17.000000,17.166668,17.000000,17.083332,3.306541,7500
1990-01-04,17.166668,17.166668,16.833332,17.000000,3.290412,11700
1990-01-05,16.833332,16.833332,16.833332,16.833332,3.258152,3300
1990-01-08,16.583332,16.666668,16.500000,16.666668,3.246465,11700
1990-01-09,16.666668,16.666668,16.500000,16.500000,3.214002,11400
1990-01-10,16.666668,16.666668,16.416668,16.500000,3.214002,4350
1990-01-11,16.500000,16.666668,16.500000,16.583332,3.230232,10500
1990-01-12,16.500000,16.500000,16.166668,16.166668,3.149071,7050
1990-01-15,15.833333,15.833333,15.583333,15.583333,3.035446,17850
1990-01-16,15.583333,15.666667,15.583333,15.666667,3.051676,91500
1990-01-17,15.833333,16.000000,15.666667,15.916667,3.100375,15300
1990-01-18,16.083332,16.166668,16.000000,16.083332,3.132838,4350
1990-01-19,16.166668,16.333332,16.166668,16.166668,3.149071,3750
1990-01-22,16.250000,16.333332,15.666667,15.833333,3.084143,4050
1990-01-23,15.750000,15.833333,15.666667,15.750000,3.067909,3000
1990-01-24,15.583333,15.583333,15.333333,15.333333,2.986749,10800
1990-01-25,15.250000,15.333333,15.083333,15.250000,2.970517,57000
1990-01-26,15.333333,15.333333,14.666667,14.833333,2.889353,25200
1990-01-29,14.750000,15.166667,14.750000,14.916667,2.905586,6750
1990-01-30,15.000000,15.000000,14.583333,14.916667,2.905586,30600
1990-01-31,15.000000,15.166667,14.500000,14.666667,2.856890,30450
1990-02-01,14.833333,15.000000,14.833333,15.000000,2.921819,5850
1990-02-02,15.000000,15.166667,14.833333,15.000000,2.921819,8400
1990-02-05,15.083333,15.250000,15.000000,15.250000,2.970517,10500
1990-02-06,15.333333,15.416667,15.250000,15.250000,2.970517,2850
1990-02-07,15.333333,15.666667,15.333333,15.583333,3.035446,70650
1990-02-08,15.750000,16.000000,15.750000,16.000000,3.116606,111000
1990-02-09,16.000000,16.083332,15.833333,16.083332,3.132838,8700
1990-02-12,16.000000,16.000000,15.666667,15.666667,3.051676,7350
1990-02-13,15.666667,15.666667,15.500000,15.500000,3.019212,60750
1990-02-14,15.500000,15.500000,15.250000,15.250000,2.970517,4800
1990-02-15,15.083333,15.250000,14.916667,15.250000,2.970517,4050
1990-02-16,15.333333,15.500000,15.333333,15.500000,3.019212,5550
1990-02-20,15.583333,15.666667,15.333333,15.666667,3.051676,10050
1990-02-21,15.500000,15.666667,15.500000,15.666667,3.051676,3150
1990-02-22,15.666667,15.666667,15.583333,15.583333,3.035446,2850
1990-02-23,15.500000,15.833333,15.500000,15.750000,3.067909,5250
1990-02-26,15.583333,15.666667,15.500000,15.500000,3.019212,3600
1990-02-27,15.500000,15.833333,15.500000,15.750000,3.067909,10950
1990-02-28,15.666667,15.666667,15.333333,15.500000,3.019212,5400
1990-03-01,15.333333,15.500000,15.333333,15.500000,3.019212,2550
1990-03-02,15.333333,15.416667,15.250000,15.333333,2.986749,2400
1990-03-05,15.166667,15.583333,15.166667,15.583333,3.035446,18000
1990-03-06,15.500000,15.666667,15.333333,15.333333,2.986749,4350
1990-03-07,15.416667,15.750000,15.333333,15.750000,3.067909,22500
1990-03-08,15.833333,15.916667,15.833333,15.916667,3.100375,1050
1990-03-09,16.000000,16.000000,15.916667,16.000000,3.116606,6900
1990-03-12,16.083332,16.083332,16.000000,16.000000,3.116606,1950
1990-03-13,15.833333,15.833333,15.666667,15.833333,3.084143,6750
1990-03-14,15.750000,16.000000,15.750000,16.000000,3.116606,7800
1990-03-15,15.833333,15.916667,15.583333,15.916667,3.100375,8400
1990-03-16,15.916667,15.916667,15.666667,15.666667,3.051676,7350
1990-03-19,15.833333,15.833333,15.333333,15.416667,3.002981,12300
1990-03-20,15.500000,15.500000,15.416667,15.416667,3.002981,450
1990-03-21,15.583333,16.000000,15.500000,16.000000,3.116606,8850
1990-03-22,15.833333,15.833333,15.333333,15.666667,3.051676,8850
