Date,Open,High,Low,Close,Adj Close,Volume
1990-08-17,1.750000,1.875000,1.750000,1.812500,1.596394,17904800
1990-08-20,1.812500,1.906250,1.781250,1.875000,1.651442,2821600
1990-08-21,1.843750,1.937500,1.812500,1.890625,1.665204,5016000
1990-08-22,1.968750,2.031250,1.875000,1.968750,1.734015,642400
1990-08-23,2.000000,2.000000,1.843750,1.875000,1.651442,2606400
1990-08-24,1.968750,1.968750,1.843750,1.906250,1.678966,767200
1990-08-27,1.968750,2.062500,1.906250,2.046875,1.802824,531200
1990-08-28,2.062500,2.062500,1.968750,2.015625,1.775300,600800
1990-08-29,2.031250,2.062500,1.968750,1.968750,1.734015,464800
1990-08-30,1.968750,2.015625,1.937500,2.015625,1.775300,268000
1990-08-31,1.937500,2.031250,1.937500,1.968750,1.734015,720800
1990-09-04,2.031250,2.031250,1.937500,1.937500,1.706490,196800
1990-09-05,1.968750,2.000000,1.968750,1.968750,1.734015,9600
1990-09-06,1.968750,2.093750,1.968750,2.031250,1.789062,916000
1990-09-07,2.031250,2.031250,2.000000,2.015625,1.775300,164000
1990-09-10,2.000000,2.031250,2.000000,2.031250,1.789062,365600
1990-09-11,2.031250,2.031250,1.968750,2.000000,1.761538,113600
1990-09-12,2.031250,2.031250,1.968750,1.968750,1.734015,225600
1990-09-13,1.968750,2.015625,1.906250,1.906250,1.678966,1839200
1990-09-14,1.906250,1.968750,1.906250,1.906250,1.678966,372000
1990-09-17,1.937500,1.937500,1.906250,1.937500,1.706490,590400
1990-09-18,1.906250,1.906250,1.906250,1.906250,1.678966,5600
1990-09-19,1.937500,2.000000,1.906250,1.937500,1.706490,165600
1990-09-20,1.937500,2.000000,1.937500,1.968750,1.734015,536800
1990-09-21,1.937500,2.031250,1.937500,2.031250,1.789062,580000
1990-09-24,2.000000,2.000000,1.937500,1.937500,1.706490,673600
1990-09-25,1.968750,2.000000,1.937500,1.953125,1.720252,1116000
1990-09-26,1.937500,2.000000,1.937500,1.937500,1.706490,509600
1990-09-27,1.937500,1.953125,1.906250,1.953125,1.720252,1263200
1990-09-28,1.937500,1.937500,1.906250,1.906250,1.678966,1484000
1990-10-01,1.875000,1.906250,1.875000,1.906250,1.678966,38400
1990-10-02,2.000000,2.125000,2.000000,2.109375,1.857872,1228000
1990-10-03,2.125000,2.125000,2.031250,2.078125,1.830348,609600
1990-10-04,2.031250,2.093750,2.000000,2.031250,1.789062,226400
1990-10-05,1.968750,2.031250,1.968750,2.000000,1.761538,186400
1990-10-08,2.031250,2.031250,1.968750,2.031250,1.789062,48800
1990-10-09,2.000000,2.000000,2.000000,2.000000,1.761538,110400
1990-10-10,2.062500,2.062500,1.968750,1.968750,1.734015,25600
1990-10-11,1.968750,2.000000,1.968750,2.000000,1.761538,40000
1990-10-12,1.968750,2.000000,1.968750,1.968750,1.734015,74400
1990-10-15,1.968750,2.000000,1.937500,1.937500,1.706490,81600
1990-10-16,1.937500,1.953125,1.937500,1.953125,1.720252,145600
1990-10-17,1.906250,1.937500,1.843750,1.875000,1.651442,52800
1990-10-18,1.843750,1.968750,1.843750,1.968750,1.734015,184800
1990-10-19,1.968750,2.000000,1.875000,1.937500,1.706490,223200
1990-10-22,2.031250,2.250000,2.000000,2.218750,1.954206,244000
1990-10-23,2.187500,2.250000,2.187500,2.187500,1.926682,248800
1990-10-24,2.187500,2.218750,2.187500,2.187500,1.926682,15200
1990-10-25,2.218750,2.343750,2.218750,2.281250,2.009255,1026400
1990-10-26,2.281250,2.281250,2.218750,2.218750,1.954206,517600
1990-10-29,2.218750,2.234375,2.140625,2.156250,1.899158,129600
1990-10-30,2.125000,2.125000,2.062500,2.125000,1.871634,65600
1990-10-31,2.093750,2.218750,2.093750,2.218750,1.954206,84800
1990-11-01,2.156250,2.250000,2.156250,2.250000,1.981730,228800
1990-11-02,2.187500,2.187500,2.187500,2.187500,1.926682,8000
1990-11-05,2.250000,2.250000,2.156250,2.156250,1.899158,296000
1990-11-06,2.093750,2.187500,2.093750,2.093750,1.844110,35200
1990-11-07,2.093750,2.093750,2.093750,2.093750,1.844110,11200
1990-11-08,2.093750,2.093750,1.937500,1.937500,1.706490,162400
1990-11-09,1.968750,2.062500,1.968750,2.015625,1.775300,188000
1990-11-12,2.000000,2.218750,2.000000,2.218750,1.954206,572000
1990-11-13,2.218750,2.250000,2.156250,2.187500,1.926682,460800
1990-11-14,2.156250,2.218750,2.156250,2.187500,1.926682,72000
1990-11-15,2.187500,2.250000,2.156250,2.250000,1.981730,313600
1990-11-16,2.187500,2.250000,2.187500,2.187500,1.926682,239200
1990-11-19,2.125000,2.125000,1.875000,2.000000,1.761538,617600
1990-11-20,2.093750,2.093750,2.031250,2.062500,1.816586,324000
1990-11-21,2.062500,2.093750,2.062500,2.093750,1.844110,166400
1990-11-23,2.062500,2.093750,2.062500,2.093750,1.844110,152000
1990-11-26,2.062500,2.062500,2.062500,2.062500,1.816586,16000
1990-11-27,2.093750,2.156250,2.062500,2.093750,1.844110,64800
1990-11-28,2.062500,2.093750,2.062500,2.093750,1.844110,8800
1990-11-29,2.093750,2.125000,2.062500,2.062500,1.816586,83200
1990-11-30,2.125000,2.125000,2.125000,2.125000,1.871634,800
1990-12-03,2.156250,2.156250,2.093750,2.125000,1.871634,103200
1990-12-04,2.125000,2.156250,2.125000,2.156250,1.899158,24800
1990-12-05,2.156250,2.156250,2.062500,2.156250,1.899158,229600
1990-12-06,2.156250,2.281250,2.156250,2.281250,2.009255,111200
1990-12-07,2.218750,2.281250,2.218750,2.281250,2.009255,204800
1990-12-10,2.250000,2.250000,2.250000,2.250000,1.981730,8000
1990-12-11,2.250000,2.250000,2.156250,2.187500,1.926682,256000
1990-12-12,2.218750,2.218750,2.093750,2.093750,1.844110,54400
1990-12-13,2.093750,2.156250,2.093750,2.156250,1.899158,36000
1990-12-14,2.156250,2.156250,2.156250,2.156250,1.899158,0
1990-12-17,2.187500,2.187500,2.125000,2.125000,1.871634,298400
1990-12-18,2.125000,2.250000,2.125000,2.250000,1.981730,52000
1990-12-19,2.281250,2.500000,2.281250,2.437500,2.146874,517600
1990-12-20,2.281250,2.375000,2.218750,2.218750,1.954206,342400
1990-12-21,2.312500,2.312500,2.218750,2.218750,1.954206,336000
1990-12-24,2.281250,2.312500,2.250000,2.312500,2.036778,34400
1990-12-26,2.312500,2.312500,2.312500,2.312500,2.036778,0
1990-12-27,2.312500,2.312500,2.218750,2.218750,1.954206,76800
1990-12-28,2.250000,2.250000,2.187500,2.187500,1.926682,334400
1990-12-31,2.281250,2.281250,2.062500,2.156250,1.899158,700000
1991-01-02,2.125000,2.156250,2.093750,2.125000,1.871634,393600
1991-01-03,2.093750,2.156250,2.093750,2.156250,1.899158,845600
1991-01-04,2.093750,2.125000,2.093750,2.093750,1.844110,148800
1991-01-07,2.093750,2.093750,2.062500,2.062500,1.816586,324000
1991-01-08,2.125000,2.125000,2.062500,2.078125,1.830348,492000
1991-01-09,2.156250,2.218750,2.093750,2.156250,1.899158,1145600
1991-01-10,2.125000,2.218750,2.125000,2.218750,1.954206,256800
1991-01-11,2.156250,2.281250,2.156250,2.218750,1.954206,595200
1991-01-14,2.250000,2.250000,2.187500,2.250000,1.981730,185600
1991-01-15,2.187500,2.250000,2.187500,2.187500,1.926682,128800
1991-01-16,2.250000,2.250000,2.250000,2.250000,1.981730,44000
1991-01-17,2.343750,2.375000,2.187500,2.281250,2.009255,928000
1991-01-18,2.281250,2.281250,2.187500,2.187500,1.926682,81600
1991-01-21,2.218750,2.281250,2.218750,2.281250,2.009255,334400
1991-01-22,2.281250,2.281250,2.218750,2.281250,2.009255,63200
1991-01-23,2.281250,2.281250,2.218750,2.281250,2.009255,605600
1991-01-24,2.281250,2.375000,2.281250,2.375000,2.091826,927200
1991-01-25,2.375000,2.375000,2.312500,2.375000,2.091826,275200
1991-01-28,2.375000,2.468750,2.312500,2.406250,2.119350,292800
1991-01-29,2.375000,2.468750,2.375000,2.468750,2.174399,550400
