Date,Open,High,Low,Close,Adj Close,Volume
2021-04-13,11.000000,11.000000,9.700000,9.700000,9.700000,5200
2021-04-14,9.741000,9.880000,9.741000,9.800000,9.800000,129400
2021-04-15,9.800000,9.860000,9.800000,9.820000,9.820000,34600
2021-04-16,9.820000,9.830000,9.775000,9.830000,9.830000,104000
2021-04-19,9.800000,9.850000,9.750000,9.810000,9.810000,5400
2021-04-20,9.710000,9.710000,9.710000,9.710000,9.710000,800
2021-04-21,9.780000,9.780000,9.780000,9.780000,9.780000,300
2021-04-22,9.780000,9.780000,9.780000,9.780000,9.780000,0
2021-04-23,9.730000,9.730000,9.730000,9.730000,9.730000,600
2021-04-26,9.710000,9.710000,9.710000,9.710000,9.710000,600
2021-04-27,9.750000,9.750000,9.750000,9.750000,9.750000,5000
2021-04-28,9.750000,9.780000,9.750000,9.750000,9.750000,40600
2021-04-29,9.750000,9.750000,9.750000,9.750000,9.750000,10700
2021-04-30,9.750000,9.750000,9.750000,9.750000,9.750000,90000
2021-05-03,9.760000,9.790000,9.750000,9.790000,9.790000,12700
2021-05-04,9.770000,9.790000,9.750000,9.790000,9.790000,3800
2021-05-05,9.800000,9.870000,9.800000,9.850000,9.850000,87600
2021-05-06,9.850000,9.880000,9.850000,9.880000,9.880000,52300
2021-05-07,9.850000,9.862000,9.815000,9.860000,9.860000,88600
2021-05-10,9.860000,9.860000,9.860000,9.860000,9.860000,0
2021-05-11,9.770000,9.770000,9.770000,9.770000,9.770000,700
2021-05-12,9.860000,9.860000,9.800000,9.800000,9.800000,151300
2021-05-13,9.740000,9.740000,9.740000,9.740000,9.740000,200
2021-05-14,9.800000,9.800000,9.800000,9.800000,9.800000,9100
2021-05-17,9.740000,9.740000,9.730000,9.740000,9.740000,2300
2021-05-18,9.740000,9.750000,9.650000,9.650000,9.650000,140000
2021-05-19,9.690000,9.710000,9.690000,9.690000,9.690000,4400
2021-05-20,9.650000,9.690000,9.640000,9.670000,9.670000,76200
2021-05-21,9.690000,9.690000,9.650000,9.650000,9.650000,8500
2021-05-24,9.700000,9.700000,9.630000,9.650000,9.650000,35400
2021-05-25,9.660000,9.700000,9.620000,9.640000,9.640000,14000
2021-05-26,9.690000,9.750000,9.690000,9.750000,9.750000,2400
2021-05-27,9.750000,9.750000,9.750000,9.750000,9.750000,0
2021-05-28,9.670000,9.670000,9.650000,9.660000,9.660000,2000
2021-06-01,9.670000,9.690000,9.660000,9.660000,9.660000,554700
2021-06-02,9.670000,9.680000,9.670000,9.680000,9.680000,125400
2021-06-03,9.743000,9.743000,9.671000,9.700000,9.700000,109300
2021-06-04,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-06-07,9.713000,9.720000,9.682000,9.720000,9.720000,700
2021-06-08,9.650000,9.680000,9.650000,9.670000,9.670000,44400
2021-06-09,9.680000,9.680000,9.680000,9.680000,9.680000,7000
2021-06-10,9.707000,9.720000,9.680000,9.680000,9.680000,1000
2021-06-11,9.700000,9.710000,9.680000,9.710000,9.710000,500
2021-06-14,9.736000,9.736000,9.700000,9.700000,9.700000,9500
2021-06-15,9.690000,9.700000,9.670000,9.670000,9.670000,1600
2021-06-16,9.700000,9.700000,9.660000,9.670000,9.670000,12300
2021-06-17,9.700000,9.700000,9.700000,9.700000,9.700000,4100
2021-06-18,9.680000,9.680000,9.680000,9.680000,9.680000,200
2021-06-21,9.700000,9.700000,9.660000,9.660000,9.660000,4100
2021-06-22,9.710000,9.710000,9.710000,9.710000,9.710000,600
2021-06-23,9.710000,9.835000,9.710000,9.750000,9.750000,77600
2021-06-24,9.750000,9.820000,9.750000,9.770000,9.770000,2000
2021-06-25,9.770000,9.790000,9.770000,9.790000,9.790000,200
2021-06-28,9.780000,9.811000,9.740000,9.780000,9.780000,22500
2021-06-29,9.744000,9.750000,9.740000,9.750000,9.750000,18300
2021-06-30,9.755000,9.757000,9.740000,9.750000,9.750000,5300
2021-07-01,9.760000,9.760000,9.759000,9.759000,9.759000,7000
2021-07-02,9.760000,9.810000,9.760000,9.810000,9.810000,1900
2021-07-06,9.790000,9.798000,9.790000,9.798000,9.798000,600
2021-07-07,9.780000,9.780000,9.780000,9.780000,9.780000,300
2021-07-08,9.780000,9.780000,9.780000,9.780000,9.780000,0
2021-07-09,9.780000,9.780000,9.780000,9.780000,9.780000,1700
2021-07-12,9.760000,9.830000,9.760000,9.760000,9.760000,8300
2021-07-13,9.785000,9.785000,9.730000,9.730000,9.730000,19500
2021-07-14,9.730000,9.730000,9.730000,9.730000,9.730000,100
2021-07-15,9.740000,9.750000,9.730000,9.750000,9.750000,8100
2021-07-16,9.770000,9.780000,9.730000,9.770000,9.770000,20700
2021-07-19,9.730000,9.890000,9.700000,9.701000,9.701000,104300
2021-07-20,9.706000,9.720000,9.690000,9.710000,9.710000,105700
2021-07-21,9.700000,9.820000,9.690000,9.760000,9.760000,77300
2021-07-22,9.870000,9.870000,9.660000,9.747000,9.747000,51300
2021-07-23,9.700000,9.760000,9.700000,9.750000,9.750000,16200
2021-07-26,9.750000,9.761000,9.670000,9.690000,9.690000,5600
2021-07-27,9.690000,9.700000,9.670000,9.680000,9.680000,14000
2021-07-28,9.780000,9.800000,9.670000,9.680000,9.680000,2000
2021-07-29,9.700000,9.700000,9.660000,9.674000,9.674000,3100
2021-07-30,9.690000,9.700000,9.650000,9.660000,9.660000,145800
2021-08-02,9.700000,9.700000,9.650000,9.700000,9.700000,42500
2021-08-03,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-08-04,9.660000,9.690000,9.650000,9.685000,9.685000,12700
2021-08-05,9.650000,9.680000,9.650000,9.680000,9.680000,2000
2021-08-06,9.682000,9.682000,9.682000,9.682000,9.682000,300
2021-08-09,9.740000,9.740000,9.650000,9.658000,9.658000,3100
2021-08-10,9.658000,9.658000,9.658000,9.658000,9.658000,0
2021-08-11,9.670000,9.670000,9.660000,9.660000,9.660000,300
2021-08-12,9.690000,9.690000,9.650000,9.670000,9.670000,12100
2021-08-13,9.680000,9.690000,9.650000,9.690000,9.690000,9200
