Date,Open,High,Low,Close,Adj Close,Volume
2006-03-15,59.970001,63.500000,30.000000,33.500000,29.647356,25500
2006-03-16,34.000000,38.000000,28.799999,29.500000,26.107374,14700
2006-03-17,32.000000,32.000000,25.030001,27.500000,24.337379,22000
2006-03-20,26.000000,26.000000,21.600000,23.090000,20.434553,79100
2006-03-21,23.299999,24.389999,22.799999,23.850000,21.107149,10700
2006-03-22,24.000000,26.000000,23.900000,26.000000,23.009886,23200
2006-03-23,27.450001,28.000000,26.120001,28.000000,24.779882,5600
2006-03-24,27.820000,28.500000,26.900000,28.500000,25.222374,15400
2006-03-27,28.500000,32.000000,28.500000,32.000000,28.319862,12600
2006-03-28,32.000000,34.990002,30.020000,31.010000,27.443720,29100
2006-03-29,31.639999,33.889999,31.639999,33.400002,29.558861,9700
2006-03-30,33.599998,34.480000,32.750000,33.490002,29.638504,13800
2006-03-31,34.000000,34.400002,32.849998,33.779999,29.895153,5400
2006-04-03,33.750000,34.959999,33.750000,34.250000,30.311104,11600
2006-04-04,34.970001,34.990002,34.500000,34.500000,30.532352,11500
2006-04-05,34.849998,37.000000,34.400002,36.500000,32.302338,43300
2006-04-06,37.619999,38.000000,36.810001,37.009998,32.753689,20800
2006-04-07,37.700001,39.200001,36.849998,38.450001,34.028088,21500
2006-04-10,39.500000,46.880001,38.900002,45.529999,40.293854,74300
2006-04-11,46.730000,53.680000,46.060001,49.029999,43.391350,80700
2006-04-12,50.000000,52.000000,45.150002,46.700001,41.329296,42700
2006-04-13,46.700001,49.000000,43.750000,46.049999,40.754051,25300
2006-04-17,45.020000,49.480000,44.500000,46.779999,41.400101,29700
2006-04-18,46.799999,48.900002,46.150002,47.560001,42.090408,21400
2006-04-19,47.560001,48.900002,46.869999,48.099998,42.568295,18900
2006-04-20,48.750000,48.750000,47.000000,47.000000,41.594803,11700
2006-04-21,47.759998,47.759998,46.000000,46.169998,40.860256,9500
2006-04-24,47.500000,47.500000,44.250000,44.400002,39.293808,8600
2006-04-25,44.000000,44.410000,38.520000,39.840000,35.258232,35100
2006-04-26,39.990002,43.700001,39.990002,42.349998,37.479565,31600
2006-04-27,42.349998,43.000000,40.189999,41.820000,37.010517,6500
2006-04-28,40.049999,41.830002,39.250000,41.500000,36.727325,13500
2006-05-01,41.000000,42.299999,41.000000,41.500000,36.727325,10000
2006-05-02,42.000000,45.000000,41.160000,45.000000,39.824802,26300
2006-05-03,45.000000,46.750000,44.299999,46.680000,41.311604,15200
2006-05-04,47.000000,47.000000,40.990002,42.099998,37.258312,18500
2006-05-05,46.099998,46.099998,41.200001,43.610001,38.594666,11100
2006-05-08,45.000000,47.000000,43.009998,47.000000,41.594803,28500
2006-05-09,47.400002,50.299999,47.400002,50.299999,44.515285,89800
2006-05-10,50.000000,51.000000,48.259998,50.500000,44.692284,28100
2006-05-11,50.520000,52.990002,48.040001,49.750000,44.028549,71800
2006-05-12,49.500000,50.099998,48.270000,49.990002,44.240940,15000
2006-05-15,49.799999,49.799999,42.400002,44.290001,39.196468,49900
2006-05-16,44.709999,44.990002,40.000000,43.549999,38.541569,17100
2006-05-17,42.500000,42.500000,40.230000,40.990002,36.275974,20700
2006-05-18,40.980000,43.000000,37.060001,38.509998,34.081181,24400
2006-05-19,38.509998,39.500000,32.650002,34.400002,30.443851,61400
