Date,Open,High,Low,Close,Adj Close,Volume
1998-01-29,2.143347,2.250514,2.143347,2.196931,1.347815,46189
1998-01-30,2.196931,2.196931,2.196931,2.196931,1.347815,4666
1998-02-02,2.250514,2.250514,2.250514,2.250514,1.380688,20529
1998-02-03,2.357682,2.357682,2.250514,2.250514,1.380688,15863
1998-02-04,2.250514,2.250514,2.250514,2.250514,1.380688,0
1998-02-05,2.250514,2.250514,2.250514,2.250514,1.380688,18662
1998-02-06,2.310796,2.310796,2.310796,2.310796,1.417671,46656
1998-02-09,2.310796,2.310796,2.310796,2.310796,1.417671,0
1998-02-10,2.357682,2.357682,2.357682,2.357682,1.446436,4666
1998-02-11,2.273957,2.304098,2.273957,2.304098,1.413562,11664
1998-02-12,2.357682,2.434708,2.304098,2.304098,1.413562,37325
1998-02-13,2.488292,2.488292,2.304098,2.304098,1.413562,28927
1998-02-17,2.304098,2.304098,2.304098,2.304098,1.413562,0
1998-02-18,2.304098,2.304098,2.304098,2.304098,1.413562,0
1998-02-19,2.304098,2.304098,2.250514,2.250514,1.380688,61119
1998-02-20,2.220374,2.220374,2.166790,2.166790,1.329323,93312
1998-02-23,2.196931,2.220374,2.143347,2.206978,1.353979,370449
1998-02-24,2.220374,2.304098,2.220374,2.304098,1.413562,31726
1998-02-25,2.250514,2.357682,2.250514,2.250514,1.380688,45723
1998-02-26,2.273957,2.273957,2.267259,2.273957,1.395070,9331
1998-02-27,2.357682,2.357682,2.357682,2.357682,1.446436,9331
1998-03-02,2.357682,2.357682,2.357682,2.357682,1.446436,0
1998-03-03,2.411265,2.411265,2.327541,2.327541,1.427944,65785
1998-03-04,2.357682,2.464849,2.357682,2.357682,1.446436,102643
1998-03-05,2.381125,2.381125,2.381125,2.381125,1.460818,6998
1998-03-06,2.381125,2.381125,2.357682,2.357682,1.446436,11197
1998-03-09,2.357682,2.464849,2.357682,2.464849,1.512182,16330
1998-03-10,2.464849,2.464849,2.464849,2.464849,1.512182,0
1998-03-11,2.464849,2.464849,2.411265,2.464849,1.512182,41524
1998-03-12,2.434708,2.434708,2.434708,2.434708,1.493691,4666
1998-03-13,2.411265,2.434708,2.411265,2.434708,1.493691,6532
1998-03-16,2.411265,2.488292,2.411265,2.411265,1.479309,13064
1998-03-17,2.411265,2.411265,2.411265,2.411265,1.479309,0
1998-03-18,2.488292,2.518433,2.411265,2.411265,1.479309,46656
1998-03-19,2.488292,2.518433,2.411265,2.411265,1.479309,249143
1998-03-20,2.518433,2.518433,2.411265,2.411265,1.479309,70917
1998-03-23,2.488292,2.572016,2.488292,2.518433,1.545057,103110
1998-03-24,2.488292,2.518433,2.488292,2.518433,1.545057,6998
1998-03-25,2.518433,2.518433,2.518433,2.518433,1.545057,0
1998-03-26,2.518433,2.518433,2.518433,2.518433,1.545057,0
1998-03-27,2.572016,2.572016,2.488292,2.488292,1.526565,9331
1998-03-30,2.649043,2.649043,2.572016,2.572016,1.577929,54588
1998-03-31,2.572016,2.572016,2.572016,2.572016,1.577929,0
1998-04-01,2.649043,2.649043,2.572016,2.572016,1.577929,9798
1998-04-02,2.572016,2.595459,2.518433,2.572016,1.577929,75583
1998-04-03,2.595459,2.625600,2.595459,2.595459,1.592311,17729
1998-04-06,2.595459,2.595459,2.572016,2.572016,1.577929,144634
1998-04-07,2.679184,2.679184,2.572016,2.572016,1.577929,8398
1998-04-08,2.572016,2.572016,2.572016,2.572016,1.577929,0
1998-04-09,2.572016,2.572016,2.572016,2.572016,1.577929,4666
1998-04-13,2.679184,2.679184,2.679184,2.679184,1.643677,1400
1998-04-14,2.679184,2.679184,2.572016,2.572016,1.577929,2799
1998-04-15,2.679184,2.679184,2.572016,2.649043,1.625185,146500
1998-04-16,2.732767,2.732767,2.732767,2.732767,1.676550,2799
1998-04-17,2.732767,2.732767,2.679184,2.732767,1.676550,32659
1998-04-20,2.649043,2.786351,2.649043,2.786351,1.709424,55987
1998-04-21,2.652392,2.786351,2.649043,2.679184,1.643677,161430
1998-04-22,2.786351,2.786351,2.649043,2.786351,1.709424,27994
1998-04-23,2.649043,2.732767,2.649043,2.649043,1.625185,270605
1998-04-24,2.702627,2.786351,2.649043,2.786351,1.709424,51788
1998-04-27,2.786351,2.786351,2.786351,2.786351,1.709424,1866
1998-04-28,2.786351,2.839935,2.786351,2.786351,1.709424,13530
1998-04-29,2.893519,2.893519,2.786351,2.786351,1.709424,35459
1998-04-30,2.809794,2.823190,2.716023,2.796398,1.715587,25194
1998-05-01,2.756210,2.947102,2.756210,2.947102,1.808045,85380
1998-05-04,2.947102,3.000686,2.839935,3.000686,1.840918,28927
1998-05-05,3.000686,3.054270,3.000686,3.024129,1.855300,20062
1998-05-06,2.916961,3.054270,2.916961,2.916961,1.789553,36858
1998-05-07,2.916961,2.916961,2.916961,2.916961,1.789553,933
1998-05-08,2.916961,2.916961,2.916961,2.916961,1.789553,20995
1998-05-11,2.916961,2.970545,2.916961,2.916961,1.789553,98444
1998-05-12,2.916961,3.000686,2.916961,2.916961,1.789553,156298
1998-05-13,2.916961,2.970545,2.916961,2.970545,1.822427,59253
1998-05-14,3.000686,3.000686,2.916961,2.947102,1.808045,77916
1998-05-15,2.916961,2.916961,2.916961,2.916961,1.789553,2333
1998-05-18,2.916961,2.970545,2.916961,2.970545,1.822427,2799
1998-05-19,2.970545,3.000686,2.863378,2.863378,1.756680,32659
1998-05-20,2.863378,2.863378,2.863378,2.863378,1.756680,0
1998-05-21,2.970545,2.970545,2.863378,2.863378,1.756680,47123
1998-05-22,2.863378,2.863378,2.863378,2.863378,1.756680,8398
1998-05-26,2.893519,2.893519,2.893519,2.893519,1.775170,1400
1998-05-27,3.000686,3.000686,2.893519,2.916961,1.789553,15863
1998-05-28,2.916961,2.970545,2.916961,2.970545,1.822427,4199
1998-05-29,2.786351,2.786351,2.786351,2.786351,1.709424,1866
1998-06-01,2.786351,2.786351,2.786351,2.786351,1.709424,13064
1998-06-02,2.786351,2.786351,2.786351,2.786351,1.709424,6998
1998-06-03,2.786351,2.786351,2.786351,2.786351,1.709424,0
1998-06-04,2.756210,2.756210,2.679184,2.679184,1.643677,135769
1998-06-05,2.679184,2.732767,2.679184,2.679184,1.643677,30326
1998-06-08,2.732767,2.732767,2.732767,2.732767,1.676550,10264
1998-06-09,2.679184,2.702627,2.679184,2.702627,1.658059,44323
1998-06-10,2.702627,2.702627,2.679184,2.679184,1.643677,6532
1998-06-11,2.679184,2.679184,2.679184,2.679184,1.643677,2333
1998-06-12,2.679184,2.679184,2.679184,2.679184,1.643677,9798
1998-06-15,2.679184,2.679184,2.679184,2.679184,1.643677,0
1998-06-16,2.679184,2.679184,2.679184,2.679184,1.643677,0
1998-06-17,2.679184,2.679184,2.679184,2.679184,1.643677,4666
1998-06-18,2.679184,2.732767,2.679184,2.732767,1.676550,81648
1998-06-19,2.679184,2.679184,2.679184,2.679184,1.643677,2333
1998-06-22,2.756210,2.756210,2.756210,2.756210,1.690932,5599
1998-06-23,2.709325,2.732767,2.679184,2.679184,1.643677,54588
1998-06-24,2.732767,2.732767,2.679184,2.679184,1.643677,51322
1998-06-25,2.679184,2.732767,2.679184,2.732767,1.676550,259874
1998-06-26,2.679184,2.732767,2.679184,2.732767,1.676550,41524
1998-06-29,2.732767,2.732767,2.732767,2.732767,1.676550,0
1998-06-30,2.679184,2.732767,2.679184,2.732767,1.676550,33592
1998-07-01,2.679184,2.732767,2.679184,2.709325,1.662169,11197
1998-07-02,2.756210,2.756210,2.625600,2.702627,1.658059,53188
1998-07-06,2.756210,2.756210,2.625600,2.625600,1.610803,17263
1998-07-07,2.756210,2.756210,2.732767,2.732767,1.676550,2333
1998-07-08,2.625600,2.756210,2.625600,2.625600,1.610803,9331
1998-07-09,2.732767,2.732767,2.625600,2.625600,1.610803,8398
1998-07-10,2.625600,2.702627,2.625600,2.702627,1.658059,111508
1998-07-13,2.625600,2.625600,2.625600,2.625600,1.610803,3732
1998-07-14,2.679184,2.679184,2.679184,2.679184,1.643677,6532
1998-07-15,2.625600,2.625600,2.625600,2.625600,1.610803,46189
1998-07-16,2.625600,2.679184,2.625600,2.679184,1.643677,38724
1998-07-17,2.625600,2.732767,2.625600,2.625600,1.610803,56454
1998-07-20,2.625600,2.625600,2.625600,2.625600,1.610803,0
1998-07-21,2.702627,2.702627,2.572016,2.572016,1.577929,179626
1998-07-22,2.702627,2.702627,2.595459,2.702627,1.658059,26594
1998-07-23,2.756210,2.756210,2.625600,2.702627,1.658059,18662
1998-07-24,2.625600,2.625600,2.625600,2.625600,1.610803,27994
1998-07-27,2.518433,2.572016,2.357682,2.572016,1.577929,25661
1998-07-28,2.518433,2.541876,2.518433,2.541876,1.559438,25661
1998-07-29,2.541876,2.541876,2.541876,2.541876,1.559438,0
