Date,Open,High,Low,Close,Adj Close,Volume
2014-02-06,15.193644,16.673286,15.143992,15.700099,4.211070,234530
2014-02-07,15.441907,16.276068,15.392254,15.839126,4.248361,101405
2014-02-10,15.789474,16.127110,15.595829,15.739821,4.221724,39676
2014-02-11,15.670308,15.988083,15.670308,15.749752,4.224387,29505
2014-02-12,16.127110,16.127110,15.451837,15.541212,4.168453,81668
2014-02-13,15.392254,15.789474,15.322741,15.590864,4.181771,40179
2014-02-14,15.878848,15.878848,15.114201,15.372393,4.123173,45013
2014-02-18,15.868918,15.878848,15.211519,15.466733,4.148477,45919
2014-02-19,15.461768,15.789474,15.392254,15.739821,4.221724,47631
2014-02-20,15.491559,16.921549,15.491559,15.938431,4.274995,33835
2014-02-21,15.978153,16.385303,15.541212,15.978153,4.285650,64247
2014-02-24,15.878848,16.186693,15.690169,15.799404,4.237707,10976
2014-02-25,15.888779,16.186693,15.640516,15.888779,4.261679,35950
2014-02-26,15.938431,15.938431,15.650447,15.789474,4.235043,26988
2014-02-27,15.888779,15.888779,15.660377,15.779543,4.232378,26283
2014-02-28,15.868918,15.878848,15.392254,15.412115,4.133828,48537
2014-03-03,15.382324,15.868918,15.143992,15.461768,4.147145,39776
2014-03-04,15.392254,15.849057,15.392254,15.561072,4.173781,59413
2014-03-05,15.561072,15.561072,15.143992,15.273088,4.096538,33835
2014-03-06,15.332671,15.531281,15.193644,15.362463,4.120510,39676
2014-03-07,15.342602,15.392254,15.163853,15.292949,4.101864,33835
2014-03-10,15.382324,15.789474,15.382324,15.491559,4.155137,31418
2014-03-11,15.580933,15.590864,15.283019,15.491559,4.155137,37259
2014-03-12,15.481629,15.491559,15.153923,15.491559,4.155137,44207
2014-03-13,15.491559,15.491559,15.143992,15.332671,4.112519,20744
2014-03-14,15.491559,15.580933,15.153923,15.580933,4.179108,22154
2014-03-17,15.590864,15.590864,14.895730,14.925521,4.003314,54378
2014-03-18,15.223436,15.424032,14.945382,14.965243,4.013968,77338
2014-03-19,14.945382,15.431976,14.945382,15.392254,4.128500,30512
2014-03-20,15.183714,15.392254,14.945382,15.084409,4.093734,24671
2014-03-21,15.382324,15.590864,14.995035,15.501490,4.206926,178642
2014-03-24,15.422046,15.441907,15.084409,15.223436,4.131466,26685
2014-03-25,15.233366,15.273088,14.995035,15.134062,4.107209,8257
2014-03-26,15.084409,15.183714,14.995035,15.054618,4.085650,40582
2014-03-27,15.004965,15.143992,14.895730,15.014896,4.074869,29505
2014-03-28,14.985104,15.044687,14.895730,14.915591,4.047920,29505
2014-03-31,15.143992,15.670308,14.811321,15.481629,4.201535,175319
2014-04-01,15.193644,15.243297,14.945382,14.970209,4.062740,34339
2014-04-02,14.995035,15.561072,14.905660,15.342602,4.163805,117920
2014-04-03,15.451837,15.451837,14.915591,15.243297,4.136856,33835
2014-04-04,15.094340,15.094340,14.796425,14.875869,4.037139,57399
2014-04-07,14.697120,14.746773,14.399206,14.478649,3.929339,115805
2014-04-08,14.309831,14.448858,13.902681,14.131082,3.835013,287196
2014-04-09,14.011917,14.230387,13.912612,14.041708,3.810757,127889
2014-04-10,14.071500,14.160874,13.803376,13.952334,3.786501,89220
2014-04-11,13.823237,13.862959,12.989076,13.207547,3.584376,140678
2014-04-14,13.654419,14.101291,13.624628,13.853029,3.759552,153366
2014-04-15,14.240318,14.240318,13.584906,13.813307,3.748773,93953
2014-04-16,13.962264,14.220457,13.429990,13.942403,3.783808,67973
2014-04-17,13.902681,14.101291,13.584906,13.694141,3.716432,99189
2014-04-21,13.922542,13.992056,13.539225,13.843098,3.756857,22255
2014-04-22,13.853029,14.111221,13.682224,14.091360,3.824232,53874
2014-04-23,13.723932,14.240318,13.723932,13.962264,3.789198,94054
2014-04-24,13.962264,14.001986,13.654419,13.664350,3.708348,89220
2014-04-25,13.664350,13.962264,13.545184,13.823237,3.751467,51659
2014-04-28,13.712016,14.220457,13.684211,14.081430,3.821537,106943
2014-04-29,13.902681,14.637537,13.833168,13.942403,3.783808,278335
2014-04-30,14.088381,14.150943,13.773585,14.041708,3.810757,60319
2014-05-01,13.763654,14.011917,13.714002,13.823237,3.751467,53069
2014-05-02,13.972195,13.972195,13.723932,13.872890,3.764943,60823
2014-05-05,13.803376,14.240318,13.784508,14.081430,3.821537,71598
2014-05-06,14.001986,14.101291,13.753724,13.803376,3.746075,51558
2014-05-07,13.723932,13.803376,13.128103,13.157895,3.570902,129903
2014-05-08,12.512413,13.157895,12.512413,12.999007,3.527781,166558
