Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.000000,5.875000,5.625000,5.750000,4.435105,98500
1990-01-03,0.000000,6.250000,5.750000,6.250000,4.820767,139000
1990-01-04,0.000000,6.375000,6.000000,6.375000,4.917182,108300
1990-01-05,0.000000,6.375000,6.125000,6.250000,4.820767,36100
1990-01-08,0.000000,6.250000,6.000000,6.125000,4.724349,41800
1990-01-09,0.000000,6.125000,6.000000,6.000000,4.627936,24600
1990-01-10,0.000000,6.125000,5.750000,6.000000,4.627936,65100
1990-01-11,0.000000,6.125000,6.000000,6.125000,4.724349,24700
1990-01-12,0.000000,6.000000,5.625000,5.750000,4.435105,67800
1990-01-15,0.000000,5.750000,5.500000,5.500000,4.242275,48400
1990-01-16,0.000000,5.875000,5.500000,5.875000,4.531521,67100
1990-01-17,0.000000,6.000000,5.625000,5.875000,4.531521,34900
1990-01-18,0.000000,6.000000,5.625000,6.000000,4.627936,20100
1990-01-19,0.000000,6.000000,5.375000,5.750000,4.435105,127800
1990-01-22,0.000000,5.625000,4.000000,4.500000,3.470952,485500
1990-01-23,0.000000,4.875000,4.375000,4.375000,3.374536,197300
1990-01-24,0.000000,4.375000,4.000000,4.250000,3.278122,454900
1990-01-25,0.000000,4.500000,4.125000,4.375000,3.374536,267800
1990-01-26,0.000000,4.500000,4.125000,4.250000,3.278122,169000
1990-01-29,0.000000,4.250000,3.875000,4.125000,3.181705,136700
1990-01-30,0.000000,4.125000,3.750000,3.750000,2.892460,431000
1990-01-31,0.000000,4.375000,3.750000,4.125000,3.181705,388900
1990-02-01,0.000000,4.375000,4.000000,4.250000,3.278122,66000
1990-02-02,0.000000,4.250000,4.125000,4.250000,3.278122,156000
1990-02-05,0.000000,4.250000,4.125000,4.250000,3.278122,44600
1990-02-06,0.000000,4.250000,3.875000,4.125000,3.181705,109300
1990-02-07,0.000000,4.125000,3.625000,3.875000,2.988876,206800
1990-02-08,0.000000,3.875000,3.750000,3.875000,2.988876,78300
1990-02-09,0.000000,3.875000,3.750000,3.750000,2.892460,104800
1990-02-12,0.000000,3.875000,3.625000,3.875000,2.988876,56600
1990-02-13,0.000000,3.750000,3.375000,3.625000,2.796045,62200
1990-02-14,0.000000,3.625000,3.375000,3.500000,2.699629,113500
1990-02-15,0.000000,3.875000,3.375000,3.875000,2.988876,94600
1990-02-16,0.000000,3.875000,3.750000,3.875000,2.988876,27900
1990-02-20,0.000000,3.875000,3.750000,3.875000,2.988876,31000
1990-02-21,0.000000,3.875000,3.625000,3.875000,2.988876,38200
1990-02-22,0.000000,4.000000,3.750000,3.875000,2.988876,43100
1990-02-23,0.000000,4.125000,3.750000,4.125000,3.181705,54300
1990-02-26,0.000000,4.750000,3.875000,4.625000,3.567367,172700
1990-02-27,0.000000,5.250000,4.625000,5.000000,3.856613,227100
1990-02-28,0.000000,5.000000,4.625000,4.875000,3.760198,78200
1990-03-01,0.000000,4.875000,4.625000,4.625000,3.567367,33100
1990-03-02,0.000000,4.750000,4.250000,4.750000,3.663783,146200
1990-03-05,0.000000,4.750000,4.500000,4.625000,3.567367,45600
1990-03-06,0.000000,5.000000,4.625000,5.000000,3.856613,30000
1990-03-07,0.000000,5.125000,4.750000,5.125000,3.953028,47800
1990-03-08,0.000000,5.250000,4.875000,5.125000,3.953028,105700
1990-03-09,0.000000,5.250000,4.875000,5.125000,3.953028,88500
1990-03-12,0.000000,5.125000,4.875000,5.125000,3.953028,44300
1990-03-13,0.000000,5.250000,4.875000,5.125000,3.953028,16900
1990-03-14,0.000000,5.625000,4.875000,5.500000,4.242275,146200
1990-03-15,0.000000,5.625000,5.250000,5.375000,4.145862,68800
1990-03-16,0.000000,6.125000,5.500000,6.000000,4.627936,366700
1990-03-19,0.000000,6.250000,5.750000,6.125000,4.724349,205200
1990-03-20,0.000000,6.375000,5.750000,6.000000,4.627936,183300
1990-03-21,0.000000,6.000000,5.375000,5.500000,4.242275,95900
1990-03-22,0.000000,5.875000,5.375000,5.875000,4.531521,120500
1990-03-23,0.000000,6.125000,5.750000,6.000000,4.627936,109700
1990-03-26,6.125000,6.125000,5.875000,5.875000,4.531521,37700
1990-03-27,6.000000,6.625000,5.750000,6.375000,4.917182,175000
1990-03-28,6.250000,7.000000,6.250000,6.875000,5.302844,236800
1990-03-29,6.875000,7.500000,6.625000,7.375000,5.688503,349400
1990-03-30,7.375000,7.875000,7.375000,7.500000,5.784920,842000
1990-04-02,7.250000,7.375000,6.750000,7.250000,5.592090,371100
1990-04-03,7.250000,7.500000,6.750000,7.000000,5.399258,285700
1990-04-04,6.750000,7.000000,6.250000,6.375000,4.917182,272500
1990-04-05,6.375000,6.625000,6.250000,6.250000,4.820767,139500
1990-04-06,6.125000,7.000000,5.875000,6.875000,5.302844,413100
1990-04-09,7.000000,7.250000,6.875000,7.000000,5.399258,154600
1990-04-10,6.875000,7.000000,6.375000,6.375000,4.917182,113200
1990-04-11,6.500000,6.625000,6.375000,6.375000,4.917182,81000
1990-04-12,6.500000,6.875000,6.250000,6.875000,5.302844,99900
1990-04-16,6.875000,7.000000,6.500000,6.500000,5.013597,82300
1990-04-17,6.625000,6.625000,6.375000,6.625000,5.110012,47000
1990-04-18,6.375000,6.625000,6.250000,6.375000,4.917182,75400
1990-04-19,6.375000,6.500000,6.000000,6.250000,4.820767,58100
1990-04-20,6.250000,6.625000,6.125000,6.625000,5.110012,83200
1990-04-23,6.500000,6.500000,5.750000,5.750000,4.435105,190400
1990-04-24,5.750000,6.000000,5.750000,5.750000,4.435105,159400
1990-04-25,5.750000,6.000000,5.750000,5.875000,4.531521,112700
1990-04-26,6.000000,6.000000,5.750000,5.875000,4.531521,97200
1990-04-27,5.750000,5.875000,5.750000,5.875000,4.531521,107000
1990-04-30,5.875000,6.000000,5.750000,6.000000,4.627936,246300
1990-05-01,6.000000,6.250000,6.000000,6.125000,4.724349,231000
1990-05-02,6.250000,6.750000,6.125000,6.625000,5.110012,391300
1990-05-03,6.625000,6.750000,6.250000,6.375000,4.917182,90600
1990-05-04,6.625000,6.625000,6.250000,6.375000,4.917182,71200
1990-05-07,6.500000,6.500000,6.125000,6.375000,4.917182,39900
1990-05-08,6.125000,6.375000,5.875000,6.125000,4.724349,56400
1990-05-09,6.125000,6.250000,6.000000,6.125000,4.724349,128400
1990-05-10,6.250000,6.375000,6.125000,6.375000,4.917182,246600
1990-05-11,6.375000,6.375000,6.125000,6.250000,4.820767,138200
1990-05-14,6.250000,6.375000,5.875000,6.125000,4.724349,110500
1990-05-15,5.875000,6.125000,5.625000,5.750000,4.435105,83300
1990-05-16,5.750000,5.750000,5.500000,5.750000,4.435105,103300
1990-05-17,5.750000,5.875000,5.500000,5.750000,4.435105,103700
1990-05-18,5.750000,5.750000,5.500000,5.750000,4.435105,51400
1990-05-21,5.750000,5.750000,5.375000,5.625000,4.338687,69800
1990-05-22,5.750000,5.750000,5.375000,5.500000,4.242275,86000
1990-05-23,5.500000,5.500000,4.875000,4.875000,3.760198,124100
1990-05-24,5.000000,5.000000,4.000000,5.000000,3.856613,360500
1990-05-25,5.000000,5.500000,4.750000,5.375000,4.145862,151700
1990-05-29,5.250000,5.375000,5.125000,5.375000,4.145862,92800
1990-05-30,5.375000,5.500000,5.000000,5.250000,4.049445,95400
1990-05-31,5.125000,5.125000,4.750000,4.875000,3.760198,179100
1990-06-01,4.875000,4.875000,4.500000,4.625000,3.567367,166600
1990-06-04,4.750000,5.125000,4.625000,5.125000,3.953028,54400
1990-06-05,5.125000,5.375000,5.000000,5.375000,4.145862,92200
1990-06-06,5.250000,5.875000,5.250000,5.875000,4.531521,258400
1990-06-07,5.875000,6.000000,5.750000,5.875000,4.531521,226700
1990-06-08,5.750000,5.875000,5.500000,5.875000,4.531521,66100
1990-06-11,5.500000,5.875000,5.375000,5.875000,4.531521,26800
1990-06-12,5.875000,5.875000,5.625000,5.875000,4.531521,55900
1990-06-13,5.625000,6.000000,5.625000,5.875000,4.531521,120900
