Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,5.479167,5.479167,5.437500,5.479167,2.991415,402600
1990-01-03,5.479167,5.562500,5.479167,5.541667,3.025538,207000
1990-01-04,5.541667,5.562500,5.520833,5.520833,3.014163,372600
1990-01-05,5.520833,5.583333,5.520833,5.562500,3.036911,82800
1990-01-08,5.562500,5.604167,5.541667,5.562500,3.036911,115200
1990-01-09,5.604167,5.645833,5.583333,5.625000,3.071034,122400
1990-01-10,5.625000,5.666667,5.583333,5.604167,3.059660,339000
1990-01-11,5.604167,5.708333,5.604167,5.687500,3.105156,793200
1990-01-12,5.645833,5.645833,5.583333,5.583333,3.048284,226200
1990-01-15,5.562500,5.562500,5.416667,5.437500,2.968666,174000
1990-01-16,5.416667,5.416667,5.291667,5.354167,2.923170,426000
1990-01-17,5.333333,5.354167,5.208333,5.229167,2.854923,347400
1990-01-18,5.166667,5.187500,5.145833,5.145833,2.809427,574800
1990-01-19,5.187500,5.250000,5.166667,5.229167,2.854923,245400
1990-01-22,5.270833,5.270833,5.145833,5.145833,2.809427,48600
1990-01-23,5.104167,5.125000,5.062500,5.104167,2.786680,928800
1990-01-24,5.020833,5.104167,5.020833,5.083333,2.775305,320400
1990-01-25,5.125000,5.125000,5.062500,5.104167,2.786680,462000
1990-01-26,5.083333,5.166667,5.041667,5.083333,2.775305,187200
1990-01-29,5.104167,5.104167,5.041667,5.062500,2.763930,290400
1990-01-30,5.104167,5.104167,4.979167,5.062500,2.763930,471600
1990-01-31,5.083333,5.083333,5.000000,5.083333,2.775305,964800
1990-02-01,5.083333,5.166667,5.062500,5.083333,2.775305,366600
1990-02-02,5.083333,5.145833,5.062500,5.083333,2.775305,281400
1990-02-05,5.062500,5.104167,5.041667,5.062500,2.763930,493200
1990-02-06,5.083333,5.083333,5.041667,5.041667,2.752556,254400
1990-02-07,5.041667,5.125000,5.041667,5.125000,2.798053,200400
1990-02-08,5.125000,5.125000,5.062500,5.062500,2.763930,23400
1990-02-09,5.062500,5.125000,5.062500,5.125000,2.798053,136800
1990-02-12,5.125000,5.125000,5.083333,5.125000,2.798053,241200
1990-02-13,5.083333,5.104167,5.062500,5.083333,2.775305,150600
1990-02-14,5.062500,5.104167,5.062500,5.083333,2.775305,105000
1990-02-15,5.104167,5.104167,5.083333,5.083333,2.775305,137400
1990-02-16,5.083333,5.104167,5.083333,5.104167,2.786680,105000
1990-02-20,5.062500,5.104167,5.062500,5.083333,2.775305,441600
1990-02-21,5.104167,5.125000,5.041667,5.041667,2.752556,341400
1990-02-22,5.041667,5.083333,5.041667,5.041667,2.752556,255600
1990-02-23,5.041667,5.062500,4.979167,4.979167,2.718432,151200
1990-02-26,4.958333,5.083333,4.958333,5.083333,2.791188,433200
1990-02-27,5.083333,5.083333,5.062500,5.062500,2.779748,23400
1990-02-28,5.020833,5.104167,5.020833,5.083333,2.791188,367200
1990-03-01,5.125000,5.166667,5.083333,5.125000,2.814065,232200
1990-03-02,5.187500,5.312500,5.187500,5.291667,2.905580,381600
1990-03-05,5.291667,5.333333,5.187500,5.291667,2.905580,262800
1990-03-06,5.250000,5.375000,5.250000,5.375000,2.951336,324000
1990-03-07,5.395833,5.500000,5.395833,5.479167,3.008534,366600
1990-03-08,5.479167,5.604167,5.479167,5.583333,3.065729,229800
1990-03-09,5.541667,5.583333,5.541667,5.562500,3.054290,136200
1990-03-12,5.583333,5.583333,5.520833,5.541667,3.042853,78600
1990-03-13,5.520833,5.541667,5.500000,5.500000,3.019973,118200
1990-03-14,5.500000,5.520833,5.500000,5.520833,3.031413,34800
1990-03-15,5.500000,5.583333,5.500000,5.583333,3.065729,331800
1990-03-16,5.583333,5.666667,5.541667,5.604167,3.077169,244200
1990-03-19,5.583333,5.583333,5.541667,5.562500,3.054290,112800
1990-03-20,5.541667,5.604167,5.520833,5.541667,3.042853,108000
1990-03-21,5.520833,5.541667,5.500000,5.500000,3.019973,210000
1990-03-22,5.479167,5.541667,5.479167,5.479167,3.008534,116400
1990-03-23,5.500000,5.562500,5.500000,5.500000,3.019973,147000
1990-03-26,5.500000,5.562500,5.500000,5.500000,3.019973,49800
1990-03-27,5.520833,5.562500,5.520833,5.562500,3.054290,157800
1990-03-28,5.500000,5.541667,5.458333,5.458333,2.997094,180000
1990-03-29,5.458333,5.520833,5.458333,5.500000,3.019973,168000
1990-03-30,5.500000,5.500000,5.416667,5.458333,2.997094,218400
1990-04-02,5.416667,5.458333,5.395833,5.416667,2.974216,387000
1990-04-03,5.479167,5.520833,5.479167,5.500000,3.019973,444600
1990-04-04,5.458333,5.500000,5.395833,5.416667,2.974216,211800
1990-04-05,5.458333,5.479167,5.416667,5.479167,3.008534,132000
1990-04-06,5.479167,5.500000,5.458333,5.500000,3.019973,60600
1990-04-09,5.458333,5.500000,5.458333,5.500000,3.019973,182400
1990-04-10,5.500000,5.625000,5.500000,5.604167,3.077169,141600
1990-04-11,5.666667,5.750000,5.645833,5.729167,3.145805,204000
1990-04-12,5.687500,5.729167,5.666667,5.729167,3.145805,69000
1990-04-16,5.729167,5.750000,5.687500,5.729167,3.145805,135000
1990-04-17,5.666667,5.666667,5.541667,5.562500,3.054290,391200
1990-04-18,5.562500,5.562500,5.437500,5.458333,2.997094,159000
1990-04-19,5.479167,5.479167,5.333333,5.333333,2.928459,183000
1990-04-20,5.375000,5.375000,5.270833,5.270833,2.894141,166200
1990-04-23,5.250000,5.250000,5.166667,5.229167,2.871262,70800
1990-04-24,5.250000,5.250000,5.062500,5.125000,2.814065,331200
1990-04-25,5.125000,5.166667,5.062500,5.166667,2.836945,642000
1990-04-26,5.166667,5.187500,5.166667,5.166667,2.836945,229200
1990-04-27,5.166667,5.250000,5.166667,5.166667,2.836945,509400
1990-04-30,5.166667,5.166667,5.104167,5.166667,2.836945,447600
1990-05-01,5.166667,5.166667,5.000000,5.000000,2.745430,1779000
1990-05-02,4.916667,5.020833,4.916667,4.979167,2.733989,388800
1990-05-03,4.979167,4.979167,4.937500,4.937500,2.711112,332400
1990-05-04,4.937500,4.958333,4.916667,4.937500,2.711112,597600
1990-05-07,4.979167,5.041667,4.958333,4.979167,2.733989,170400
1990-05-08,4.958333,5.000000,4.916667,4.958333,2.722552,348000
1990-05-09,4.937500,5.020833,4.937500,5.000000,2.745430,687600
1990-05-10,5.041667,5.041667,5.000000,5.000000,2.745430,425400
1990-05-11,5.041667,5.229167,5.041667,5.229167,2.871262,645600
1990-05-14,5.250000,5.416667,5.250000,5.312500,2.917019,744000
1990-05-15,5.291667,5.291667,5.208333,5.229167,2.871262,742800
1990-05-16,5.250000,5.250000,5.083333,5.104167,2.802627,970200
1990-05-17,5.145833,5.291667,5.145833,5.270833,2.894141,646200
1990-05-18,5.270833,5.437500,5.270833,5.416667,2.974216,327600
1990-05-21,5.458333,5.458333,5.416667,5.416667,2.974216,420600
1990-05-22,5.375000,5.458333,5.375000,5.458333,2.997094,223200
1990-05-23,5.416667,5.479167,5.395833,5.458333,3.014583,68400
1990-05-24,5.458333,5.583333,5.458333,5.562500,3.072114,340800
1990-05-25,5.562500,5.645833,5.562500,5.583333,3.083619,244800
1990-05-29,5.562500,5.625000,5.562500,5.562500,3.072114,469800
1990-05-30,5.562500,5.604167,5.479167,5.520833,3.049103,406800
1990-05-31,5.520833,5.541667,5.500000,5.520833,3.049103,315600
1990-06-01,5.541667,5.666667,5.541667,5.625000,3.106632,321600
1990-06-04,5.625000,5.708333,5.604167,5.687500,3.141150,367200
1990-06-05,5.687500,5.687500,5.583333,5.583333,3.083619,566400
1990-06-06,5.604167,5.625000,5.562500,5.604167,3.095126,274800
1990-06-07,5.562500,5.562500,5.500000,5.500000,3.037596,197400
1990-06-08,5.520833,5.520833,5.416667,5.416667,2.991572,535800
1990-06-11,5.416667,5.416667,5.375000,5.395833,2.980067,206400
1990-06-12,5.416667,5.500000,5.416667,5.500000,3.037596,595200
1990-06-13,5.458333,5.562500,5.458333,5.562500,3.072114,537600
1990-06-14,5.562500,5.562500,5.500000,5.541667,3.060609,467400
1990-06-15,5.541667,5.541667,5.500000,5.541667,3.060609,493800
1990-06-18,5.500000,5.500000,5.354167,5.395833,2.980067,1251600
1990-06-19,5.375000,5.416667,5.291667,5.333333,2.945548,1947600
1990-06-20,5.333333,5.375000,5.312500,5.354167,2.957055,377400
1990-06-21,5.354167,5.437500,5.354167,5.437500,3.003079,793200
1990-06-22,5.479167,5.729167,5.479167,5.687500,3.141150,319200
1990-06-25,5.687500,5.729167,5.625000,5.625000,3.106632,328200
1990-06-26,5.666667,5.708333,5.625000,5.666667,3.129645,244800
1990-06-27,5.625000,5.666667,5.604167,5.645833,3.118139,278400
1990-06-28,5.645833,5.729167,5.625000,5.729167,3.164162,443400
1990-06-29,5.770833,5.875000,5.770833,5.791667,3.198682,231000
1990-07-02,5.833333,5.875000,5.812500,5.833333,3.221693,1001400
1990-07-03,5.854167,5.958333,5.854167,5.916667,3.267718,677400
1990-07-05,5.916667,5.937500,5.833333,5.875000,3.244706,262800
1990-07-06,5.833333,5.979167,5.812500,5.937500,3.279224,386400
1990-07-09,5.958333,5.958333,5.854167,5.916667,3.267718,384600
1990-07-10,5.916667,5.916667,5.854167,5.875000,3.244706,268800
1990-07-11,5.833333,5.916667,5.833333,5.916667,3.267718,480600
1990-07-12,5.916667,6.250000,5.875000,6.208333,3.428802,1089600
1990-07-13,6.229167,6.333333,6.166667,6.166667,3.405790,544800
1990-07-16,6.166667,6.187500,6.145833,6.187500,3.417294,495600
1990-07-17,6.166667,6.187500,6.145833,6.166667,3.405790,355800
1990-07-18,6.145833,6.187500,6.062500,6.104167,3.371272,386400
1990-07-19,6.083333,6.083333,5.958333,5.958333,3.290730,183600
1990-07-20,5.979167,6.083333,5.979167,6.062500,3.348258,1269000
