Date,Open,High,Low,Close,Adj Close,Volume
2015-05-12,1653750.000000,1653750.000000,1653750.000000,1653750.000000,1653750.000000,0
2015-05-13,1653750.000000,1656112.500000,1552162.500000,1601775.000000,1601775.000000,2
2015-05-14,1592325.000000,1640283.750000,1535625.000000,1601775.000000,1601775.000000,0
2015-05-15,1587600.000000,1667925.000000,1559250.000000,1656112.500000,1656112.500000,0
2015-05-18,1653750.000000,1653750.000000,1547437.500000,1559250.000000,1559250.000000,0
2015-05-19,1630125.000000,1637212.500000,1542712.500000,1587600.000000,1587600.000000,0
2015-05-20,1594687.500000,1640520.000000,1594687.500000,1627762.500000,1627762.500000,0
2015-05-21,1639575.000000,1651387.500000,1573425.000000,1641937.500000,1641937.500000,0
2015-05-22,1639575.000000,1656112.500000,1597050.000000,1618312.500000,1618312.500000,0
2015-05-26,1606500.000000,1606500.000000,1559250.000000,1594687.500000,1594687.500000,0
2015-05-27,1571062.500000,1622565.000000,1563975.000000,1606500.000000,1606500.000000,0
2015-05-28,1606500.000000,1625400.000000,1559250.000000,1625400.000000,1625400.000000,0
2015-05-29,1604137.500000,1613587.500000,1571062.500000,1589962.500000,1589962.500000,0
2015-06-01,1571062.500000,1620675.000000,1561612.500000,1563975.000000,1563975.000000,0
2015-06-02,1561612.500000,1589490.000000,1523812.500000,1582875.000000,1582875.000000,0
2015-06-03,1580512.500000,1599412.500000,1545075.000000,1599412.500000,1599412.500000,0
2015-06-04,1599412.500000,1599412.500000,1512000.000000,1552162.500000,1552162.500000,0
2015-06-05,1549800.000000,1568700.000000,1535625.000000,1545075.000000,1545075.000000,0
2015-06-08,1535625.000000,1559722.500000,1436400.000000,1488375.000000,1488375.000000,0
2015-06-09,1490737.500000,1490737.500000,1382062.500000,1386787.500000,1386787.500000,0
2015-06-10,1419862.500000,1476562.500000,1393875.000000,1452937.500000,1452937.500000,0
2015-06-11,1597995.000000,1597995.000000,1467112.500000,1559250.000000,1559250.000000,0
2015-06-12,1500187.500000,1556887.500000,1464750.000000,1549800.000000,1549800.000000,0
2015-06-15,1478925.000000,1550981.250000,1464750.000000,1509637.500000,1509637.500000,0
2015-06-16,1490737.500000,1519087.500000,1481287.500000,1519087.500000,1519087.500000,0
2015-06-17,1521450.000000,1566337.500000,1519087.500000,1537987.500000,1537987.500000,0
2015-06-18,1535625.000000,1548618.750000,1448212.500000,1452937.500000,1452937.500000,0
2015-06-19,1455300.000000,1533262.500000,1320637.500000,1332450.000000,1332450.000000,0
2015-06-22,1337175.000000,1403325.000000,1268662.500000,1275750.000000,1275750.000000,0
2015-06-23,1237950.000000,1282837.500000,1230862.500000,1280475.000000,1280475.000000,0
2015-06-24,1237950.000000,1237950.000000,1222593.750000,1222593.750000,1222593.750000,0
2015-06-25,1228500.000000,1228500.000000,1138725.000000,1168256.250000,1168256.250000,0
2015-06-26,1157625.000000,1183612.500000,1157625.000000,1162350.000000,1162350.000000,0
2015-06-29,1169437.500000,1183612.500000,1077300.000000,1082025.000000,1082025.000000,0
2015-06-30,1103287.500000,1178887.500000,1086750.000000,1138725.000000,1138725.000000,0
2015-07-01,1157625.000000,1204875.000000,1138725.000000,1145812.500000,1145812.500000,0
2015-07-02,1145812.500000,1204875.000000,1096200.000000,1202512.500000,1202512.500000,0
2015-07-06,1183612.500000,1214325.000000,1159987.500000,1204875.000000,1204875.000000,0
2015-07-07,1204875.000000,1204875.000000,1138725.000000,1143450.000000,1143450.000000,0
2015-07-08,1143450.000000,1143450.000000,1143450.000000,1143450.000000,1143450.000000,0
2015-07-09,1181250.000000,1190700.000000,1143450.000000,1175343.750000,1175343.750000,0
2015-07-10,1193062.500000,1235587.500000,1155262.500000,1235587.500000,1235587.500000,0
2015-07-13,1235587.500000,1293468.750000,1188337.500000,1197787.500000,1197787.500000,0
2015-07-14,1197787.500000,1197787.500000,1197787.500000,1197787.500000,1197787.500000,0
2015-07-15,1197787.500000,1197787.500000,1188337.500000,1188337.500000,1188337.500000,0
2015-07-16,1218813.750000,1245037.500000,1202512.500000,1245037.500000,1245037.500000,0
2015-07-17,1188337.500000,1226137.500000,1188337.500000,1188337.500000,1188337.500000,0
2015-07-20,1190700.000000,1190700.000000,1096200.000000,1096200.000000,1096200.000000,0
2015-07-21,1110375.000000,1134000.000000,1011150.000000,1013512.500000,1013512.500000,0
2015-07-22,1001700.000000,1001700.000000,902475.000000,926100.000000,926100.000000,0
2015-07-23,945000.000000,945000.000000,921375.000000,921375.000000,921375.000000,0
2015-07-24,923737.500000,923737.500000,826875.000000,829001.250000,829001.250000,0
2015-07-27,838687.500000,838687.500000,751275.000000,751275.000000,751275.000000,0
2015-07-28,806793.750000,826875.000000,779625.000000,812700.000000,812700.000000,0
2015-07-29,876723.750000,876723.750000,826875.000000,826875.000000,826875.000000,0
2015-07-30,829237.500000,876487.500000,815062.500000,826875.000000,826875.000000,0
2015-07-31,810337.500000,841050.000000,810337.500000,841050.000000,841050.000000,0
2015-08-03,848137.500000,914287.500000,841050.000000,845775.000000,845775.000000,0
2015-08-04,810337.500000,826875.000000,793800.000000,812700.000000,812700.000000,0
2015-08-05,791437.500000,850500.000000,791437.500000,798525.000000,798525.000000,0
2015-08-06,779625.000000,779625.000000,734737.500000,756000.000000,756000.000000,0
2015-08-07,756000.000000,763087.500000,691503.750000,708750.000000,708750.000000,0
2015-08-10,701662.500000,707805.000000,682762.500000,682762.500000,682762.500000,0
2015-08-11,682762.500000,682762.500000,682762.500000,682762.500000,682762.500000,0
2015-08-12,706387.500000,706387.500000,673312.500000,694575.000000,694575.000000,0
2015-08-13,708750.000000,730012.500000,637875.000000,678037.500000,678037.500000,0
2015-08-14,701662.500000,704025.000000,682762.500000,682762.500000,682762.500000,0
2015-08-17,706387.500000,706387.500000,635512.500000,699300.000000,699300.000000,0
2015-08-18,685125.000000,692212.500000,661500.000000,692212.500000,692212.500000,0
