Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.000000,6.250000,5.812500,5.875000,4.615763,72600
1990-01-03,0.000000,6.500000,5.750000,6.375000,5.008594,165000
1990-01-04,0.000000,6.500000,6.250000,6.312500,4.959490,81200
1990-01-05,0.000000,6.500000,6.250000,6.375000,5.008594,39400
1990-01-08,0.000000,6.375000,6.125000,6.375000,5.008594,33400
1990-01-09,0.000000,6.625000,6.250000,6.375000,5.008594,38200
1990-01-10,0.000000,6.500000,6.250000,6.500000,5.106802,45400
1990-01-11,0.000000,6.500000,6.250000,6.500000,5.106802,17000
1990-01-12,0.000000,6.375000,6.125000,6.187500,4.861280,80000
1990-01-15,0.000000,6.375000,6.125000,6.375000,5.008594,20200
1990-01-16,0.000000,6.312500,6.000000,6.125000,4.812179,50200
1990-01-17,0.000000,6.250000,6.000000,6.125000,4.812179,18000
1990-01-18,0.000000,6.125000,5.750000,6.000000,4.713972,50000
1990-01-19,0.000000,6.000000,5.875000,6.000000,4.713972,202800
1990-01-22,0.000000,6.000000,5.750000,5.750000,4.517556,38400
1990-01-23,0.000000,5.875000,5.625000,5.875000,4.615763,97800
1990-01-24,0.000000,5.750000,5.000000,5.375000,4.222933,666000
1990-01-25,0.000000,5.625000,5.250000,5.625000,4.419349,104400
1990-01-26,0.000000,5.625000,5.250000,5.500000,4.321140,15600
1990-01-29,0.000000,5.500000,5.187500,5.187500,4.075622,72400
1990-01-30,0.000000,5.250000,5.000000,5.250000,4.124724,39000
1990-01-31,0.000000,5.375000,5.250000,5.250000,4.124724,48800
1990-02-01,0.000000,5.375000,5.250000,5.312500,4.173831,17200
1990-02-02,0.000000,5.375000,4.375000,4.687500,3.682791,513400
1990-02-05,0.000000,4.750000,4.375000,4.500000,3.535477,622400
1990-02-06,0.000000,4.625000,4.375000,4.500000,3.535477,38600
1990-02-07,0.000000,4.500000,4.375000,4.375000,3.437270,25800
1990-02-08,0.000000,4.500000,4.375000,4.375000,3.437270,50400
1990-02-09,0.000000,4.750000,4.187500,4.500000,3.535477,169600
1990-02-12,0.000000,4.500000,4.375000,4.500000,3.535477,107800
1990-02-13,0.000000,4.500000,4.375000,4.375000,3.437270,50600
1990-02-14,0.000000,4.500000,4.250000,4.250000,3.339062,107600
1990-02-15,0.000000,4.375000,4.125000,4.250000,3.339062,173000
1990-02-16,0.000000,4.375000,4.125000,4.375000,3.437270,24200
1990-02-20,0.000000,4.375000,4.125000,4.125000,3.240855,53000
1990-02-21,0.000000,4.250000,4.125000,4.250000,3.339062,120200
1990-02-22,0.000000,4.250000,4.125000,4.125000,3.240855,70400
1990-02-23,0.000000,4.187500,3.875000,4.125000,3.240855,108000
1990-02-26,0.000000,4.125000,4.000000,4.125000,3.240855,109400
1990-02-27,0.000000,4.125000,4.000000,4.062500,3.191751,37800
1990-02-28,0.000000,4.375000,4.000000,4.375000,3.437270,140200
1990-03-01,0.000000,4.625000,4.375000,4.562500,3.584581,87000
1990-03-02,0.000000,4.562500,4.437500,4.437500,3.486373,42400
1990-03-05,0.000000,4.500000,4.312500,4.375000,3.437270,52200
1990-03-06,0.000000,4.500000,4.250000,4.375000,3.437270,162600
1990-03-07,0.000000,4.375000,4.187500,4.312500,3.388166,28800
1990-03-08,0.000000,4.312500,4.187500,4.250000,3.339062,37000
1990-03-09,0.000000,4.312500,4.187500,4.187500,3.289959,53600
1990-03-12,0.000000,4.312500,4.125000,4.125000,3.240855,88400
1990-03-13,0.000000,4.250000,4.062500,4.062500,3.191751,100600
1990-03-14,0.000000,4.187500,4.062500,4.187500,3.289959,5400
1990-03-15,0.000000,4.187500,4.000000,4.000000,3.142647,361600
1990-03-16,0.000000,4.125000,4.000000,4.125000,3.240855,80400
1990-03-19,0.000000,4.375000,4.062500,4.312500,3.388166,156000
1990-03-20,0.000000,4.375000,4.187500,4.187500,3.289959,211200
1990-03-21,0.000000,4.312500,4.187500,4.250000,3.339062,26200
1990-03-22,0.000000,4.250000,4.187500,4.187500,3.289959,202800
1990-03-23,0.000000,4.312500,4.125000,4.250000,3.339062,80200
1990-03-26,4.250000,4.312500,4.125000,4.125000,3.240855,102600
1990-03-27,4.250000,4.250000,4.187500,4.250000,3.339062,44400
1990-03-28,4.187500,4.250000,4.187500,4.187500,3.289959,90600
1990-03-29,4.187500,4.312500,4.187500,4.187500,3.289959,17000
1990-03-30,4.187500,4.312500,4.187500,4.312500,3.388166,74800
1990-04-02,4.250000,4.250000,4.187500,4.250000,3.339062,37400
1990-04-03,4.250000,4.250000,4.187500,4.187500,3.289959,49200
1990-04-04,4.187500,4.187500,3.625000,3.875000,3.044441,644000
1990-04-05,4.000000,4.250000,4.000000,4.062500,3.191751,163600
1990-04-06,4.187500,4.187500,4.000000,4.187500,3.289959,13200
1990-04-09,4.125000,4.375000,4.062500,4.187500,3.289959,45200
1990-04-10,4.187500,4.250000,4.125000,4.250000,3.339062,22000
1990-04-11,4.250000,4.250000,4.125000,4.187500,3.289959,27800
1990-04-12,4.125000,4.500000,4.125000,4.375000,3.437270,36000
1990-04-16,4.500000,4.812500,4.500000,4.687500,3.682791,117400
1990-04-17,4.750000,4.750000,4.500000,4.687500,3.682791,61200
1990-04-18,4.562500,4.687500,4.562500,4.687500,3.682791,3600
1990-04-19,4.687500,4.687500,4.562500,4.625000,3.633686,17600
1990-04-20,4.687500,4.687500,4.562500,4.562500,3.584581,7200
1990-04-23,4.625000,4.625000,4.500000,4.500000,3.535477,37600
1990-04-24,4.625000,4.750000,4.500000,4.500000,3.535477,47800
1990-04-25,4.500000,4.625000,4.500000,4.500000,3.535477,10400
1990-04-26,4.562500,4.625000,4.562500,4.625000,3.633686,8400
1990-04-27,4.500000,4.625000,4.500000,4.625000,3.633686,18000
1990-04-30,4.625000,4.625000,4.500000,4.562500,3.584581,70400
1990-05-01,4.625000,4.625000,4.500000,4.500000,3.535477,43400
1990-05-02,4.437500,4.500000,4.375000,4.375000,3.437270,14000
1990-05-03,4.500000,4.500000,4.312500,4.375000,3.437270,19200
1990-05-04,4.312500,4.375000,4.250000,4.250000,3.339062,14200
1990-05-07,4.375000,4.500000,4.250000,4.500000,3.535477,36400
1990-05-08,4.500000,4.500000,4.375000,4.375000,3.437270,9200
1990-05-09,4.500000,4.500000,4.312500,4.312500,3.388166,20600
1990-05-10,4.437500,4.437500,4.312500,4.312500,3.388166,41000
1990-05-11,4.437500,4.625000,4.312500,4.500000,3.535477,91200
1990-05-14,4.500000,4.625000,4.500000,4.500000,3.535477,21800
1990-05-15,4.500000,4.500000,4.500000,4.500000,3.535477,7800
1990-05-16,4.562500,4.562500,4.437500,4.437500,3.486373,3800
1990-05-17,4.437500,4.562500,4.437500,4.562500,3.584581,31600
1990-05-18,4.562500,4.562500,4.437500,4.562500,3.584581,13600
1990-05-21,4.437500,4.562500,4.437500,4.562500,3.584581,22800
1990-05-22,4.437500,4.562500,4.437500,4.437500,3.486373,4800
1990-05-23,4.562500,4.562500,4.437500,4.500000,3.535477,133200
1990-05-24,4.437500,4.500000,4.437500,4.500000,3.535477,33200
1990-05-25,4.500000,4.500000,4.437500,4.437500,3.486373,8800
1990-05-29,4.500000,4.500000,4.250000,4.250000,3.339062,11400
1990-05-30,4.500000,4.500000,4.250000,4.250000,3.339062,26200
1990-05-31,4.250000,4.500000,4.250000,4.312500,3.388166,13000
1990-06-01,4.500000,4.500000,4.250000,4.250000,3.339062,2800
1990-06-04,4.312500,4.500000,4.312500,4.500000,3.535477,78800
1990-06-05,4.500000,4.562500,4.312500,4.375000,3.437270,23600
1990-06-06,4.375000,4.375000,4.375000,4.375000,3.437270,200
1990-06-07,4.562500,4.812500,4.437500,4.750000,3.731894,72600
1990-06-08,4.625000,4.750000,4.625000,4.625000,3.633686,16800
1990-06-11,4.750000,4.750000,4.625000,4.750000,3.731894,7400
1990-06-12,4.625000,5.250000,4.625000,5.250000,4.124724,93600
1990-06-13,5.250000,5.312500,5.062500,5.062500,3.977412,111200
1990-06-14,5.000000,5.187500,5.000000,5.125000,4.026515,19200
1990-06-15,5.125000,5.125000,5.000000,5.000000,3.928309,32600
1990-06-18,4.875000,4.875000,3.750000,3.937500,3.093544,924200
1990-06-19,3.812500,4.187500,3.812500,4.187500,3.289959,213000
1990-06-20,4.187500,4.312500,4.125000,4.250000,3.339062,77600
1990-06-21,4.312500,4.312500,4.187500,4.312500,3.388166,27000
1990-06-22,4.187500,4.250000,4.000000,4.000000,3.142647,375400
1990-06-25,4.125000,4.125000,4.000000,4.125000,3.240855,9800
1990-06-26,4.125000,4.125000,3.937500,3.937500,3.093544,6200
1990-06-27,4.125000,4.125000,3.937500,3.937500,3.093544,5400
1990-06-28,3.937500,4.062500,3.937500,3.937500,3.093544,18000
1990-06-29,3.937500,4.125000,3.937500,4.125000,3.240855,24400
1990-07-02,4.125000,4.187500,4.062500,4.187500,3.289959,46200
1990-07-03,4.187500,4.187500,4.062500,4.062500,3.191751,31800
1990-07-05,4.062500,4.250000,4.062500,4.250000,3.339062,66800
1990-07-06,4.312500,4.437500,4.312500,4.437500,3.486373,20000
