Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,2.054688,2.054688,2.039063,2.046875,1.264247,2176000
1990-01-03,2.050781,2.054688,2.039063,2.054688,1.269073,4886400
1990-01-04,2.050781,2.117188,2.042969,2.105469,1.303907,3350400
1990-01-05,2.097656,2.167969,2.097656,2.148438,1.330518,2841600
1990-01-08,2.140625,2.156250,2.132813,2.148438,1.330518,1360000
1990-01-09,2.152344,2.203125,2.140625,2.179688,1.349872,2096000
1990-01-10,2.164063,2.187500,2.160156,2.175781,1.347452,2924800
1990-01-11,2.175781,2.199219,2.171875,2.195313,1.359547,2112000
1990-01-12,2.171875,2.175781,2.136719,2.136719,1.323260,3155200
1990-01-15,2.132813,2.136719,2.113281,2.128906,1.318422,1747200
1990-01-16,2.113281,2.117188,2.097656,2.105469,1.303907,1161600
1990-01-17,2.097656,2.132813,2.093750,2.113281,1.308746,1180800
1990-01-18,2.093750,2.101563,2.078125,2.093750,1.296651,1721600
1990-01-19,2.093750,2.117188,2.078125,2.101563,1.301489,2000000
1990-01-22,2.109375,2.121094,2.105469,2.105469,1.303907,2035200
1990-01-23,2.109375,2.109375,2.078125,2.078125,1.286973,2476800
1990-01-24,2.062500,2.101563,2.050781,2.101563,1.301489,1168000
1990-01-25,2.109375,2.117188,2.082031,2.085938,1.291813,3299200
1990-01-26,2.085938,2.093750,1.984375,2.035156,1.260363,5692800
1990-01-29,2.027344,2.039063,1.984375,2.003906,1.241010,4384000
1990-01-30,2.003906,2.003906,1.875000,1.929688,1.195047,5552000
1990-01-31,1.929688,1.992188,1.929688,1.988281,1.231334,1849600
1990-02-01,1.984375,2.000000,1.968750,2.000000,1.238591,1219200
1990-02-02,1.992188,2.031250,1.988281,1.996094,1.236172,1798400
1990-02-05,1.996094,2.046875,1.992188,2.039063,1.262783,1872000
1990-02-06,2.039063,2.039063,2.000000,2.000000,1.238591,2073600
1990-02-07,2.000000,2.000000,1.957031,1.972656,1.221657,2854400
1990-02-08,1.984375,2.019531,1.976563,1.988281,1.231334,931200
1990-02-09,1.996094,1.996094,1.976563,1.976563,1.224077,1260800
1990-02-12,1.960938,1.996094,1.953125,1.972656,1.221657,2028800
1990-02-13,1.980469,1.980469,1.957031,1.960938,1.214401,3088000
1990-02-14,1.968750,1.984375,1.898438,1.914063,1.185371,2867200
1990-02-15,1.910156,1.914063,1.843750,1.859375,1.151503,1705600
1990-02-16,1.890625,1.898438,1.875000,1.898438,1.175695,11942400
1990-02-20,1.894531,1.914063,1.882813,1.906250,1.180533,1734400
1990-02-21,1.894531,1.945313,1.894531,1.929688,1.195047,2822400
1990-02-22,1.937500,1.976563,1.921875,1.953125,1.209562,1808000
1990-02-23,1.945313,1.945313,1.921875,1.921875,1.190209,3414400
1990-02-26,1.937500,1.937500,1.878906,1.914063,1.185371,3561600
1990-02-27,1.914063,1.917969,1.906250,1.910156,1.182951,547200
1990-02-28,1.906250,1.906250,1.890625,1.890625,1.170856,960000
1990-03-01,1.890625,1.894531,1.875000,1.890625,1.170856,3568000
1990-03-02,1.890625,1.906250,1.875000,1.902344,1.178113,4182400
1990-03-05,1.906250,1.960938,1.906250,1.914063,1.185371,1907200
1990-03-06,1.917969,2.000000,1.917969,1.992188,1.233753,1052800
1990-03-07,1.996094,2.007813,1.945313,1.953125,1.209562,2108800
1990-03-08,1.960938,2.000000,1.960938,1.988281,1.231334,3168000
1990-03-09,1.988281,2.000000,1.968750,1.972656,1.221657,1795200
1990-03-12,1.972656,1.980469,1.960938,1.976563,1.224077,1424000
1990-03-13,1.968750,1.980469,1.914063,1.921875,1.190209,1580800
1990-03-14,1.921875,1.964844,1.921875,1.960938,1.214401,1318400
1990-03-15,1.960938,2.011719,1.960938,1.972656,1.221657,1622400
1990-03-16,1.992188,2.000000,1.976563,1.992188,1.233753,1097600
1990-03-19,1.992188,1.992188,1.968750,1.984375,1.228915,1180800
1990-03-20,1.976563,2.011719,1.976563,1.976563,1.224077,5276800
1990-03-21,1.984375,1.996094,1.984375,1.984375,1.228915,1123200
1990-03-22,1.984375,1.996094,1.937500,1.941406,1.202304,1468800
1990-03-23,1.953125,1.953125,1.925781,1.929688,1.195047,1900800
1990-03-26,1.937500,1.937500,1.929688,1.929688,1.195047,902400
1990-03-27,1.929688,1.929688,1.921875,1.925781,1.192628,1411200
1990-03-28,1.925781,1.960938,1.925781,1.953125,1.209562,2438400
1990-03-29,1.945313,1.945313,1.925781,1.933594,1.197466,694400
1990-03-30,1.933594,1.933594,1.921875,1.929688,1.195047,764800
1990-04-02,1.914063,1.921875,1.906250,1.921875,1.190209,694400
1990-04-03,1.929688,1.960938,1.921875,1.953125,1.209562,2083200
1990-04-04,1.949219,1.984375,1.949219,1.980469,1.229940,1958400
1990-04-05,1.992188,2.035156,1.992188,2.019531,1.254199,1033600
1990-04-06,2.027344,2.035156,2.007813,2.031250,1.261477,1609600
1990-04-09,2.039063,2.085938,2.035156,2.078125,1.290588,2988800
1990-04-10,2.085938,2.117188,2.082031,2.109375,1.309995,4569600
1990-04-11,2.101563,2.125000,2.093750,2.109375,1.309995,1644800
1990-04-12,2.093750,2.101563,2.062500,2.101563,1.305143,2300800
1990-04-16,2.097656,2.117188,2.066406,2.066406,1.283309,2486400
1990-04-17,2.070313,2.085938,2.066406,2.078125,1.290588,1334400
1990-04-18,2.078125,2.078125,2.054688,2.054688,1.276032,1280000
1990-04-19,2.046875,2.054688,2.023438,2.050781,1.273605,1174400
1990-04-20,2.054688,2.054688,2.015625,2.019531,1.254199,1929600
1990-04-23,2.007813,2.007813,1.996094,2.003906,1.244495,889600
1990-04-24,2.011719,2.031250,1.945313,1.968750,1.222662,4326400
1990-04-25,1.968750,1.984375,1.968750,1.980469,1.229940,1401600
1990-04-26,1.980469,2.007813,1.976563,1.984375,1.232366,1699200
1990-04-27,1.992188,1.992188,1.972656,1.972656,1.225088,550400
1990-04-30,1.972656,2.000000,1.972656,1.992188,1.237218,803200
1990-05-01,1.992188,2.015625,1.968750,1.988281,1.234791,3606400
1990-05-02,2.000000,2.082031,1.984375,2.074219,1.288162,2963200
1990-05-03,2.093750,2.117188,2.078125,2.085938,1.295440,1913600
1990-05-04,2.097656,2.097656,2.070313,2.078125,1.290588,1779200
1990-05-07,2.078125,2.089844,2.078125,2.085938,1.295440,3027200
1990-05-08,2.093750,2.132813,2.089844,2.125000,1.319699,1977600
1990-05-09,2.132813,2.183594,2.132813,2.183594,1.356088,2310400
1990-05-10,2.183594,2.242188,2.183594,2.218750,1.377921,2950400
