Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,14.640000,15.000000,14.000000,14.320000,13.991308,4900
1990-01-03,14.320000,15.000000,13.720000,14.320000,13.991308,7000
1990-01-04,14.320000,14.640000,14.000000,14.000000,13.678653,5800
1990-01-05,14.320000,15.000000,14.320000,14.640000,14.303964,7100
1990-01-08,14.640000,15.240000,14.640000,14.640000,14.303964,4300
1990-01-09,14.640000,15.240000,14.320000,15.000000,14.655701,10800
1990-01-10,15.240000,17.480000,15.240000,16.879999,16.492546,18800
1990-01-11,16.879999,18.080000,16.240000,18.080000,17.665005,21000
1990-01-12,18.080000,18.400000,16.879999,17.160000,16.766119,18400
1990-01-15,17.160000,17.799999,16.879999,17.160000,16.766119,8500
1990-01-16,17.160000,17.799999,16.240000,16.879999,16.492546,5800
1990-01-17,16.879999,17.799999,16.240000,17.160000,16.766119,6500
1990-01-18,17.160000,17.480000,16.240000,16.240000,15.867239,10100
1990-01-19,16.240000,16.879999,16.240000,16.240000,15.867239,11100
1990-01-22,16.240000,16.559999,15.560000,16.240000,15.867239,8700
1990-01-23,16.240000,16.559999,15.560000,16.240000,15.867239,21300
1990-01-24,16.240000,16.879999,16.240000,16.559999,16.179893,5700
1990-01-25,16.559999,16.559999,15.880000,16.240000,15.867239,4200
1990-01-26,16.240000,16.559999,15.000000,15.240000,14.890190,29100
1990-01-29,15.240000,15.560000,15.240000,15.560000,15.202847,4500
1990-01-30,15.560000,15.560000,14.320000,14.640000,14.303964,9300
1990-01-31,14.640000,15.000000,13.720000,14.000000,13.678653,13000
1990-02-01,14.000000,14.320000,13.080000,13.720000,13.405081,12200
1990-02-02,13.720000,13.720000,12.480000,13.400000,13.092423,7500
1990-02-05,13.400000,18.080000,13.080000,14.000000,13.678653,11800
1990-02-06,14.000000,14.320000,13.720000,14.320000,13.991308,7600
1990-02-07,14.320000,14.320000,13.720000,14.000000,13.678653,5800
1990-02-08,14.000000,14.320000,13.400000,14.320000,13.991308,7100
1990-02-09,14.320000,14.320000,13.720000,13.720000,13.405081,4200
1990-02-12,13.720000,14.320000,13.720000,13.720000,13.405081,3600
1990-02-13,13.720000,14.320000,13.720000,13.720000,13.405081,6900
1990-02-14,13.720000,14.320000,13.720000,13.720000,13.405081,4500
1990-02-15,13.720000,14.000000,13.720000,13.720000,13.405081,5000
1990-02-16,13.720000,14.320000,13.720000,13.720000,13.405081,12500
1990-02-20,12.480000,12.480000,4.320000,5.000000,4.885233,60300
1990-02-21,5.000000,7.160000,4.000000,6.880000,6.722080,87800
1990-02-22,6.880000,8.080000,6.560000,7.800000,7.620964,54700
1990-02-23,7.480000,7.480000,6.560000,7.160000,6.995654,29400
1990-02-26,7.160000,7.160000,5.560000,6.240000,6.096771,57300
1990-02-27,6.240000,6.560000,5.560000,5.880000,5.745034,10900
1990-02-28,5.880000,6.560000,5.560000,6.240000,6.096771,14900
1990-03-01,6.240000,6.560000,5.560000,6.560000,6.409425,22400
1990-03-02,6.560000,6.880000,5.880000,6.880000,6.722080,32500
1990-03-05,6.880000,8.720000,6.880000,8.400000,8.207191,48000
1990-03-06,8.400000,9.000000,8.080000,8.720000,8.519847,25100
1990-03-07,8.720000,9.320000,8.400000,8.400000,8.207191,17500
1990-03-08,8.400000,8.720000,7.800000,8.400000,8.207191,12100
1990-03-09,8.400000,8.720000,7.800000,8.400000,8.207191,12600
1990-03-12,8.400000,8.400000,7.800000,7.800000,7.620964,10100
1990-03-13,7.800000,8.080000,7.480000,8.080000,7.894536,4400
1990-03-14,8.080000,8.080000,7.480000,7.800000,7.620964,4600
1990-03-15,7.800000,8.080000,7.480000,8.080000,7.894536,6800
1990-03-16,8.080000,8.080000,7.480000,7.800000,7.620964,7100
1990-03-19,7.800000,8.080000,7.480000,7.800000,7.620964,12700
1990-03-20,7.800000,7.800000,7.160000,7.480000,7.308308,5600
1990-03-21,7.480000,7.480000,6.880000,7.480000,7.308308,3400
1990-03-22,7.160000,7.160000,6.880000,6.880000,6.722080,3100
1990-03-23,6.880000,7.480000,6.880000,6.880000,6.722080,8700
1990-03-26,6.880000,7.160000,6.240000,6.560000,6.409425,11000
1990-03-27,6.560000,7.480000,6.560000,7.480000,7.308308,4800
1990-03-28,7.480000,7.800000,7.160000,7.160000,6.995654,2300
1990-03-29,7.160000,7.800000,7.160000,7.160000,6.995654,5600
1990-03-30,7.160000,7.800000,6.880000,7.480000,7.308308,11900
1990-04-02,7.480000,7.800000,6.880000,7.160000,6.995654,8500
1990-04-03,7.480000,8.400000,7.480000,7.480000,7.308308,12200
1990-04-04,7.480000,8.080000,7.480000,7.800000,7.620964,4100
1990-04-05,7.800000,8.080000,6.880000,7.480000,7.308308,18000
1990-04-06,7.480000,7.480000,6.880000,6.880000,6.722080,2400
1990-04-09,6.880000,7.480000,6.880000,7.160000,6.995654,7700
1990-04-10,6.880000,6.880000,6.240000,6.880000,6.722080,5600
1990-04-11,6.880000,7.480000,5.880000,7.480000,7.308308,12200
1990-04-12,7.160000,7.160000,6.560000,7.160000,6.995654,2900
1990-04-16,7.160000,7.160000,6.560000,6.880000,6.722080,4100
1990-04-17,6.880000,7.160000,6.240000,6.880000,6.722080,5600
1990-04-18,6.880000,6.880000,6.240000,6.560000,6.409425,5500
1990-04-19,6.560000,7.160000,6.560000,6.880000,6.722080,10000
1990-04-20,6.880000,7.160000,6.560000,7.160000,6.995654,3300
1990-04-23,6.880000,6.880000,6.560000,6.880000,6.722080,3300
1990-04-24,6.880000,6.880000,6.560000,6.560000,6.409425,2000
