Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,4.562500,4.562500,4.500000,4.562500,1.221715,1388000
1990-01-03,4.531250,4.531250,4.484375,4.500000,1.204980,2979200
1990-01-04,4.484375,4.484375,4.343750,4.390625,1.175691,3014400
1990-01-05,4.406250,4.406250,4.281250,4.328125,1.158956,4585600
1990-01-08,4.312500,4.312500,4.203125,4.250000,1.138036,8185600
1990-01-09,4.250000,4.250000,4.140625,4.203125,1.125484,2710400
1990-01-10,4.187500,4.250000,4.171875,4.234375,1.133852,5092800
1990-01-11,4.250000,4.296875,4.250000,4.265625,1.142220,3532000
1990-01-12,4.250000,4.265625,4.171875,4.171875,1.117116,2315200
1990-01-15,4.203125,4.218750,4.171875,4.203125,1.125484,1595200
1990-01-16,4.187500,4.265625,4.187500,4.265625,1.142220,4872000
1990-01-17,4.281250,4.328125,4.265625,4.281250,1.146404,1694400
1990-01-18,4.265625,4.296875,4.250000,4.296875,1.150588,3430400
1990-01-19,4.296875,4.312500,4.265625,4.296875,1.150588,4951200
1990-01-22,4.312500,4.312500,4.218750,4.218750,1.129668,1542400
1990-01-23,4.218750,4.265625,4.218750,4.250000,1.138036,968000
1990-01-24,4.218750,4.265625,4.218750,4.234375,1.133852,1544800
1990-01-25,4.250000,4.250000,4.218750,4.218750,1.129668,1412800
1990-01-26,4.218750,4.250000,4.203125,4.234375,1.133852,2711200
1990-01-29,4.234375,4.234375,4.203125,4.234375,1.133852,1176000
1990-01-30,4.203125,4.218750,4.125000,4.203125,1.125484,1429600
1990-01-31,4.218750,4.265625,4.218750,4.250000,1.138036,1316800
1990-02-01,4.234375,4.250000,4.187500,4.218750,1.129668,1403200
1990-02-02,4.203125,4.234375,4.203125,4.218750,1.129668,927200
1990-02-05,4.218750,4.250000,4.187500,4.187500,1.121300,1413600
1990-02-06,4.187500,4.218750,4.187500,4.218750,1.129668,1007200
1990-02-07,4.203125,4.296875,4.187500,4.296875,1.150588,942400
1990-02-08,4.281250,4.312500,4.203125,4.218750,1.129668,1676000
1990-02-09,4.250000,4.265625,4.187500,4.234375,1.133852,1153600
1990-02-12,4.234375,4.234375,4.187500,4.218750,1.129668,702400
1990-02-13,4.234375,4.250000,4.171875,4.250000,1.138036,1529600
1990-02-14,4.250000,4.296875,4.250000,4.281250,1.146404,845600
1990-02-15,4.265625,4.281250,4.250000,4.250000,1.138036,626400
1990-02-16,4.281250,4.281250,4.250000,4.265625,1.142220,989600
1990-02-20,4.234375,4.234375,4.156250,4.171875,1.117116,1080000
1990-02-21,4.125000,4.203125,4.109375,4.187500,1.121300,7807200
1990-02-22,4.078125,4.093750,4.062500,4.062500,1.106658,3148800
1990-02-23,4.046875,4.078125,4.031250,4.062500,1.106658,3872800
1990-02-26,4.062500,4.109375,4.031250,4.109375,1.119428,4744800
1990-02-27,4.093750,4.125000,4.062500,4.078125,1.110915,1940000
1990-02-28,4.093750,4.125000,4.078125,4.109375,1.119428,1308800
1990-03-01,4.093750,4.140625,4.093750,4.140625,1.127941,1053600
1990-03-02,4.156250,4.187500,4.140625,4.171875,1.136453,676000
1990-03-05,4.156250,4.156250,4.125000,4.125000,1.123684,1664000
1990-03-06,4.093750,4.140625,4.093750,4.140625,1.127941,2275200
1990-03-07,4.140625,4.156250,4.109375,4.125000,1.123684,568800
1990-03-08,4.140625,4.140625,4.093750,4.125000,1.123684,915200
1990-03-09,4.109375,4.140625,4.109375,4.125000,1.123684,1016800
1990-03-12,4.109375,4.156250,4.109375,4.156250,1.132196,2227200
1990-03-13,4.140625,4.156250,4.109375,4.125000,1.123684,1156000
1990-03-14,4.125000,4.156250,4.109375,4.156250,1.132196,852000
1990-03-15,4.140625,4.171875,4.125000,4.140625,1.127941,1404800
1990-03-16,4.140625,4.140625,4.109375,4.125000,1.123684,2047200
1990-03-19,4.125000,4.125000,4.078125,4.109375,1.119428,809600
1990-03-20,4.078125,4.109375,4.046875,4.093750,1.115171,686400
1990-03-21,4.109375,4.109375,4.046875,4.046875,1.102402,1237600
1990-03-22,4.062500,4.062500,3.984375,4.031250,1.098145,1391200
1990-03-23,4.062500,4.062500,4.015625,4.031250,1.098145,664000
1990-03-26,4.046875,4.062500,4.000000,4.031250,1.098145,3773600
1990-03-27,4.015625,4.031250,3.984375,4.031250,1.098145,1042400
1990-03-28,4.015625,4.078125,4.000000,4.062500,1.106658,2505600
1990-03-29,4.062500,4.078125,4.015625,4.031250,1.098145,820800
1990-03-30,4.015625,4.031250,3.968750,4.015625,1.093889,1339200
1990-04-02,4.015625,4.015625,3.968750,4.000000,1.089633,1122400
1990-04-03,4.000000,4.078125,3.968750,4.015625,1.093889,3593600
1990-04-04,4.046875,4.062500,4.015625,4.031250,1.098145,864800
1990-04-05,4.031250,4.062500,3.984375,3.984375,1.085376,888000
1990-04-06,4.000000,4.015625,3.984375,4.015625,1.093889,489600
1990-04-09,4.015625,4.062500,4.000000,4.015625,1.093889,976000
1990-04-10,4.015625,4.015625,3.968750,3.968750,1.081120,512800
1990-04-11,3.984375,4.031250,3.953125,4.031250,1.098145,1752800
1990-04-12,4.015625,4.046875,4.000000,4.015625,1.093889,586400
1990-04-16,4.046875,4.062500,3.984375,4.000000,1.089633,1760800
1990-04-17,3.984375,4.015625,3.968750,4.000000,1.089633,708800
1990-04-18,4.000000,4.015625,3.953125,3.968750,1.081120,1274400
1990-04-19,3.968750,3.968750,3.906250,3.937500,1.072607,1047200
1990-04-20,3.953125,3.953125,3.828125,3.843750,1.047069,1782400
1990-04-23,3.843750,3.859375,3.781250,3.812500,1.038556,876800
1990-04-24,3.828125,3.890625,3.828125,3.843750,1.047069,653600
1990-04-25,3.859375,3.890625,3.812500,3.828125,1.042812,411200
1990-04-26,3.843750,3.843750,3.765625,3.796875,1.034300,715200
1990-04-27,3.765625,3.812500,3.718750,3.734375,1.017274,1219200
1990-04-30,3.734375,3.734375,3.687500,3.718750,1.013018,1381600
1990-05-01,3.734375,3.796875,3.718750,3.796875,1.034300,1399200
1990-05-02,3.796875,3.812500,3.750000,3.812500,1.038556,1912000
1990-05-03,3.812500,3.828125,3.765625,3.781250,1.030044,896000
1990-05-04,3.781250,3.781250,3.734375,3.765625,1.025787,2115200
1990-05-07,3.750000,3.812500,3.750000,3.796875,1.034300,1108000
1990-05-08,3.796875,3.906250,3.796875,3.906250,1.064094,1463200
1990-05-09,3.906250,3.921875,3.875000,3.921875,1.068351,1368000
1990-05-10,3.906250,3.937500,3.906250,3.937500,1.072607,1525600
1990-05-11,3.953125,4.015625,3.921875,4.015625,1.093889,1314400
1990-05-14,4.015625,4.046875,4.000000,4.046875,1.102402,1985600
1990-05-15,4.031250,4.046875,4.015625,4.031250,1.098145,1856800
1990-05-16,4.031250,4.046875,4.015625,4.046875,1.102402,1238400
1990-05-17,4.031250,4.062500,4.031250,4.046875,1.102402,1263200
1990-05-18,4.046875,4.046875,3.968750,4.031250,1.098145,1800000
1990-05-21,4.015625,4.031250,4.000000,4.031250,1.098145,1749600
1990-05-22,4.031250,4.031250,3.937500,4.031250,1.098145,1475200
1990-05-23,4.015625,4.031250,3.953125,4.015625,1.093889,3572000
1990-05-24,3.937500,3.937500,3.875000,3.906250,1.084003,1902400
1990-05-25,3.906250,3.906250,3.875000,3.875000,1.075332,1875200
1990-05-29,3.890625,3.906250,3.875000,3.890625,1.079666,1148800
1990-05-30,3.906250,3.921875,3.890625,3.906250,1.084003,1288800
1990-05-31,3.906250,3.953125,3.906250,3.953125,1.097011,1603200
1990-06-01,3.968750,3.968750,3.937500,3.953125,1.097011,1608000
1990-06-04,3.937500,4.031250,3.921875,4.015625,1.114355,3388800
1990-06-05,4.000000,4.046875,4.000000,4.015625,1.114355,3587200
