Date,Open,High,Low,Close,Adj Close,Volume
2021-12-22,4.400000,4.660000,3.070000,3.520000,3.520000,2330100
2021-12-23,3.300000,3.500000,3.080000,3.120000,3.120000,527200
2021-12-27,3.120000,3.150000,2.820000,3.150000,3.150000,396700
2021-12-28,3.010000,3.170000,2.900000,2.920000,2.920000,268400
2021-12-29,2.850000,3.030000,2.610000,2.640000,2.640000,326200
2021-12-30,2.650000,2.810000,2.620000,2.660000,2.660000,218000
2021-12-31,2.710000,2.710000,2.550000,2.610000,2.610000,137300
2022-01-03,2.690000,2.900000,2.640000,2.805000,2.805000,277100
2022-01-04,2.990000,3.010000,2.800000,2.850000,2.850000,193200
2022-01-05,2.890000,3.000000,2.810000,2.850000,2.850000,93100
2022-01-06,2.850000,2.910000,2.600000,2.690000,2.690000,77000
2022-01-07,2.652000,2.800000,2.640000,2.710000,2.710000,56000
2022-01-10,2.740000,2.780000,2.680000,2.764000,2.764000,32000
2022-01-11,2.790000,2.990000,2.740000,2.930000,2.930000,180200
2022-01-12,3.470000,3.620000,3.020000,3.280000,3.280000,13967100
2022-01-13,3.090000,3.090000,2.700000,2.770000,2.770000,513100
2022-01-14,2.520000,2.760000,2.520000,2.740000,2.740000,126000
2022-01-18,2.650000,2.870000,2.510000,2.800000,2.800000,164800
2022-01-19,2.740000,2.990000,2.690000,2.900000,2.900000,81300
2022-01-20,2.810000,2.930000,2.700000,2.720000,2.720000,193900
2022-01-21,2.590000,2.650000,2.450000,2.490000,2.490000,70400
2022-01-24,2.380000,2.800000,2.250000,2.660000,2.660000,421700
2022-01-25,2.520000,2.750000,2.500000,2.680000,2.680000,263900
2022-01-26,2.530000,2.800000,2.497000,2.700000,2.700000,366300
2022-01-27,2.610000,2.680000,2.510000,2.680000,2.680000,222800
2022-01-28,2.570000,2.580000,2.350000,2.510000,2.510000,120600
2022-01-31,2.500000,2.790000,2.410000,2.658000,2.658000,241600
2022-02-01,2.550000,2.690000,2.520000,2.690000,2.690000,140500
2022-02-02,2.670000,2.690000,2.610000,2.610000,2.610000,26900
2022-02-03,2.553000,2.600000,2.400000,2.510000,2.510000,96200
2022-02-04,2.470000,2.560000,2.410000,2.420000,2.420000,27700
2022-02-07,2.450000,2.470000,2.300000,2.400000,2.400000,100300
2022-02-08,2.430000,2.430000,2.250000,2.320000,2.320000,70100
2022-02-09,2.300000,2.390000,2.300000,2.310000,2.310000,76700
2022-02-10,2.270000,2.300000,2.200000,2.260000,2.260000,131800
2022-02-11,2.220000,2.220000,2.028000,2.090000,2.090000,103400
2022-02-14,2.090000,2.110000,2.020000,2.020000,2.020000,58900
2022-02-15,2.020000,2.208000,2.020000,2.130000,2.130000,110300
2022-02-16,2.140000,2.140000,2.000000,2.010000,2.010000,92600
2022-02-17,2.030000,2.030000,1.890000,1.890000,1.890000,27800
2022-02-18,1.900000,1.955000,1.870000,1.870000,1.870000,80500
2022-02-22,1.860000,1.974000,1.860000,1.920000,1.920000,93200
2022-02-23,1.910000,1.910000,1.800000,1.830000,1.830000,37000
2022-02-24,1.710000,1.900000,1.710000,1.810000,1.810000,21000
2022-02-25,1.790000,2.090000,1.790000,1.940000,1.940000,132600
2022-02-28,1.980000,1.980000,1.830000,1.920000,1.920000,24600
2022-03-01,1.820000,1.940000,1.798000,1.915000,1.915000,45800
2022-03-02,1.910000,2.020000,1.850000,1.890000,1.890000,40200
2022-03-03,1.910000,1.910000,1.700000,1.800000,1.800000,41200
2022-03-04,1.890000,1.890000,1.780000,1.780000,1.780000,5200
2022-03-07,1.800000,1.940000,1.690000,1.780000,1.780000,44600
2022-03-08,1.672000,1.880000,1.650000,1.700000,1.700000,84800
2022-03-09,1.840000,2.100000,1.780000,1.890000,1.890000,637000
2022-03-10,1.880000,1.950000,1.810000,1.940000,1.940000,34500
2022-03-11,1.860000,2.190000,1.840000,1.935000,1.935000,104800
2022-03-14,1.900000,1.902000,1.700000,1.730000,1.730000,37500
2022-03-15,1.680000,1.830000,1.680000,1.780000,1.780000,69800
2022-03-16,1.700000,1.810000,1.660000,1.780000,1.780000,35000
2022-03-17,1.850000,1.980000,1.723000,1.940000,1.940000,29200
2022-03-18,1.940000,2.110000,1.700000,1.710000,1.710000,94800
2022-03-21,1.970000,2.680000,1.800000,2.060000,2.060000,2571700
2022-03-22,2.200000,2.310000,1.850000,1.970000,1.970000,535900
2022-03-23,1.910000,2.000000,1.880000,1.940000,1.940000,154800
