Date,Open,High,Low,Close,Adj Close,Volume
2023-03-22,4.150000,4.150000,4.070000,4.140000,4.140000,25500
2023-03-23,4.100000,4.195000,4.060000,4.180000,4.180000,92100
2023-03-24,4.130000,4.310000,4.130000,4.289000,4.289000,40100
2023-03-27,4.210000,4.400000,4.190000,4.340000,4.340000,31100
2023-03-28,4.270000,5.200000,4.180000,4.340000,4.340000,279200
2023-03-29,4.270000,4.390000,4.240000,4.280000,4.280000,180900
2023-03-30,4.381000,4.390000,4.200000,4.215000,4.215000,71900
2023-03-31,4.230000,4.341000,4.220000,4.270000,4.270000,39900
2023-04-03,4.520000,5.090000,3.800000,4.060000,4.060000,441000
2023-04-04,4.090000,4.200000,4.000000,4.120000,4.120000,122200
2023-04-05,4.085000,4.150000,4.017000,4.110000,4.110000,96500
2023-04-06,4.041000,4.360000,4.041000,4.340000,4.340000,67200
2023-04-10,4.240000,4.710000,4.240000,4.420000,4.420000,686900
2023-04-11,4.510000,4.900000,4.422000,4.870000,4.870000,185700
2023-04-12,4.880000,6.170000,4.620000,4.710000,4.710000,462200
2023-04-13,4.610000,4.960000,4.500000,4.620000,4.620000,182300
2023-04-14,4.600000,5.400000,4.600000,5.073000,5.073000,687800
2023-04-17,5.900000,6.340000,4.630000,4.960000,4.960000,210800
2023-04-18,5.080000,5.120000,4.860000,4.880000,4.880000,23300
2023-04-19,4.750000,5.760000,4.750000,5.605000,5.605000,323100
2023-04-20,5.550000,5.550000,5.000000,5.070000,5.070000,235600
2023-04-21,5.100000,5.318000,5.100000,5.160000,5.160000,15100
2023-04-24,5.450000,5.800000,5.180000,5.615000,5.615000,60800
2023-04-25,5.610000,6.919000,5.610000,6.690000,6.690000,165900
2023-04-26,6.760000,7.799000,6.272000,7.500000,7.500000,155500
2023-04-27,7.690000,7.690000,6.800000,6.880000,6.880000,201300
2023-04-28,6.800000,7.090000,6.735000,6.900000,6.900000,19000
2023-05-01,6.760000,7.040000,5.631000,5.980000,5.980000,198800
2023-05-02,6.000000,6.100000,5.850000,5.860000,5.860000,20400
2023-05-03,5.760000,6.095000,5.480000,5.850000,5.850000,61900
2023-05-04,5.700000,5.810000,5.150000,5.600000,5.600000,53600
2023-05-05,5.649000,6.199000,5.600000,6.199000,6.199000,30300
2023-05-08,6.310000,27.129999,6.310000,25.980000,25.980000,1286500
2023-05-09,17.389999,18.700001,9.800000,12.520000,12.520000,2365300
2023-05-10,11.450000,16.000000,10.001000,13.249000,13.249000,1426500
2023-05-11,12.570000,14.880000,11.310000,14.510000,14.510000,517300
2023-05-12,13.800000,20.500000,12.500000,18.459999,18.459999,1330000
