Date,Open,High,Low,Close,Adj Close,Volume
2022-02-18,50.000000,57.500000,38.000000,57.400002,57.400002,131800
2022-02-22,67.500000,90.900002,50.099998,56.970001,56.970001,107300
2022-02-23,47.389999,51.799999,32.549999,49.799999,49.799999,59100
2022-02-24,40.020000,44.500000,36.480000,42.805000,42.805000,43200
2022-02-25,38.990002,44.490002,37.612000,44.349998,44.349998,36100
2022-02-28,47.439999,53.279999,44.810001,49.599998,49.599998,42500
2022-03-01,53.060001,56.619999,50.000000,56.619999,56.619999,24400
2022-03-02,56.720001,65.300003,53.580002,61.380001,61.380001,22600
2022-03-03,62.119999,65.099998,59.029999,63.000000,63.000000,21900
2022-03-04,63.500000,63.500000,60.000000,61.500000,61.500000,9800
2022-03-07,57.189999,62.000000,47.610001,61.500000,61.500000,15400
2022-03-08,59.650002,60.889999,59.650002,60.889999,60.889999,2200
2022-03-09,61.000000,64.500000,57.400002,61.099998,61.099998,2900
2022-03-10,59.900002,65.000000,59.900002,65.000000,65.000000,8700
2022-03-11,63.700001,63.700001,59.500000,62.110001,62.110001,10800
2022-03-14,60.459999,63.000000,57.840000,61.849998,61.849998,11700
2022-03-15,56.509998,67.900002,56.000000,67.900002,67.900002,12500
2022-03-16,66.980003,69.480003,22.990000,42.000000,42.000000,444200
2022-03-17,36.689999,41.310001,35.500000,40.810001,40.810001,76200
2022-03-18,39.090000,43.880001,35.049999,39.900002,39.900002,75200
2022-03-21,39.110001,41.990002,38.009998,41.990002,41.990002,21400
2022-03-22,39.349998,46.470001,38.000000,46.470001,46.470001,25700
2022-03-23,45.450001,52.000000,44.759998,51.410000,51.410000,12800
2022-03-24,49.400002,51.990002,44.360001,51.630001,51.630001,38500
2022-03-25,51.000000,53.340000,42.610001,51.110001,51.110001,62000
2022-03-28,45.220001,50.750000,45.220001,48.990002,48.990002,28400
2022-03-29,47.009998,51.990002,47.009998,51.900002,51.900002,16300
2022-03-30,50.099998,54.351002,50.099998,53.840000,53.840000,11700
2022-03-31,52.200001,56.549999,52.200001,56.500000,56.500000,11400
2022-04-01,53.740002,61.919998,53.740002,61.919998,61.919998,16200
2022-04-04,58.570000,63.500000,58.570000,63.000000,63.000000,26400
2022-04-05,62.880001,62.880001,62.520000,62.880001,62.880001,4000
2022-04-06,62.820000,62.820000,56.935001,59.000000,59.000000,18900
2022-04-07,57.880001,62.000000,9.900000,10.170000,10.170000,5583800
2022-04-08,12.680000,14.140000,10.653000,10.850000,10.850000,10715900
2022-04-11,9.600000,9.790000,8.010000,8.050000,8.050000,1916300
2022-04-12,7.570000,8.226000,6.550000,6.650000,6.650000,1394400
2022-04-13,6.900000,7.150000,6.020000,6.180000,6.180000,1429400
2022-04-14,6.240000,7.480000,5.800000,6.160000,6.160000,1944100
2022-04-18,6.180000,6.282000,5.480000,6.070000,6.070000,827200
2022-04-19,6.000000,6.450000,5.780000,6.100000,6.100000,828600
2022-04-20,6.030000,6.200000,5.640000,5.700000,5.700000,783800
2022-04-21,5.620000,5.870000,4.760000,5.050000,5.050000,1377300
2022-04-22,4.810000,5.360000,4.800000,4.850000,4.850000,750500
2022-04-25,4.800000,4.850000,4.510000,4.580000,4.580000,345000
2022-04-26,4.530000,4.600000,4.040000,4.160000,4.160000,663400
2022-04-27,4.200000,4.590000,4.000000,4.060000,4.060000,1248700
2022-04-28,4.060000,4.080000,3.580000,3.660000,3.660000,747800
2022-04-29,3.630000,4.190000,3.510000,3.590000,3.590000,990900
2022-05-02,3.590000,3.700000,3.260000,3.340000,3.340000,516200
2022-05-03,3.380000,7.120000,3.260000,6.450000,6.450000,35324200
2022-05-04,4.890000,5.690000,4.200000,4.340000,4.340000,5402800
2022-05-05,4.260000,4.790000,3.610000,3.690000,3.690000,1635300
2022-05-06,3.740000,4.340000,3.560000,3.760000,3.760000,2968700
2022-05-09,3.700000,6.430000,3.647000,5.420000,5.420000,35570600
2022-05-10,4.470000,6.490000,4.260000,5.070000,5.070000,17087600
2022-05-11,5.220000,6.840000,5.150000,6.010000,6.010000,25870100
2022-05-12,6.420000,7.150000,5.875000,6.710000,6.710000,20702300
2022-05-13,6.580000,7.300000,5.520000,5.660000,5.660000,6662500
2022-05-16,5.240000,5.660000,4.060000,4.100000,4.100000,2591300
2022-05-17,4.230000,5.670000,4.020000,4.830000,4.830000,9269600
2022-05-18,4.950000,5.250000,4.510000,4.650000,4.650000,2320800
2022-05-19,4.620000,5.090000,4.310000,4.350000,4.350000,2711400
2022-05-20,4.390000,4.670000,4.100000,4.160000,4.160000,1089100
2022-05-23,4.270000,4.330000,4.020000,4.140000,4.140000,784900
2022-05-24,4.170000,4.440000,3.820000,4.120000,4.120000,1087800
2022-05-25,4.050000,4.400000,4.025000,4.300000,4.300000,716400
2022-05-26,4.300000,4.710000,4.245000,4.350000,4.350000,886100
2022-05-27,4.270000,4.394000,4.060000,4.130000,4.130000,465700
2022-05-31,4.290000,4.580000,4.120000,4.410000,4.410000,911300
2022-06-01,4.320000,4.390000,4.050000,4.060000,4.060000,468000
2022-06-02,4.080000,4.286000,3.900000,3.960000,3.960000,776200
2022-06-03,3.980000,4.090000,3.800000,3.850000,3.850000,336600
2022-06-06,3.860000,3.940000,3.580000,3.650000,3.650000,341600
2022-06-07,3.560000,3.610000,3.370000,3.470000,3.470000,320600
2022-06-08,3.500000,3.970000,3.480000,3.770000,3.770000,602500
2022-06-09,3.700000,3.720000,3.340000,3.370000,3.370000,330100
2022-06-10,3.330000,3.400000,3.228000,3.250000,3.250000,179000
2022-06-13,3.050000,3.120000,2.800000,2.800000,2.800000,282500
2022-06-14,2.750000,2.910000,2.600000,2.600000,2.600000,223800
2022-06-15,2.580000,3.000000,2.580000,2.800000,2.800000,1997100
2022-06-16,2.680000,2.740000,2.460000,2.460000,2.460000,560800
2022-06-17,2.460000,2.900000,2.460000,2.460000,2.460000,681600
2022-06-21,2.530000,2.626000,2.360000,2.360000,2.360000,375200
2022-06-22,2.270000,2.440000,2.200000,2.200000,2.200000,379500
2022-06-23,2.250000,2.370000,2.160000,2.360000,2.360000,631700
2022-06-24,2.390000,2.550000,2.330000,2.550000,2.550000,671700
2022-06-27,2.660000,2.660000,2.450000,2.510000,2.510000,307600
2022-06-28,2.520000,2.590000,2.250000,2.320000,2.320000,307900
2022-06-29,2.300000,2.337000,2.170000,2.185000,2.185000,136800
2022-06-30,2.180000,2.190000,2.070000,2.130000,2.130000,169100
2022-07-01,2.150000,2.200000,2.050000,2.150000,2.150000,120900
2022-07-05,2.130000,2.360000,2.030000,2.350000,2.350000,245500
2022-07-06,2.330000,2.340000,2.100000,2.120000,2.120000,183700
2022-07-07,2.080000,2.430000,2.080000,2.300000,2.300000,973000
2022-07-08,2.260000,2.340000,2.170000,2.220000,2.220000,238400
2022-07-11,2.210000,2.360000,2.110000,2.180000,2.180000,504200
2022-07-12,2.170000,2.220000,2.040000,2.090000,2.090000,306400
2022-07-13,2.030000,2.120000,1.990000,2.040000,2.040000,278500
2022-07-14,2.040000,2.040000,1.850000,1.850000,1.850000,333300
2022-07-15,1.840000,1.910000,1.800000,1.850000,1.850000,148800
2022-07-18,1.850000,1.910000,1.840000,1.900000,1.900000,138300
2022-07-19,1.870000,1.980000,1.820000,1.950000,1.950000,286800
2022-07-20,1.920000,2.370000,1.900000,2.110000,2.110000,1676500
2022-07-21,2.050000,2.170000,1.950000,2.050000,2.050000,372800
2022-07-22,2.062000,2.062000,1.840000,1.910000,1.910000,183300
2022-07-25,1.910000,1.930000,1.830000,1.890000,1.890000,145100
2022-07-26,1.890000,2.370000,1.830000,2.050000,2.050000,1712000
2022-07-27,3.500000,4.040000,3.020000,3.140000,3.140000,82954700
2022-07-28,2.710000,3.051000,2.510000,2.970000,2.970000,4293500
2022-07-29,3.050000,3.480000,3.010000,3.350000,3.350000,3342600
2022-08-01,3.260000,3.290000,2.560000,2.650000,2.650000,1333900
2022-08-02,2.610000,2.720000,2.370000,2.410000,2.410000,924200
2022-08-03,2.490000,2.660000,2.430000,2.570000,2.570000,647300
2022-08-04,2.530000,3.000000,2.440000,2.750000,2.750000,1117200
2022-08-05,2.650000,2.740000,2.391000,2.440000,2.440000,691700
2022-08-08,2.420000,2.690000,2.320000,2.560000,2.560000,576700
2022-08-09,2.440000,2.520000,2.360000,2.490000,2.490000,365400
2022-08-10,2.530000,2.530000,2.400000,2.460000,2.460000,154500
2022-08-11,2.470000,2.580000,2.380000,2.400000,2.400000,339800
2022-08-12,2.380000,2.460000,2.360000,2.380000,2.380000,183100
