Date,Open,High,Low,Close,Adj Close,Volume
2020-02-06,24.799999,24.830000,24.600000,24.700001,18.557352,1247500
2020-02-07,24.830000,25.000000,24.700001,24.809999,18.639996,327600
2020-02-10,24.850000,24.940001,24.660000,24.719999,18.572380,188200
2020-02-11,24.900000,24.900000,24.700001,24.700001,18.557352,62000
2020-02-12,24.799999,24.799999,24.600000,24.610001,18.489727,157200
2020-02-13,24.750000,24.750000,24.610001,24.700001,18.557352,61800
2020-02-14,24.750000,24.840000,24.650000,24.840000,18.662533,118600
2020-02-18,24.910000,24.990000,24.740000,24.740000,18.587402,33700
2020-02-19,24.990000,24.990000,24.750000,24.760000,18.602428,17300
2020-02-20,24.790001,24.799999,24.670000,24.799999,18.632483,99700
2020-02-21,24.799999,24.879999,24.799999,24.860001,18.677557,65100
2020-02-24,24.750000,24.799999,24.507999,24.613001,18.491983,96600
2020-02-25,24.850000,24.850000,24.469999,24.520000,18.422113,115300
2020-02-26,24.590000,24.639999,24.520000,24.639999,18.512274,95500
2020-02-27,24.549999,24.549999,24.309999,24.440001,18.362019,156600
2020-02-28,24.350000,24.511000,24.150000,24.381001,18.317682,130500
2020-03-02,24.410000,24.490000,24.299999,24.350000,18.294392,44400
2020-03-03,24.503000,24.740000,24.400000,24.549999,18.444654,92300
2020-03-04,24.534000,24.900000,24.500000,24.889999,18.700106,67400
2020-03-05,24.850000,24.850000,24.657000,24.773001,18.612198,54700
2020-03-06,24.650000,24.969999,24.420000,24.950001,18.745180,40300
2020-03-09,24.120001,24.500000,24.120001,24.120001,18.121595,34500
2020-03-10,24.400000,24.520000,24.150000,24.209999,18.189203,9300
2020-03-11,24.299999,24.299999,23.750000,23.950001,17.993870,20100
2020-03-12,23.760000,23.764000,22.000000,22.250000,16.716640,24200
2020-03-13,22.723000,22.990000,21.950001,22.500000,16.904474,11300
2020-03-16,21.500000,22.120001,16.700001,21.000000,15.928300,50100
2020-03-17,18.010000,20.170000,18.010000,18.629999,14.130674,64000
2020-03-18,18.250000,18.801001,11.010000,12.410000,9.412861,78900
2020-03-19,12.700000,18.480000,12.700000,17.100000,12.970181,25400
2020-03-20,18.730000,18.730000,17.400000,18.500000,14.032068,59000
2020-03-23,18.500000,18.500000,15.000000,15.600000,11.832444,39300
2020-03-24,15.780000,16.660000,14.800000,15.337000,11.632964,45300
2020-03-25,15.400000,17.257999,15.200000,17.195999,13.042996,5800
2020-03-26,17.500000,18.424999,16.500000,17.754999,13.466992,28500
2020-03-27,17.750000,17.750000,16.474001,17.190001,13.038449,14500
2020-03-30,16.719999,17.680000,16.719999,17.155001,13.011901,11900
2020-03-31,17.360001,18.750000,17.150000,17.980000,13.637651,11700
2020-04-01,17.600000,18.544001,17.070000,17.120001,12.985351,8900
2020-04-02,17.260000,17.566000,16.559999,16.580000,12.575768,9800
2020-04-03,16.580000,16.785999,16.500000,16.510000,12.522675,57600
2020-04-06,17.219999,17.219999,16.666000,16.750000,12.704707,28700
2020-04-07,17.000000,17.570000,16.799999,16.809999,12.750220,19700
2020-04-08,17.100000,18.250000,17.100000,17.770000,13.478371,11700
2020-04-09,19.000000,19.670000,18.249001,18.745001,14.217900,25500
2020-04-13,19.150000,19.500000,17.510000,18.250000,13.842445,28500
2020-04-14,17.040001,18.520000,17.040001,18.104000,13.930163,22200
2020-04-15,18.847000,18.847000,17.655001,18.100000,13.927084,3600
2020-04-16,17.389999,18.235001,17.389999,17.950001,13.811670,13000
2020-04-17,18.499001,18.499001,17.850000,17.910000,13.780890,11000
2020-04-20,17.900000,18.240000,17.500000,17.549999,13.503886,9000
2020-04-21,17.100000,17.860001,17.000000,17.790001,13.688560,12700
2020-04-22,17.790001,18.084000,17.250000,18.084000,13.914774,6600
2020-04-23,18.040001,18.490000,18.000000,18.490000,14.227171,38800
2020-04-24,18.250000,18.650000,18.250000,18.650000,14.350287,19200
2020-04-27,18.750000,18.920000,18.500000,18.900000,14.542645,9900
2020-04-28,18.500000,19.059999,18.500000,18.879999,14.527255,10300
2020-04-29,18.850000,19.045000,18.700001,18.704000,14.391834,9800
2020-04-30,18.600000,19.361000,18.600000,19.250000,14.811958,16000
2020-05-01,19.065001,19.065001,18.500000,18.520000,14.250254,2100
2020-05-04,18.611000,18.740000,18.090000,18.250000,14.042501,36900
2020-05-05,17.959999,18.330000,17.750000,18.225000,14.023270,6300
2020-05-06,18.110001,18.110001,17.775000,17.950001,13.811670,7400
2020-05-07,17.950001,18.615000,17.917000,18.264999,14.054044,5900
2020-05-08,18.950001,18.950001,18.000000,18.334000,14.107137,12500
2020-05-11,18.340000,19.170000,18.340000,19.000000,14.619595,14500
