Date,Open,High,Low,Close,Adj Close,Volume
2008-08-06,7.300000,7.350000,7.200000,7.350000,6.259242,14500
2008-08-07,7.200000,7.260000,7.080000,7.100000,6.046341,29700
2008-08-08,7.110000,7.250000,7.100000,7.250000,6.174082,46500
2008-08-11,7.150000,7.250000,7.050000,7.240000,6.165566,28600
2008-08-12,7.260000,7.370000,7.250000,7.330000,6.242210,47600
2008-08-13,7.400000,7.720000,7.400000,7.700000,6.557300,192600
2008-08-14,7.750000,8.250000,7.750000,8.190000,6.974583,327900
2008-08-15,8.640000,8.640000,8.000000,8.100000,6.897943,6000
2008-08-18,8.220000,8.400000,8.160000,8.350000,7.110839,29300
2008-08-19,8.170000,8.430000,7.750000,8.100000,6.897943,22000
2008-08-20,8.100000,8.330000,8.100000,8.330000,7.093808,5500
2008-08-21,8.270000,8.270000,8.050000,8.050000,6.855360,21900
2008-08-22,8.120000,8.140000,8.110000,8.110000,6.906455,1600
2008-08-25,8.060000,8.150000,8.060000,8.110000,6.906455,27000
2008-08-26,8.100000,8.100000,8.060000,8.100000,6.897943,3900
2008-08-27,8.100000,8.150000,8.100000,8.150000,6.940520,19000
2008-08-28,8.250000,8.300000,8.200000,8.250000,7.025678,4500
2008-08-29,8.250000,8.290000,8.250000,8.290000,7.059745,4000
2008-09-02,8.300000,8.300000,8.210000,8.250000,7.025678,49700
2008-09-03,8.120000,8.250000,8.120000,8.250000,7.025678,1200
2008-09-04,8.250000,8.250000,7.990000,8.000000,6.812780,24000
2008-09-05,7.910000,8.110000,7.910000,8.050000,6.855360,9600
2008-09-08,8.050000,8.050000,7.850000,7.980000,6.795749,16400
2008-09-09,8.000000,8.000000,7.960000,8.000000,6.812780,9300
2008-09-10,7.990000,8.000000,7.840000,7.990000,6.804264,7400
2008-09-11,7.830000,7.890000,7.790000,7.810000,6.650977,23000
2008-09-12,8.000000,8.000000,7.800000,8.000000,6.812780,27900
2008-09-15,7.900000,7.940000,7.880000,7.880000,6.710587,14800
2008-09-16,7.830000,7.830000,7.590000,7.790000,6.633945,9400
2008-09-17,7.590000,7.630000,7.500000,7.630000,6.497689,600
2008-09-18,7.960000,7.960000,7.330000,7.330000,6.242210,9300
2008-09-19,7.850000,7.850000,7.500000,7.700000,6.579742,19700
2008-09-22,7.740000,7.830000,7.550000,7.790000,6.656648,3800
2008-09-23,7.700000,7.700000,7.700000,7.700000,6.579742,2900
2008-09-24,7.700000,7.700000,7.700000,7.700000,6.579742,400
2008-09-25,7.700000,7.700000,7.700000,7.700000,6.579742,400
2008-09-26,7.630000,7.740000,7.600000,7.650000,6.537017,2700
2008-09-29,7.600000,7.730000,3.440000,7.500000,6.408841,8500
2008-09-30,7.250000,7.700000,7.250000,7.700000,6.579742,900
2008-10-01,7.700000,7.700000,7.500000,7.520000,6.425931,7800
2008-10-02,7.300000,7.300000,7.000000,7.090000,6.058489,7500
2008-10-03,7.080000,7.080000,6.830000,6.830000,5.836318,10300
2008-10-06,6.950000,6.950000,6.700000,6.700000,5.725231,1500
2008-10-07,6.260000,6.890000,6.250000,6.490000,5.545782,4800
2008-10-08,5.850000,6.250000,5.760000,6.200000,5.297975,29800
2008-10-09,5.760000,6.200000,5.500000,6.000000,5.127074,11300
2008-10-10,5.260000,6.250000,5.110000,6.000000,5.127074,47500
2008-10-13,5.070000,6.250000,5.070000,6.250000,5.340700,9500
2008-10-14,6.500000,7.000000,6.500000,6.750000,5.767954,8100
2008-10-15,6.040000,6.790000,6.000000,6.360000,5.434696,8300
2008-10-16,6.190000,6.450000,5.760000,5.920000,5.058710,24100
2008-10-17,6.400000,6.440000,6.400000,6.440000,5.503057,500
2008-10-20,6.440000,6.440000,6.030000,6.030000,5.152708,3900
2008-10-21,6.030000,6.030000,6.030000,6.030000,5.152708,0
2008-10-22,5.950000,6.410000,5.950000,5.950000,5.084345,17800
2008-10-23,6.070000,6.440000,6.070000,6.440000,5.503057,900
2008-10-24,6.440000,6.440000,5.860000,6.430000,5.494514,1700
2008-10-27,6.130000,6.570000,5.760000,6.190000,5.289429,16700
2008-10-28,6.610000,6.610000,6.450000,6.450000,5.511602,800
2008-10-29,6.450000,6.450000,6.010000,6.440000,5.503057,3200
2008-10-30,5.790000,6.450000,5.750000,6.380000,5.451786,5100
2008-10-31,5.780000,6.390000,5.500000,6.360000,5.434696,8100
2008-11-03,6.250000,6.250000,5.670000,6.250000,5.340700,4200
