Date,Open,High,Low,Close,Adj Close,Volume
1992-06-16,4.375000,4.625000,4.375000,4.625000,3.539535,108400
1992-06-17,4.750000,5.000000,4.687500,4.875000,3.730861,171200
1992-06-18,4.812500,4.812500,4.656250,4.750000,3.635198,135200
1992-06-19,4.718750,4.812500,4.687500,4.812500,3.683030,135600
1992-06-22,4.812500,4.812500,4.656250,4.718750,3.611281,163600
1992-06-23,4.687500,4.812500,4.687500,4.812500,3.683030,714800
1992-06-24,4.625000,4.812500,4.625000,4.812500,3.683030,2800
1992-06-25,4.812500,4.812500,4.718750,4.781250,3.659113,14800
1992-06-26,4.812500,4.812500,4.687500,4.781250,3.659113,82400
1992-06-29,4.812500,4.812500,4.750000,4.812500,3.683030,87600
1992-06-30,4.812500,4.875000,4.750000,4.875000,3.730861,228000
1992-07-01,4.875000,4.875000,4.875000,4.875000,3.730861,8400
1992-07-02,4.937500,5.000000,4.812500,4.812500,3.683030,187600
1992-07-06,4.937500,5.125000,4.875000,5.125000,3.922188,72400
1992-07-07,5.125000,5.312500,5.000000,5.187500,3.970019,150000
1992-07-08,5.187500,5.187500,5.062500,5.125000,3.922188,210000
1992-07-09,5.187500,5.187500,5.125000,5.187500,3.970019,106800
1992-07-10,5.125000,5.312500,5.125000,5.312500,4.065682,130000
1992-07-13,5.312500,5.312500,5.187500,5.218750,3.993934,37600
1992-07-14,5.312500,5.687500,5.250000,5.562500,4.257007,309200
1992-07-15,5.625000,5.625000,5.375000,5.437500,4.161345,530400
1992-07-16,5.500000,5.500000,5.375000,5.437500,4.161345,452800
1992-07-17,5.500000,5.500000,5.375000,5.406250,4.137429,303200
1992-07-20,5.468750,5.468750,5.281250,5.437500,4.161345,44000
1992-07-21,5.437500,5.437500,5.375000,5.437500,4.161345,109200
1992-07-22,5.437500,5.437500,5.312500,5.375000,4.113513,46000
1992-07-23,5.500000,5.750000,5.250000,5.500000,4.209176,347400
1992-07-24,5.500000,5.500000,5.250000,5.437500,4.161345,185800
1992-07-27,5.437500,5.625000,5.375000,5.625000,4.304840,92200
1992-07-28,5.625000,6.125000,5.500000,5.875000,4.496166,690400
1992-07-29,6.125000,6.125000,5.875000,6.062500,4.639660,187200
1992-07-30,6.000000,6.125000,5.937500,6.125000,4.687490,209800
1992-07-31,6.125000,6.250000,6.000000,6.187500,4.735321,158200
1992-08-03,6.187500,6.187500,5.937500,6.062500,4.639660,227000
1992-08-04,6.187500,6.187500,6.000000,6.062500,4.639660,226200
1992-08-05,6.062500,6.062500,5.750000,5.875000,4.496166,157200
1992-08-06,5.875000,5.875000,5.125000,5.375000,4.113513,292000
1992-08-07,5.437500,5.437500,5.312500,5.312500,4.065682,137800
1992-08-10,5.437500,5.437500,5.125000,5.312500,4.072198,100000
1992-08-11,5.312500,5.312500,5.125000,5.250000,4.024288,98800
1992-08-12,5.250000,5.437500,5.125000,5.375000,4.120107,183800
1992-08-13,5.375000,5.875000,5.250000,5.812500,4.455464,466600
1992-08-14,5.875000,6.375000,5.750000,6.375000,4.886638,713400
1992-08-17,6.375000,6.750000,6.250000,6.750000,5.174087,414400
1992-08-18,6.750000,6.750000,6.500000,6.625000,5.078270,1663400
1992-08-19,6.750000,6.750000,6.312500,6.312500,4.838729,748600
1992-08-20,6.500000,6.500000,6.250000,6.312500,4.838729,128000
