Date,Open,High,Low,Close,Adj Close,Volume
2017-10-09,10.440000,10.440000,9.984000,9.984000,9.984000,1817
2017-10-10,10.440000,10.560000,10.200000,10.200000,10.200000,1133
2017-10-11,9.600000,10.560000,8.160000,10.200000,10.200000,1392
2017-10-12,10.560000,10.560000,9.360000,9.600000,9.600000,1108
2017-10-13,9.792000,10.428000,9.000000,9.000000,9.000000,2875
2017-10-16,8.844000,9.000000,8.844000,9.000000,9.000000,292
2017-10-17,8.904000,9.600000,8.880000,8.880000,8.880000,358
2017-10-18,9.000000,9.240000,8.400000,8.520000,8.520000,1650
2017-10-19,8.400000,8.400000,6.000000,6.600000,6.600000,8292
2017-10-20,7.200000,7.800000,6.240000,6.828000,6.828000,1783
2017-10-23,6.960000,9.120000,5.304000,7.020000,7.020000,13333
2017-10-24,5.400000,7.200000,5.400000,6.960000,6.960000,9867
2017-10-25,6.600000,8.616000,6.600000,7.440000,7.440000,7158
2017-10-26,7.200000,7.440000,5.916000,6.480000,6.480000,3017
2017-10-27,6.600000,6.612000,6.480000,6.600000,6.600000,2017
2017-10-30,6.600000,6.720000,5.520000,6.120000,6.120000,975
2017-10-31,5.880000,6.240000,5.640000,6.240000,6.240000,4800
2017-11-01,6.156000,6.180000,5.760000,5.760000,5.760000,1658
2017-11-02,5.280000,9.000000,4.956000,9.000000,9.000000,6058
2017-11-03,7.080000,7.080000,4.800000,5.160000,5.160000,7242
2017-11-06,5.424000,5.832000,4.800000,5.040000,5.040000,20958
2017-11-07,5.268000,5.268000,4.440000,4.800000,4.800000,20675
2017-11-08,4.800000,4.824000,4.560000,4.788000,4.788000,9508
2017-11-09,4.824000,5.172000,4.596000,4.800000,4.800000,16842
2017-11-10,3.840000,4.200000,3.600000,3.720000,3.720000,12267
2017-11-13,3.912000,3.960000,3.420000,3.600000,3.600000,7492
2017-11-14,3.624000,3.624000,2.436000,2.652000,2.652000,7967
2017-11-15,2.880000,4.740000,2.736000,3.000000,3.000000,27525
2017-11-16,3.480000,3.480000,2.772000,3.000000,3.000000,11142
2017-11-17,3.120000,3.120000,2.640000,2.880000,2.880000,8192
2017-11-20,2.988000,3.312000,2.988000,3.216000,3.216000,6958
2017-11-21,3.360000,3.360000,3.120000,3.240000,3.240000,12808
2017-11-22,3.276000,3.360000,3.000000,3.252000,3.252000,3783
2017-11-24,3.360000,3.468000,3.360000,3.420000,3.420000,1275
2017-11-27,3.360000,3.408000,3.000000,3.000000,3.000000,6800
2017-11-28,3.156000,3.216000,2.760000,2.820000,2.820000,4700
2017-11-29,2.760000,3.180000,2.760000,3.000000,3.000000,2667
2017-11-30,3.240000,3.300000,3.000000,3.120000,3.120000,7358
2017-12-01,3.120000,3.156000,2.880000,3.120000,3.120000,8017
2017-12-04,2.880000,3.360000,2.880000,3.276000,3.276000,2017
2017-12-05,2.880000,3.240000,2.880000,3.180000,3.180000,3075
2017-12-06,3.060000,3.120000,2.892000,3.120000,3.120000,2983
2017-12-07,3.072000,3.360000,2.820000,2.820000,2.820000,5283
2017-12-08,2.904000,3.480000,2.820000,3.120000,3.120000,7417
2017-12-11,2.760000,3.000000,2.760000,2.868000,2.868000,5517
2017-12-12,2.820000,2.904000,2.760000,2.760000,2.760000,13742
2017-12-13,2.772000,2.988000,2.436000,2.724000,2.724000,10208
2017-12-14,2.724000,2.820000,2.388000,2.820000,2.820000,9833
2017-12-15,2.580000,2.640000,1.968000,2.424000,2.424000,9208
2017-12-18,2.160000,3.000000,2.040000,3.000000,3.000000,17692
2017-12-19,3.000000,3.000000,2.412000,2.760000,2.760000,2942
2017-12-20,2.880000,2.880000,2.280000,2.520000,2.520000,4808
2017-12-21,2.520000,2.520000,2.388000,2.400000,2.400000,2558
2017-12-22,2.400000,2.616000,2.160000,2.520000,2.520000,28033
2017-12-26,2.520000,2.520000,2.280000,2.280000,2.280000,7742
2017-12-27,2.280000,2.508000,1.956000,1.956000,1.956000,16250
2017-12-28,2.064000,2.448000,1.920000,2.208000,2.208000,22817
2017-12-29,2.400000,2.400000,2.040000,2.040000,2.040000,14800
2018-01-02,2.400000,2.640000,2.148000,2.328000,2.328000,10250
2018-01-03,2.640000,3.360000,2.472000,3.120000,3.120000,24525
2018-01-04,3.276000,3.276000,2.580000,2.760000,2.760000,10317
2018-01-05,2.904000,3.000000,2.460000,2.592000,2.592000,6500
2018-01-08,2.592000,2.592000,2.472000,2.472000,2.472000,5142
2018-01-09,2.592000,2.592000,2.472000,2.472000,2.472000,6708
2018-01-10,2.400000,2.592000,2.400000,2.472000,2.472000,9600
2018-01-11,2.592000,5.160000,2.592000,5.040000,5.040000,215558
2018-01-12,5.400000,6.000000,3.804000,4.128000,4.128000,149458
2018-01-16,5.040000,5.040000,3.240000,3.720000,3.720000,36083
2018-01-17,3.576000,3.720000,3.372000,3.420000,3.420000,13800
2018-01-18,4.560000,4.560000,3.300000,3.480000,3.480000,37192
2018-01-19,3.000000,3.960000,3.000000,3.360000,3.360000,18333
2018-01-22,3.132000,3.360000,3.060000,3.132000,3.132000,8558
2018-01-23,2.760000,3.252000,2.712000,2.988000,2.988000,12925
2018-01-24,2.868000,3.096000,2.520000,2.952000,2.952000,6750
2018-01-25,2.832000,3.072000,2.676000,2.808000,2.808000,3333
2018-01-26,2.940000,3.120000,2.664000,2.880000,2.880000,12525
2018-01-29,3.024000,3.120000,2.700000,2.880000,2.880000,6700
2018-01-30,2.760000,3.360000,2.760000,2.772000,2.772000,17992
2018-01-31,2.760000,2.940000,2.664000,2.676000,2.676000,5325
