Date,Open,High,Low,Close,Adj Close,Volume
2021-10-20,13.140000,13.310000,12.578000,13.250000,13.028363,577200
2021-10-21,13.310000,13.400000,12.130000,12.290000,12.084422,553800
2021-10-22,12.380000,12.610000,11.660000,11.890000,11.691113,318500
2021-10-25,12.100000,12.930000,12.000000,12.850000,12.635055,652500
2021-10-26,12.880000,13.560000,12.520000,13.500000,13.274182,487200
2021-10-27,13.320000,13.820000,12.540000,13.750000,13.520000,337300
2021-10-28,14.000000,14.350000,13.600000,13.650000,13.650000,413400
2021-10-29,13.530000,13.830000,13.020000,13.500000,13.500000,545700
2021-11-01,13.540000,13.580000,13.000000,13.110000,13.110000,279000
2021-11-02,13.160000,13.180000,12.460000,13.020000,13.020000,359200
2021-11-03,12.960000,13.450000,12.767000,13.360000,13.360000,308900
2021-11-04,13.360000,13.610000,12.930000,13.300000,13.300000,283800
2021-11-05,13.530000,13.800000,13.060000,13.390000,13.390000,293000
2021-11-08,13.330000,13.900000,12.355000,13.410000,13.410000,851200
2021-11-09,13.610000,13.850000,13.410000,13.520000,13.520000,353300
2021-11-10,13.680000,13.780000,12.960000,13.160000,13.160000,2541800
2021-11-11,13.180000,13.757000,13.070000,13.200000,13.200000,169600
2021-11-12,13.080000,13.490000,13.000000,13.250000,13.250000,315900
2021-11-15,13.830000,13.970000,13.000000,13.200000,13.200000,788800
2021-11-16,13.460000,13.460000,12.470000,12.750000,12.750000,302200
2021-11-17,12.580000,12.850000,12.120000,12.550000,12.550000,251700
2021-11-18,13.000000,13.000000,12.470000,12.670000,12.670000,158900
2021-11-19,12.700000,12.990000,12.330000,12.330000,12.330000,185800
2021-11-22,12.290000,12.696000,12.120000,12.530000,12.530000,301200
2021-11-23,12.480000,12.480000,11.500000,11.750000,11.750000,587400
2021-11-24,11.650000,11.650000,11.200000,11.550000,11.550000,305200
2021-11-26,11.290000,11.700000,10.670000,11.680000,11.680000,264200
2021-11-29,11.580000,11.860000,11.240000,11.600000,11.600000,274000
2021-11-30,11.600000,11.789000,11.020000,11.600000,11.600000,305300
2021-12-01,11.690000,11.930000,10.790000,10.860000,10.860000,480700
2021-12-02,10.960000,11.070000,10.160000,10.600000,10.600000,915200
2021-12-03,10.600000,10.780000,9.700000,10.070000,10.070000,565000
2021-12-06,10.160000,10.710000,9.840000,10.310000,10.310000,643200
2021-12-07,10.450000,10.970000,10.400000,10.600000,10.600000,343100
2021-12-08,10.650000,11.370000,10.650000,11.000000,11.000000,376200
2021-12-09,10.990000,11.060000,10.240000,10.310000,10.310000,375400
2021-12-10,10.390000,10.460000,10.110000,10.150000,10.150000,315900
2021-12-13,10.000000,10.480000,9.870000,9.940000,9.940000,217100
2021-12-14,10.150000,10.420000,9.750000,9.950000,9.950000,326000
2021-12-15,9.940000,10.490000,9.680000,10.150000,10.150000,1252400
2021-12-16,10.300000,10.510000,9.390000,9.820000,9.820000,1796600
2021-12-17,9.640000,9.980000,9.380000,9.700000,9.700000,2545900
2021-12-20,9.490000,9.970000,9.470000,9.560000,9.560000,1008100
2021-12-21,9.520000,10.580000,9.520000,10.310000,10.310000,1192900
2021-12-22,10.310000,11.010000,10.040000,10.910000,10.910000,329900
2021-12-23,10.880000,11.090000,10.600000,10.810000,10.810000,136100
2021-12-27,10.820000,11.150000,10.440000,11.090000,11.090000,176500
2021-12-28,11.080000,11.250000,10.760000,10.790000,10.790000,100800
2021-12-29,10.780000,11.010000,10.530000,10.860000,10.860000,103500
2021-12-30,10.970000,11.170000,10.870000,11.000000,11.000000,224500
2021-12-31,10.710000,11.170000,10.710000,10.880000,10.880000,147100
2022-01-03,11.340000,11.760000,11.050000,11.520000,11.520000,1047100
2022-01-04,11.990000,12.000000,11.510000,11.840000,11.840000,356400
2022-01-05,11.700000,11.900000,11.510000,11.560000,11.560000,494800
2022-01-06,11.680000,11.780000,11.070000,11.690000,11.690000,357400
2022-01-07,11.720000,11.720000,11.270000,11.350000,11.350000,243300
2022-01-10,11.350000,11.350000,10.880000,10.990000,10.990000,1453700
2022-01-11,10.960000,11.420000,10.960000,11.110000,11.110000,769900
2022-01-12,11.250000,11.250000,10.500000,10.930000,10.930000,953100
2022-01-13,11.000000,11.280000,10.680000,10.750000,10.750000,465300
2022-01-14,10.690000,11.130000,10.590000,11.100000,11.100000,329000
2022-01-18,10.870000,11.010000,10.560000,10.820000,10.820000,297800
2022-01-19,10.920000,11.180000,10.555000,10.630000,10.630000,193500
2022-01-20,10.500000,10.590000,10.145000,10.160000,10.160000,325600
2022-01-21,10.070000,10.130000,9.205000,9.340000,9.340000,1180600
2022-01-24,9.180000,9.680000,8.610000,9.610000,9.610000,2924500
2022-01-25,9.370000,9.610000,9.075000,9.220000,9.220000,380200
2022-01-26,9.360000,9.510000,8.600000,8.600000,8.600000,1611600
2022-01-27,8.670000,8.670000,8.010000,8.140000,8.140000,708300
2022-01-28,8.170000,8.360000,7.840000,8.210000,8.210000,438500
2022-01-31,8.260000,8.980000,8.260000,8.900000,8.900000,787700
2022-02-01,8.920000,9.430000,8.890000,9.370000,9.370000,270700
2022-02-02,9.500000,9.500000,8.550000,8.630000,8.630000,651700
2022-02-03,8.430000,8.569000,8.255000,8.330000,8.330000,410800
2022-02-04,8.310000,8.780000,8.260000,8.720000,8.720000,255800
2022-02-07,8.710000,9.180000,8.710000,9.100000,9.100000,454600
2022-02-08,9.110000,9.560000,9.020000,9.520000,9.520000,368300
2022-02-09,9.590000,10.258000,9.390000,10.240000,10.240000,605200
2022-02-10,9.960000,10.860000,9.960000,10.690000,10.690000,717700
2022-02-11,10.650000,11.020000,10.550000,10.680000,10.680000,624200
2022-02-14,10.730000,10.730000,10.060000,10.240000,10.240000,187100
2022-02-15,10.370000,10.810000,10.370000,10.660000,10.660000,402300
2022-02-16,10.600000,10.890000,10.270000,10.720000,10.720000,326600
2022-02-17,10.630000,11.110000,10.630000,11.000000,11.000000,499000
2022-02-18,10.950000,11.440000,10.840000,11.360000,11.360000,712800
2022-02-22,11.250000,11.350000,10.210000,11.020000,11.020000,349500
2022-02-23,11.110000,11.520000,10.755000,10.770000,10.770000,265700
2022-02-24,10.320000,11.420000,10.320000,11.370000,11.370000,483600
2022-02-25,11.410000,11.580000,11.060000,11.480000,11.480000,213800
2022-02-28,11.360000,11.710000,11.040000,11.680000,11.680000,276400
2022-03-01,11.750000,12.100000,11.375000,11.910000,11.910000,787900
2022-03-02,11.910000,12.520000,11.670000,12.310000,12.310000,769200
2022-03-03,12.300000,12.420000,11.740000,12.000000,12.000000,612900
2022-03-04,11.960000,12.120000,10.930000,11.160000,11.160000,1501100
2022-03-07,11.220000,11.370000,11.100000,11.120000,11.120000,299400
2022-03-08,11.110000,11.430000,10.830000,11.020000,11.020000,442200
2022-03-09,11.210000,11.940000,11.110000,11.590000,11.590000,830600
2022-03-10,11.520000,11.520000,10.100000,10.520000,10.520000,808600
2022-03-11,10.520000,10.575000,9.780000,10.260000,10.260000,440400
2022-03-14,10.230000,10.710000,9.870000,10.680000,10.680000,360500
2022-03-15,10.670000,11.580000,10.440000,11.000000,11.000000,769600
2022-03-16,11.100000,11.500000,10.730000,11.280000,11.280000,528800
2022-03-17,11.390000,11.780000,10.530000,11.450000,11.450000,504700
2022-03-18,11.270000,11.775000,11.220000,11.390000,11.390000,908300
2022-03-21,11.560000,11.670000,10.951000,11.140000,11.140000,377100
2022-03-22,11.240000,11.960000,11.200000,11.490000,11.490000,648100
2022-03-23,11.590000,11.610000,11.080000,11.240000,11.240000,271700
2022-03-24,11.270000,11.280000,10.930000,11.220000,11.220000,189100
2022-03-25,11.210000,11.660000,10.840000,10.880000,10.880000,289700
2022-03-28,10.930000,11.080000,10.650000,10.940000,10.940000,191000
2022-03-29,11.070000,11.460000,11.050000,11.330000,11.330000,281200
2022-03-30,11.140000,11.650000,11.140000,11.180000,11.180000,265500
2022-03-31,11.100000,11.250000,11.010000,11.060000,11.060000,152200
2022-04-01,11.210000,11.510000,11.100000,11.500000,11.500000,238500
2022-04-04,11.450000,12.290000,11.450000,12.080000,12.080000,629400
2022-04-05,12.070000,12.310000,11.550000,11.700000,11.700000,609300
2022-04-06,11.600000,11.730000,10.870000,11.210000,11.210000,604900
2022-04-07,11.220000,11.330000,10.370000,10.460000,10.460000,413100
2022-04-08,10.390000,10.450000,10.010000,10.080000,10.080000,321600
2022-04-11,9.990000,10.100000,9.740000,9.800000,9.800000,279200
2022-04-12,9.900000,10.660000,9.830000,10.260000,10.260000,519500
2022-04-13,10.260000,10.680000,10.240000,10.640000,10.640000,622000
2022-04-14,10.590000,10.790000,10.290000,10.320000,10.320000,331600
2022-04-18,10.340000,10.340000,9.950000,10.080000,10.080000,332900
2022-04-19,10.040000,10.590000,10.000000,10.400000,10.400000,527900
2022-04-20,10.350000,10.420000,9.980000,10.100000,10.100000,459500
2022-04-21,10.280000,10.550000,9.975000,10.060000,10.060000,324500
2022-04-22,9.980000,10.280000,9.640000,9.880000,9.880000,520600
2022-04-25,9.850000,10.485000,9.850000,10.300000,10.300000,361900
2022-04-26,10.300000,10.475000,9.990000,10.030000,10.030000,318400
2022-04-27,10.210000,10.340000,9.740000,9.900000,9.900000,358100
2022-04-28,9.970000,10.410000,9.770000,10.150000,10.150000,275600
2022-04-29,10.110000,10.490000,9.830000,9.870000,9.870000,253800
2022-05-02,9.860000,10.280000,9.700000,10.280000,10.280000,342100
2022-05-03,10.190000,10.317000,9.600000,9.820000,9.820000,436900
2022-05-04,9.860000,10.100000,9.340000,10.070000,10.070000,406400
2022-05-05,9.890000,9.890000,9.230000,9.670000,9.670000,357900
2022-05-06,9.560000,9.710000,9.080000,9.330000,9.330000,425300
2022-05-09,9.300000,9.505000,8.500000,8.620000,8.620000,705600
2022-05-10,8.920000,8.995000,7.390000,7.600000,7.600000,1337900
2022-05-11,7.740000,7.860000,7.150000,7.280000,7.280000,1617900
2022-05-12,7.200000,8.200000,7.020000,7.710000,7.710000,826600
2022-05-13,7.980000,8.590000,7.980000,8.360000,8.360000,607600
2022-05-16,8.240000,8.430000,7.840000,8.000000,8.000000,422800
2022-05-17,8.130000,8.520000,7.950000,8.470000,8.470000,491900
2022-05-18,8.260000,8.390000,7.670000,7.790000,7.790000,426400
2022-05-19,7.710000,8.050000,7.650000,7.760000,7.760000,400800
2022-05-20,7.820000,8.000000,7.560000,7.830000,7.830000,342700
2022-05-23,7.930000,7.930000,7.560000,7.730000,7.730000,201500
2022-05-24,7.630000,7.655000,7.200000,7.460000,7.460000,427600
2022-05-25,7.460000,7.900000,7.370000,7.890000,7.890000,405800
2022-05-26,8.140000,9.470000,8.075000,8.880000,8.880000,1628900
2022-05-27,8.930000,9.290000,8.840000,9.260000,9.260000,383900
2022-05-31,9.510000,9.580000,9.080000,9.130000,9.130000,789700
2022-06-01,9.200000,9.430000,9.070000,9.270000,9.270000,384000
2022-06-02,9.280000,9.450000,9.120000,9.230000,9.230000,345400
2022-06-03,9.030000,9.180000,8.630000,8.910000,8.910000,581100
2022-06-06,9.080000,9.140000,8.720000,8.980000,8.980000,570500
2022-06-07,8.900000,8.910000,8.512000,8.850000,8.850000,462900
2022-06-08,8.820000,9.435000,8.760000,9.280000,9.280000,400600
2022-06-09,9.180000,9.180000,8.465000,8.500000,8.500000,417000
2022-06-10,8.290000,8.480000,8.245000,8.400000,8.400000,314800
2022-06-13,8.060000,8.260000,7.561000,7.610000,7.610000,466900
2022-06-14,7.650000,7.849000,7.390000,7.550000,7.550000,505000
2022-06-15,7.640000,8.000000,7.640000,7.780000,7.780000,1032000
2022-06-16,7.680000,7.750000,7.200000,7.350000,7.350000,931600
2022-06-17,7.420000,8.020000,7.350000,8.000000,8.000000,888700
