Date,Open,High,Low,Close,Adj Close,Volume
2014-02-21,6.000000,7.000000,6.000000,6.990000,6.990000,461300
2014-02-24,7.250000,7.250000,6.900000,6.990000,6.990000,138900
2014-02-25,7.000000,7.150000,6.830000,6.990000,6.990000,148100
2014-02-26,6.920000,7.000000,6.800000,7.000000,7.000000,34900
2014-02-27,7.000000,7.000000,6.800000,6.990000,6.990000,16100
2014-02-28,6.950000,7.000000,6.811000,6.950000,6.950000,30100
2014-03-03,6.900000,6.900000,6.520000,6.760000,6.760000,35800
2014-03-04,6.620000,6.891000,6.000000,6.540000,6.540000,46100
2014-03-05,6.790000,6.790000,6.500000,6.750000,6.750000,6500
2014-03-06,6.800000,6.800000,6.290000,6.400000,6.400000,22300
2014-03-07,6.450000,6.450000,6.100000,6.190000,6.190000,23200
2014-03-10,6.127000,6.190000,6.127000,6.190000,6.190000,6000
2014-03-11,6.150000,6.600000,6.100000,6.580000,6.580000,31200
2014-03-12,6.521000,6.800000,6.110000,6.340000,6.340000,37000
2014-03-13,6.430000,6.450000,6.210000,6.390000,6.390000,9100
2014-03-14,6.140000,6.540000,6.140000,6.400000,6.400000,1300
2014-03-17,6.400000,6.436000,6.100000,6.240000,6.240000,19300
2014-03-18,6.110000,6.500000,6.110000,6.480000,6.480000,9100
2014-03-19,6.300000,6.430000,6.300000,6.380000,6.380000,4600
2014-03-20,6.210000,6.490000,6.210000,6.470000,6.470000,4100
2014-03-21,6.470000,6.470000,5.440000,5.650000,5.650000,26800
2014-03-24,5.650000,5.730000,5.080000,5.510000,5.510000,10800
2014-03-25,5.440000,5.620000,5.100000,5.150000,5.150000,10400
2014-03-26,5.150000,5.520000,5.025000,5.150000,5.150000,32000
2014-03-27,5.020000,5.250000,4.850000,5.250000,5.250000,19400
2014-03-28,5.100000,5.100000,4.810000,4.890000,4.890000,28900
2014-03-31,5.250000,5.250000,4.910000,5.230000,5.230000,10700
2014-04-01,5.220000,5.220000,4.950000,5.170000,5.170000,3100
2014-04-02,5.450000,5.520000,5.100000,5.480000,5.480000,5700
2014-04-03,5.040000,5.205000,4.930000,4.930000,4.930000,19600
2014-04-04,5.390000,5.390000,4.760000,4.860000,4.860000,8900
2014-04-07,4.970000,4.970000,4.780000,4.780000,4.780000,4400
2014-04-08,4.780000,4.780000,4.780000,4.780000,4.780000,0
2014-04-09,4.790000,4.790000,4.790000,4.790000,4.790000,4200
2014-04-10,4.750000,4.772000,4.750000,4.760000,4.760000,6700
2014-04-11,4.750000,4.750000,4.700000,4.700000,4.700000,800
2014-04-14,4.690000,4.690000,4.260000,4.420000,4.420000,2400
