Date,Open,High,Low,Close,Adj Close,Volume
2004-12-17,10.000000,10.000000,9.700000,10.000000,4.475767,795200
2004-12-20,10.050000,10.100000,9.900000,9.990000,4.471292,68300
2004-12-21,9.990000,9.990000,9.900000,9.980000,4.466813,23500
2004-12-22,10.000000,10.000000,9.950000,9.990000,4.471292,21400
2004-12-23,9.970000,9.990000,9.970000,9.970000,4.462341,7200
2004-12-27,9.990000,9.990000,9.950000,9.960000,4.457863,27200
2004-12-28,9.990000,9.990000,9.900000,9.910000,4.435484,16500
2004-12-29,9.910000,9.980000,9.750000,9.980000,4.466813,9400
2004-12-30,9.990000,9.990000,9.850000,9.950000,4.453388,10800
2004-12-31,9.930000,9.940000,9.830000,9.940000,4.448911,10600
2005-01-03,10.050000,10.050000,9.940000,9.960000,4.457863,18900
2005-01-04,10.000000,10.000000,9.950000,9.980000,4.466813,25600
2005-01-05,9.960000,10.000000,9.900000,9.970000,4.462341,12800
2005-01-06,9.980000,9.980000,9.900000,9.950000,4.453388,13000
2005-01-07,9.850000,9.980000,9.850000,9.930000,4.444436,13400
2005-01-10,9.950000,9.980000,9.900000,9.940000,4.448911,13200
2005-01-11,9.990000,9.990000,9.900000,9.940000,4.448911,1600
2005-01-12,9.900000,9.900000,9.770000,9.880000,4.422059,7200
2005-01-13,9.890000,9.990000,9.860000,9.990000,4.471292,11200
2005-01-14,9.930000,9.930000,9.900000,9.920000,4.439960,11000
2005-01-18,9.920000,9.990000,9.920000,9.980000,4.466813,19200
2005-01-19,9.980000,9.980000,9.860000,9.960000,4.457863,7800
2005-01-20,9.950000,9.980000,9.600000,9.950000,4.453388,18300
2005-01-21,9.900000,9.920000,9.650000,9.650000,4.319118,99000
2005-01-24,9.900000,9.950000,9.770000,9.770000,4.372825,148200
2005-01-25,9.800000,9.900000,9.800000,9.900000,4.431009,61300
2005-01-26,9.900000,9.990000,9.900000,9.980000,4.466813,62300
2005-01-27,10.000000,10.030000,9.800000,9.850000,4.408630,122000
2005-01-28,9.940000,9.940000,9.800000,9.940000,4.448911,12300
2005-01-31,10.000000,10.000000,9.650000,9.700000,4.341494,141500
2005-02-01,9.800000,9.940000,9.800000,9.900000,4.431009,8600
2005-02-02,9.900000,9.950000,9.900000,9.930000,4.444436,8400
2005-02-03,9.930000,9.950000,9.900000,9.950000,4.453388,8000
2005-02-04,9.950000,9.960000,9.790000,9.800000,4.386251,72500
2005-02-07,9.800000,9.850000,9.750000,9.800000,4.386251,20700
2005-02-08,9.850000,9.860000,9.780000,9.800000,4.386251,47400
2005-02-09,9.860000,9.940000,9.800000,9.830000,4.399679,18100
2005-02-10,9.950000,9.950000,9.820000,9.950000,4.453388,22400
2005-02-11,9.950000,9.960000,9.850000,9.910000,4.435484,16400
2005-02-14,9.920000,9.960000,9.900000,9.960000,4.457863,13300
2005-02-15,9.940000,9.950000,9.940000,9.950000,4.453388,5000
2005-02-16,9.950000,9.950000,9.920000,9.940000,4.448911,9600
2005-02-17,9.940000,9.940000,9.930000,9.940000,4.448911,7900
2005-02-18,9.940000,9.940000,9.850000,9.900000,4.431009,9800
2005-02-22,9.940000,9.940000,9.850000,9.860000,4.413105,6300
2005-02-23,9.890000,9.920000,9.860000,9.920000,4.439960,4200
2005-02-24,9.810000,9.930000,9.700000,9.790000,4.381775,37200
2005-02-25,9.700000,9.900000,9.650000,9.810000,4.390727,25700
2005-02-28,9.810000,9.900000,9.650000,9.680000,4.332542,15900
2005-03-01,9.710000,9.860000,9.700000,9.780000,4.377299,11700
2005-03-02,9.880000,9.900000,9.740000,9.800000,4.386251,12700
2005-03-03,9.890000,9.890000,9.720000,9.720000,4.350445,7300
2005-03-04,9.710000,9.870000,9.710000,9.830000,4.399679,9800
2005-03-07,9.880000,9.880000,9.750000,9.750000,4.363873,12500
2005-03-08,9.890000,9.900000,9.750000,9.750000,4.363873,10600
2005-03-09,9.750000,9.900000,9.750000,9.880000,4.422059,8100
2005-03-10,9.880000,9.890000,9.800000,9.800000,4.386251,11200
