Date,Open,High,Low,Close,Adj Close,Volume
2011-04-15,12.000000,12.530000,12.000000,12.250000,6.000841,5296500
2011-04-18,12.100000,12.500000,12.050000,12.150000,5.951849,630500
2011-04-19,12.080000,12.190000,12.060000,12.180000,5.966546,225400
2011-04-20,12.260000,12.260000,12.100000,12.210000,5.981243,456000
2011-04-21,12.170000,12.290000,12.050000,12.140000,5.946954,251500
2011-04-25,12.060000,12.200000,10.520000,12.000000,5.878372,522400
2011-04-26,12.030000,12.590000,12.000000,12.520000,6.133099,554000
2011-04-27,12.450000,12.630000,12.450000,12.620000,6.182086,260900
2011-04-28,12.600000,12.620000,12.500000,12.550000,6.147796,187100
2011-04-29,12.600000,12.780000,12.550000,12.700000,6.221275,202000
2011-05-02,12.810000,12.960000,12.650000,12.910000,6.324142,427000
2011-05-03,12.970000,12.980000,12.780000,12.860000,6.299654,285000
2011-05-04,12.800000,12.900000,12.510000,12.850000,6.294753,109000
2011-05-05,12.710000,12.920000,12.660000,12.850000,6.294753,103200
2011-05-06,12.700000,12.910000,12.670000,12.890000,6.314353,118200
2011-05-09,12.780000,12.910000,12.780000,12.870000,6.304554,121000
2011-05-10,12.800000,12.900000,12.790000,12.900000,6.319251,88200
2011-05-11,12.850000,12.900000,12.760000,12.860000,6.299654,93800
2011-05-12,12.860000,12.900000,12.640000,12.900000,6.319251,64000
2011-05-13,12.820000,12.820000,12.560000,12.750000,6.245766,87600
2011-05-16,12.750000,12.900000,12.630000,12.880000,6.309453,93300
2011-05-17,12.770000,12.830000,12.510000,12.790000,6.265361,103800
2011-05-18,12.620000,12.800000,12.570000,12.790000,6.265361,87900
2011-05-19,12.770000,12.820000,12.590000,12.820000,6.280057,60800
2011-05-20,12.710000,12.940000,12.630000,12.700000,6.221275,252200
2011-05-23,12.380000,12.670000,12.230000,12.280000,6.015532,122600
2011-05-24,12.500000,12.780000,12.340000,12.770000,6.255566,77200
2011-05-25,12.300000,12.750000,12.300000,12.650000,6.196779,117400
2011-05-26,12.740000,12.750000,12.490000,12.670000,6.206578,71200
2011-05-27,12.670000,12.750000,12.510000,12.700000,6.221275,61400
2011-05-31,12.790000,12.850000,12.660000,12.700000,6.221275,224200
2011-06-01,12.710000,12.750000,12.040000,12.320000,6.035129,268900
2011-06-02,12.690000,12.700000,12.100000,12.200000,5.976341,236300
2011-06-03,12.100000,12.350000,12.100000,12.240000,5.995937,57700
2011-06-06,12.240000,12.320000,12.040000,12.290000,6.020431,43900
2011-06-07,12.230000,12.460000,12.160000,12.310000,6.030229,44800
2011-06-08,12.260000,12.330000,12.180000,12.240000,5.995937,41100
2011-06-09,12.340000,12.340000,12.120000,12.250000,6.000841,47000
2011-06-10,12.200000,12.300000,12.110000,12.280000,6.015532,93700
2011-06-13,12.300000,12.300000,11.900000,12.300000,6.025329,111700
2011-06-14,12.300000,12.300000,12.050000,12.110000,5.932258,200100
2011-06-15,11.820000,12.170000,11.580000,12.110000,5.932258,121000
2011-06-16,12.080000,12.240000,12.080000,12.150000,5.951849,130600
2011-06-17,12.230000,12.230000,12.010000,12.150000,5.951849,139000
2011-06-20,12.120000,12.290000,12.070000,12.220000,5.986142,75200
2011-06-21,12.260000,12.640000,12.100000,12.590000,6.167390,112300
2011-06-22,12.510000,12.580000,12.310000,12.580000,6.162493,77700
2011-06-23,12.700000,12.700000,12.080000,12.530000,6.138000,107500
2011-06-24,12.500000,12.560000,12.060000,12.240000,5.995937,1675800
2011-06-27,12.240000,12.400000,12.000000,12.260000,6.005736,124300
