Date,Open,High,Low,Close,Adj Close,Volume
2024-01-29,7.600000,7.600000,4.110000,5.070000,5.070000,562000
2024-01-30,5.500000,5.500000,4.680000,5.200000,5.200000,246000
2024-01-31,5.150000,5.400000,4.860000,5.190000,5.190000,142900
2024-02-01,5.190000,6.000000,4.716000,5.750000,5.750000,164900
2024-02-02,5.440000,6.000000,5.250000,5.940000,5.940000,154200
2024-02-05,6.090000,6.090000,5.460000,5.600000,5.600000,113000
2024-02-06,5.410000,5.860000,5.170000,5.500000,5.500000,122000
2024-02-07,5.550000,5.640000,5.161000,5.360000,5.360000,99500
2024-02-08,5.210000,5.350000,5.020000,5.250000,5.250000,31000
2024-02-09,5.190000,5.475000,5.000000,5.070000,5.070000,40200
2024-02-12,5.060000,5.264000,4.000000,4.390000,4.390000,70700
2024-02-13,4.150000,4.480000,4.000000,4.040000,4.040000,35300
2024-02-14,4.170000,4.460000,3.250000,3.630000,3.630000,64000
2024-02-15,3.540000,3.920000,3.400000,3.800000,3.800000,49600
2024-02-16,4.530000,4.980000,3.650000,3.730000,3.730000,130300
2024-02-20,3.700000,3.852000,3.510000,3.770000,3.770000,28400
2024-02-21,3.760000,3.890000,3.610000,3.880000,3.880000,17400
2024-02-22,3.880000,4.020000,3.716000,4.020000,4.020000,28900
2024-02-23,4.000000,4.450000,4.000000,4.430000,4.430000,73400
2024-02-26,4.350000,4.690000,4.310000,4.383000,4.383000,75500
2024-02-27,4.220000,4.470000,4.010000,4.170000,4.170000,41100
2024-02-28,4.160000,4.340000,4.010000,4.340000,4.340000,11800
2024-02-29,4.280000,4.370000,3.990000,4.000000,4.000000,16400
2024-03-01,4.100000,4.186000,3.850000,3.970000,3.970000,27900
2024-03-04,3.910000,3.950000,3.590000,3.830000,3.830000,35600
2024-03-05,3.980000,3.980000,3.600000,3.670000,3.670000,70900
2024-03-06,3.710000,3.750000,3.200000,3.410000,3.410000,154800
2024-03-07,3.530000,3.530000,2.830000,3.050000,3.050000,66300
2024-03-08,2.970000,3.000000,2.680000,2.999000,2.999000,53600
2024-03-11,2.970000,3.030000,2.800000,2.800000,2.800000,2196
