Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,6.901541,7.224275,6.851890,7.199449,1.940331,3125795
1990-01-03,7.199449,7.472532,7.199449,7.373229,1.987166,3154998
1990-01-04,7.422880,7.422880,7.199449,7.398055,1.993856,3571402
1990-01-05,7.348403,7.373229,7.174624,7.224275,1.947021,2432964
1990-01-08,7.174624,7.298752,7.174624,7.224275,1.947021,1114773
1990-01-09,7.249101,7.298752,7.124972,7.124972,1.920257,1102185
1990-01-10,7.075321,7.100147,6.901541,7.025669,1.893494,1560883
1990-01-11,7.100147,7.174624,7.050495,7.100147,1.913567,479846
1990-01-12,6.976018,6.976018,6.802238,6.802238,1.833277,1059387
1990-01-15,6.802238,6.876715,6.727761,6.876715,1.853350,1637417
1990-01-16,6.827064,6.876715,6.777413,6.851890,1.846660,1666621
1990-01-17,6.827064,6.901541,6.777413,6.876715,1.853350,1913844
1990-01-18,6.802238,6.876715,6.727761,6.851890,1.846660,1523623
1990-01-19,6.876715,7.050495,6.876715,7.000844,1.886804,2206384
1990-01-22,6.976018,7.050495,6.827064,6.851890,1.846660,748217
1990-01-23,6.876715,6.876715,6.702936,6.802238,1.833277,1247196
1990-01-24,6.777413,6.777413,6.504330,6.702936,1.806515,1746679
1990-01-25,6.752587,6.752587,6.553981,6.553981,1.766369,1084562
1990-01-26,6.529156,6.603633,6.355376,6.553981,1.766369,1860976
1990-01-29,6.553981,6.553981,6.305725,6.454679,1.739607,958684
1990-01-30,6.479504,6.504330,6.181596,6.181596,1.666007,1867018
1990-01-31,6.305725,6.578807,6.305725,6.529156,1.759679,1971245
1990-02-01,6.578807,6.876715,6.454679,6.827064,1.839970,2601136
1990-02-02,6.752587,6.851890,6.752587,6.827064,1.839970,1379619
1990-02-05,6.752587,6.802238,6.752587,6.752587,1.819896,810652
1990-02-06,6.702936,6.727761,6.653284,6.653284,1.793133,1389690
1990-02-07,6.603633,6.851890,6.553981,6.827064,1.839970,1190299
1990-02-08,6.851890,7.124972,6.851890,7.075321,1.906877,1845367
1990-02-09,7.075321,7.100147,6.976018,7.025669,1.893494,989399
1990-02-12,6.951192,7.050495,6.827064,7.050495,1.900186,1082548
1990-02-13,7.050495,7.075321,6.951192,6.951192,1.873422,2763267
1990-02-14,7.000844,7.025669,6.951192,6.976018,1.880113,1213461
1990-02-15,6.901541,7.124972,6.876715,7.124972,1.920257,3101626
1990-02-16,7.124972,7.124972,6.976018,7.000844,1.886804,2151501
1990-02-20,6.951192,6.976018,6.752587,6.827064,1.839970,2001959
1990-02-21,6.653284,6.901541,6.653284,6.851890,1.846660,2462671
1990-02-22,6.851890,7.075321,6.851890,6.951192,1.873422,1396235
1990-02-23,6.901541,7.025669,6.901541,7.000844,1.886804,766343
1990-02-26,6.901541,7.075321,6.901541,7.075321,1.906877,1062408
1990-02-27,7.000844,7.323578,7.000844,7.249101,1.953712,1630871
1990-02-28,7.249101,7.373229,7.249101,7.348403,1.980474,3205853
1990-03-01,7.323578,7.398055,7.273926,7.273926,1.960403,1941034
