Date,Open,High,Low,Close,Adj Close,Volume
2021-02-12,10.400000,10.400000,10.080000,10.150000,10.150000,622600
2021-02-16,10.150000,10.250000,10.100000,10.170000,10.170000,375100
2021-02-17,10.190000,10.190000,10.150000,10.150000,10.150000,349200
2021-02-18,10.150000,10.310000,10.150000,10.210000,10.210000,111800
2021-02-19,10.280000,10.370000,10.200000,10.240000,10.240000,265800
2021-02-22,10.290000,10.290000,10.180000,10.200000,10.200000,111200
2021-02-23,10.170000,10.250000,10.110000,10.180000,10.180000,126800
2021-02-24,10.180000,10.420000,10.150000,10.370000,10.370000,219500
2021-02-25,10.305000,10.390000,10.180000,10.220000,10.220000,70300
2021-02-26,10.250000,10.250000,10.090000,10.210000,10.210000,128900
2021-03-01,10.260000,10.260000,10.120000,10.130000,10.130000,31200
2021-03-02,10.130000,10.140000,10.060000,10.100000,10.100000,115800
2021-03-03,10.130000,10.130000,9.910000,10.000000,10.000000,105500
2021-03-04,10.040000,10.040000,9.950000,9.980000,9.980000,107400
2021-03-05,10.080000,10.080000,9.810000,9.920000,9.920000,128000
2021-03-08,9.960000,10.040000,9.850000,9.870000,9.870000,122300
2021-03-09,9.900000,9.920000,9.870000,9.910000,9.910000,15200
2021-03-10,9.900000,9.920000,9.830000,9.920000,9.920000,176700
2021-03-11,9.880000,9.920000,9.880000,9.920000,9.920000,13300
2021-03-12,9.900000,9.940000,9.850000,9.900000,9.900000,262500
2021-03-15,9.900000,9.900000,9.900000,9.900000,9.900000,0
2021-03-16,9.860000,9.860000,9.850000,9.860000,9.860000,25900
2021-03-17,9.910000,9.910000,9.800000,9.850000,9.850000,79700
2021-03-18,9.850000,9.870000,9.800000,9.860000,9.860000,153600
2021-03-19,9.820000,9.860000,9.800000,9.800000,9.800000,6400
2021-03-22,9.800000,9.850000,9.800000,9.830000,9.830000,8200
2021-03-23,9.800000,9.835000,9.700000,9.770000,9.770000,111200
2021-03-24,9.710000,9.710000,9.630000,9.660000,9.660000,138200
2021-03-25,9.610000,9.680000,9.610000,9.680000,9.680000,16200
2021-03-26,9.690000,9.800000,9.650000,9.770000,9.770000,26300
2021-03-29,9.700000,9.755000,9.610000,9.700000,9.700000,5300
2021-03-30,9.830000,9.830000,9.830000,9.830000,9.830000,300
2021-03-31,9.725000,10.100000,9.670000,9.890000,9.890000,418600
2021-04-01,9.980000,9.980000,9.818000,9.880000,9.880000,42000
2021-04-05,9.940000,9.940000,9.830000,9.850000,9.850000,84700
2021-04-06,9.850000,9.885000,9.830000,9.830000,9.830000,85300
2021-04-07,9.830000,9.830000,9.780000,9.780000,9.780000,15900
2021-04-08,9.800000,9.930000,9.800000,9.930000,9.930000,26100
2021-04-09,9.872000,9.935000,9.850000,9.930000,9.930000,41300
2021-04-12,9.865000,9.865000,9.760000,9.835000,9.835000,1800
2021-04-13,9.850000,9.905000,9.850000,9.905000,9.905000,25600
2021-04-14,9.860000,9.900000,9.850000,9.900000,9.900000,3600
2021-04-15,9.871000,9.940000,9.860000,9.860000,9.860000,8800
2021-04-16,9.850000,9.870000,9.810000,9.860000,9.860000,7800
2021-04-19,9.810000,9.850000,9.800000,9.850000,9.850000,16400
2021-04-20,9.869000,9.869000,9.770000,9.770000,9.770000,4200
2021-04-21,9.780000,9.810000,9.770000,9.810000,9.810000,65800
2021-04-22,9.810000,9.930000,9.810000,9.850000,9.850000,19700
2021-04-23,9.850000,9.905000,9.790000,9.880000,9.880000,20100
2021-04-26,9.820000,9.835000,9.820000,9.835000,9.835000,600
2021-04-27,9.850000,9.850000,9.690000,9.700000,9.700000,471500
2021-04-28,9.720000,9.750000,9.720000,9.750000,9.750000,179000
2021-04-29,9.790000,9.800000,9.730000,9.800000,9.800000,33500
2021-04-30,9.837000,9.890000,9.837000,9.860000,9.860000,3200
2021-05-03,9.770000,9.880000,9.760000,9.820000,9.820000,18800
2021-05-04,9.730000,9.800000,9.720000,9.790000,9.790000,266100
2021-05-05,9.770000,9.840000,9.770000,9.830000,9.830000,23800
2021-05-06,9.800000,9.850000,9.800000,9.840000,9.840000,199100
2021-05-07,9.770000,9.860000,9.760000,9.860000,9.860000,28400
2021-05-10,9.870000,9.870000,9.773000,9.860000,9.860000,242400
2021-05-11,9.840000,9.850000,9.750000,9.800000,9.800000,139400
