Date,Open,High,Low,Close,Adj Close,Volume
2021-06-24,6.300000,10.530000,6.290000,7.200000,7.200000,5381500
2021-06-25,7.140000,8.490000,6.920000,7.500000,7.500000,1460300
2021-06-28,6.980000,7.170000,6.310000,6.890000,6.890000,589800
2021-06-29,6.760000,8.390000,6.550000,7.900000,7.900000,527000
2021-06-30,7.750000,8.930000,6.710000,6.850000,6.850000,1027300
2021-07-01,6.850000,7.500000,6.850000,7.460000,7.460000,158000
2021-07-02,7.390000,8.150000,7.220000,8.050000,8.050000,199700
2021-07-06,8.660000,12.000000,8.510000,10.180000,10.180000,1209000
2021-07-07,10.290000,17.600000,10.290000,11.300000,11.300000,3985100
2021-07-08,9.996000,11.750000,9.340000,11.360000,11.360000,648100
2021-07-09,11.380000,12.080000,9.350000,9.420000,9.420000,322600
2021-07-12,9.660000,10.297000,9.010000,9.200000,9.200000,226600
2021-07-13,9.190000,9.620000,8.900000,8.900000,8.900000,131800
2021-07-14,9.010000,14.490000,8.016000,11.890000,11.890000,4055800
2021-07-15,11.810000,13.420000,11.500000,12.870000,12.870000,535200
2021-07-16,13.110000,15.980000,13.110000,15.310000,15.310000,1458000
2021-07-19,14.840000,16.200001,14.610000,14.890000,14.890000,427100
2021-07-20,14.940000,15.350000,11.080000,12.200000,12.200000,396500
2021-07-21,12.050000,13.465000,11.318000,12.200000,12.200000,52200
2021-07-22,12.070000,12.360000,12.030000,12.300000,12.300000,26800
2021-07-23,12.000000,12.220000,11.050000,11.620000,11.620000,101700
2021-07-26,11.460000,11.460000,10.470000,11.150000,11.150000,57500
2021-07-27,11.350000,12.090000,11.350000,11.630000,11.630000,24100
2021-07-28,12.060000,12.350000,11.320000,12.300000,12.300000,79800
2021-07-29,14.120000,15.100000,13.450000,14.390000,14.390000,183900
2021-07-30,14.120000,14.541000,13.774000,14.200000,14.200000,29500
2021-08-02,14.020000,14.020000,12.560000,13.070000,13.070000,29400
2021-08-03,13.060000,14.120000,12.570000,13.210000,13.210000,107300
2021-08-04,13.440000,13.880000,12.610000,13.000000,13.000000,157700
2021-08-05,12.900000,13.930000,12.328000,13.200000,13.200000,51700
2021-08-06,12.532000,13.295000,12.410000,12.800000,12.800000,68500
2021-08-09,12.750000,13.600000,12.500000,13.310000,13.310000,179600
2021-08-10,13.250000,13.862000,12.731000,12.750000,12.750000,107000
2021-08-11,12.900000,12.950000,12.200000,12.340000,12.340000,143800
2021-08-12,12.525000,12.780000,12.030000,12.290000,12.290000,16500
2021-08-13,12.471000,12.479000,11.663000,11.950000,11.950000,36900
2021-08-16,11.765000,12.520000,10.180000,10.210000,10.210000,103700
2021-08-17,13.110000,13.500000,10.500000,11.680000,11.680000,5264800
2021-08-18,11.350000,11.599000,10.900000,10.910000,10.910000,219300
2021-08-19,11.110000,11.460000,10.646000,10.820000,10.820000,59800
2021-08-20,10.610000,11.250000,10.610000,10.980000,10.980000,73100
2021-08-23,10.920000,11.414000,10.890000,11.250000,11.250000,71300
2021-08-24,11.250000,11.330000,10.130000,10.360000,10.360000,113800
2021-08-25,10.240000,10.300000,9.470000,9.890000,9.890000,274800
2021-08-26,9.660000,10.110000,9.430000,9.820000,9.820000,79000
2021-08-27,10.030000,10.910000,9.940000,10.730000,10.730000,105000
2021-08-30,10.450000,11.000000,10.180000,10.880000,10.880000,73500
2021-08-31,10.870000,10.960000,10.300000,10.830000,10.830000,97100
2021-09-01,10.910000,11.200000,10.461000,10.595000,10.595000,67800
