Date,Open,High,Low,Close,Adj Close,Volume
2021-11-12,5.200000,5.250000,4.270000,4.400000,4.400000,424700
2021-11-15,4.300000,4.490000,4.300000,4.490000,4.490000,123200
2021-11-16,4.310000,4.350000,4.030000,4.080000,4.080000,78100
2021-11-17,4.050000,4.400000,4.050000,4.230000,4.230000,113400
2021-11-18,4.260000,4.300000,4.060000,4.200000,4.200000,27700
2021-11-19,4.150000,4.295000,4.050000,4.120000,4.120000,24600
2021-11-22,4.080000,4.180000,4.050000,4.180000,4.180000,24900
2021-11-23,4.080000,4.300000,4.050000,4.140000,4.140000,12700
2021-11-24,4.050000,4.300000,3.900000,4.290000,4.290000,56500
2021-11-26,4.240000,4.280000,4.050000,4.140000,4.140000,29800
2021-11-29,4.240000,4.300000,4.103000,4.300000,4.300000,3100
2021-11-30,4.290000,4.290000,4.100000,4.270000,4.270000,16500
2021-12-01,4.270000,4.270000,4.080000,4.190000,4.190000,12000
2021-12-02,4.258000,4.258000,4.200000,4.250000,4.250000,4000
2021-12-03,4.260000,4.290000,4.200000,4.200000,4.200000,12900
2021-12-06,4.173000,4.280000,4.170000,4.280000,4.280000,12300
2021-12-07,4.280000,4.470000,4.230000,4.460000,4.460000,8500
2021-12-08,4.230000,4.590000,4.060000,4.500000,4.500000,23400
2021-12-09,4.550000,4.550000,4.260000,4.340000,4.340000,32100
2021-12-10,4.300000,4.350000,4.200000,4.250000,4.250000,15800
2021-12-13,4.260000,4.600000,4.250000,4.575000,4.575000,40300
2021-12-14,4.500000,4.600000,4.110000,4.410000,4.410000,15000
2021-12-15,4.320000,4.320000,4.050000,4.090000,4.090000,8600
2021-12-16,4.090000,4.108000,3.968000,3.968000,3.968000,12700
2021-12-17,4.000000,4.000000,3.930000,3.975000,3.975000,4800
2021-12-20,3.970000,3.970000,3.800000,3.810000,3.810000,11300
2021-12-21,3.875000,3.875000,3.500000,3.580000,3.580000,6900
2021-12-22,3.910000,3.910000,3.730000,3.730000,3.730000,900
2021-12-23,3.750000,3.891000,3.700000,3.840000,3.840000,10600
2021-12-27,3.800000,3.800000,3.500000,3.510000,3.510000,13100
2021-12-28,3.500000,3.550000,3.220000,3.220000,3.220000,13000
2021-12-29,3.180000,3.960000,3.010000,3.490000,3.490000,33600
2021-12-30,3.270000,3.490000,3.050000,3.150000,3.150000,31500
2021-12-31,3.120000,3.296000,2.870000,2.952000,2.952000,32900
2022-01-03,3.010000,3.100000,3.010000,3.100000,3.100000,13600
2022-01-04,3.010000,3.010000,2.920000,2.930000,2.930000,4600
2022-01-05,2.960000,3.370000,2.960000,2.960000,2.960000,19600
2022-01-06,2.920000,3.030000,2.920000,3.030000,3.030000,1300
2022-01-07,2.880000,3.419000,2.880000,3.110000,3.110000,5200
2022-01-10,3.010000,3.040000,2.910000,3.040000,3.040000,1600
2022-01-11,3.070000,3.270000,3.060000,3.270000,3.270000,16400
2022-01-12,3.340000,4.950000,3.220000,3.280000,3.280000,3349900
2022-01-13,3.170000,3.300000,2.960000,3.060000,3.060000,88600
2022-01-14,2.920000,3.180000,2.850000,3.070000,3.070000,31200
2022-01-18,3.130000,3.440000,3.130000,3.410000,3.410000,72700
2022-01-19,3.310000,3.400000,3.300000,3.340000,3.340000,7700
2022-01-20,3.370000,3.370000,2.585000,2.850000,2.850000,216400
2022-01-21,2.890000,3.340000,2.220000,2.468000,2.468000,526700
2022-01-24,3.800000,3.920000,2.400000,3.100000,3.100000,10408700
2022-01-25,3.250000,3.330000,2.680000,3.030000,3.030000,1450200
2022-01-26,2.880000,3.010000,2.620000,2.720000,2.720000,266000
2022-01-27,2.690000,2.890000,2.360000,2.810000,2.810000,328800
2022-01-28,2.650000,2.685000,2.330000,2.480000,2.480000,107100
2022-01-31,2.470000,2.548000,2.270000,2.400000,2.400000,62500
2022-02-01,2.350000,2.550000,2.250000,2.440000,2.440000,67300
2022-02-02,2.400000,2.830000,2.280000,2.560000,2.560000,185900
2022-02-03,2.440000,2.630000,2.440000,2.555000,2.555000,24600
2022-02-04,2.470000,2.607000,2.420000,2.596000,2.596000,13500
2022-02-07,2.460000,2.570000,2.448000,2.471000,2.471000,14300
2022-02-08,2.430000,2.610000,2.420000,2.480000,2.480000,36400
2022-02-09,2.410000,2.570000,2.380000,2.570000,2.570000,38500
2022-02-10,2.530000,2.650000,2.450000,2.550000,2.550000,33200
2022-02-11,2.575000,2.580000,2.410000,2.450000,2.450000,18900
2022-02-14,2.460000,2.460000,2.290000,2.320000,2.320000,14600
2022-02-15,2.311000,2.311000,1.980000,2.150000,2.150000,170100
2022-02-16,2.150000,2.255000,2.150000,2.230000,2.230000,27500
2022-02-17,2.170000,2.275000,2.050000,2.100000,2.100000,24600
2022-02-18,2.169000,2.300000,2.110000,2.220000,2.220000,13500
2022-02-22,2.250000,2.250000,1.950000,1.950000,1.950000,26000
2022-02-23,2.000000,2.070000,1.960000,1.970000,1.970000,33700
2022-02-24,1.890000,1.960000,1.790000,1.830000,1.830000,33300
2022-02-25,1.840000,2.140000,1.840000,2.100000,2.100000,28200
2022-02-28,2.100000,2.120000,1.970000,2.120000,2.120000,36400
2022-03-01,2.000000,2.070000,2.000000,2.070000,2.070000,28400
