Date,Open,High,Low,Close,Adj Close,Volume
2019-04-17,11.130000,12.390000,10.740000,11.090000,11.090000,1286600
2019-04-18,11.030000,11.450000,10.800000,11.250000,11.250000,165800
2019-04-22,11.400000,11.500000,11.300000,11.500000,11.500000,50200
2019-04-23,11.550000,11.550000,11.040000,11.310000,11.310000,26300
2019-04-24,11.220000,11.280000,11.000000,11.250000,11.250000,20900
2019-04-25,11.200000,11.200000,11.000000,11.000000,11.000000,20600
2019-04-26,10.820000,11.140000,10.811000,11.010000,11.010000,12700
2019-04-29,11.000000,11.025000,10.870000,10.870000,10.870000,8400
2019-04-30,10.880000,10.950000,10.788000,10.870000,10.870000,14600
2019-05-01,10.830000,11.040000,10.830000,11.000000,11.000000,22400
2019-05-02,11.000000,11.140000,11.000000,11.030000,11.030000,30300
2019-05-03,11.010000,11.080000,11.000000,11.080000,11.080000,11800
2019-05-06,10.810000,11.095000,10.810000,11.030000,11.030000,19700
2019-05-07,10.970000,11.010000,10.789000,11.010000,11.010000,6400
2019-05-08,10.919000,11.005000,10.780000,10.864000,10.864000,3300
2019-05-09,10.827000,10.879000,10.750000,10.817000,10.817000,7100
2019-05-10,10.824000,10.880000,10.500000,10.800000,10.800000,14500
2019-05-13,10.660000,10.810000,10.300000,10.380000,10.380000,18100
2019-05-14,10.530000,10.800000,10.500000,10.710000,10.710000,18900
2019-05-15,10.730000,10.870000,10.730000,10.800000,10.800000,7400
2019-05-16,11.030000,11.100000,10.800000,10.820000,10.820000,12000
2019-05-17,10.814000,10.995000,10.800000,10.882000,10.882000,5500
2019-05-20,10.890000,10.995000,10.520000,10.550000,10.550000,23900
2019-05-21,10.830000,10.880000,10.668000,10.850000,10.850000,3500
2019-05-22,10.840000,10.890000,10.578000,10.828000,10.828000,8400
2019-05-23,10.500000,10.700000,10.380000,10.680000,10.680000,17300
2019-05-24,10.760000,10.880000,10.374000,10.880000,10.880000,6700
2019-05-28,10.210000,10.545000,10.080000,10.545000,10.545000,11200
2019-05-29,9.730000,10.240000,9.500000,10.180000,10.180000,14000
2019-05-30,9.860000,10.120000,9.850000,10.061000,10.061000,5800
2019-05-31,9.800000,10.270000,9.750000,10.270000,10.270000,5100
2019-06-03,9.880000,10.540000,9.800000,10.100000,10.100000,30300
2019-06-04,9.930000,10.050000,9.840000,9.910000,9.910000,25500
2019-06-05,9.810000,9.940000,9.800000,9.940000,9.940000,4100
2019-06-06,9.800000,9.932000,9.710000,9.932000,9.932000,5200
2019-06-07,9.550000,9.828000,9.500000,9.678000,9.678000,1000
2019-06-10,9.660000,9.826000,9.550000,9.550000,9.550000,2100
2019-06-11,9.400000,9.400000,9.100000,9.100000,9.100000,4800
2019-06-12,8.000000,9.500000,8.000000,8.890000,8.890000,10100
2019-06-13,8.990000,8.990000,8.573000,8.700000,8.700000,5200
2019-06-14,8.590000,8.694000,8.530000,8.660000,8.660000,9400
2019-06-17,8.910000,9.000000,8.850000,9.000000,9.000000,8200
2019-06-18,9.100000,9.290000,9.020000,9.290000,9.290000,8300
