Date,Open,High,Low,Close,Adj Close,Volume
2019-11-20,9.000000,9.000000,9.000000,9.000000,9.000000,100
2019-11-21,12.600000,13.000000,8.210000,8.990000,8.990000,4070300
2019-11-22,8.050000,8.980000,7.500000,8.980000,8.980000,663700
2019-11-25,8.880000,8.980000,7.360000,8.290000,8.290000,1110400
2019-11-26,8.250000,8.490000,8.000000,8.190000,8.190000,673600
2019-11-27,8.250000,8.420000,8.050000,8.250000,8.250000,132500
2019-11-29,8.260000,8.460000,8.010000,8.250000,8.250000,97100
2019-12-02,8.090000,8.400000,8.090000,8.350000,8.350000,95300
2019-12-03,8.290000,8.460000,8.170000,8.180000,8.180000,67100
2019-12-04,8.220000,8.435000,8.010000,8.070000,8.070000,50200
2019-12-05,8.000000,8.097000,7.520000,7.850000,7.850000,284600
2019-12-06,8.100000,8.100000,7.100000,7.800000,7.800000,354900
2019-12-09,7.900000,7.900000,7.180000,7.250000,7.250000,142800
2019-12-10,7.240000,7.240000,6.455000,6.570000,6.570000,198400
2019-12-11,6.590000,6.590000,6.050000,6.170000,6.170000,164000
2019-12-12,6.110000,6.230000,5.550000,5.710000,5.710000,202200
2019-12-13,5.750000,5.850000,5.200000,5.240000,5.240000,212200
2019-12-16,5.200000,5.210000,4.560000,4.650000,4.650000,442300
2019-12-17,4.600000,5.330000,4.561000,5.190000,5.190000,451700
2019-12-18,5.200000,5.280000,4.600000,4.630000,4.630000,424800
2019-12-19,4.570000,4.860000,4.550000,4.650000,4.650000,201800
2019-12-20,4.610000,4.960000,4.610000,4.770000,4.770000,75800
2019-12-23,4.930000,5.690000,4.930000,5.290000,5.290000,446400
2019-12-24,5.220000,5.730000,5.220000,5.690000,5.690000,243600
2019-12-26,5.680000,6.242000,5.500000,5.580000,5.580000,206800
2019-12-27,5.530000,5.870000,5.530000,5.630000,5.630000,694000
2019-12-30,5.710000,6.600000,5.500000,6.530000,6.530000,393000
2019-12-31,6.510000,6.550000,6.010000,6.100000,6.100000,116700
2020-01-02,6.090000,6.125000,5.600000,6.020000,6.020000,225500
2020-01-03,6.040000,6.340000,5.910000,6.070000,6.070000,160600
2020-01-06,6.080000,6.260000,5.870000,5.880000,5.880000,87300
2020-01-07,6.050000,6.100000,5.620000,5.820000,5.820000,80000
2020-01-08,5.800000,6.260000,5.800000,6.120000,6.120000,115900
2020-01-09,6.250000,6.580000,6.010000,6.490000,6.490000,193300
2020-01-10,6.500000,6.660000,6.350000,6.490000,6.490000,247100
2020-01-13,6.420000,6.560000,6.330000,6.440000,6.440000,61100
2020-01-14,6.410000,6.500000,6.080000,6.140000,6.140000,128900
2020-01-15,6.150000,6.292000,5.510000,5.620000,5.620000,240700
2020-01-16,5.660000,5.920000,5.560000,5.780000,5.780000,90700
2020-01-17,5.800000,6.200000,5.800000,6.000000,6.000000,82400
2020-01-21,6.040000,6.200000,5.600000,5.700000,5.700000,132700
2020-01-22,5.850000,5.900000,5.130000,5.240000,5.240000,808500
2020-01-23,5.210000,5.370000,5.011000,5.080000,5.080000,87800
2020-01-24,5.080000,5.160000,5.050000,5.070000,5.070000,39500
2020-01-27,5.050000,5.282000,4.800000,4.990000,4.990000,61800
2020-01-28,5.000000,5.203000,5.000000,5.050000,5.050000,60400
2020-01-29,5.040000,5.710000,5.040000,5.670000,5.670000,89800
2020-01-30,5.700000,5.880000,5.550000,5.860000,5.860000,168500
2020-01-31,5.900000,6.500000,5.297000,6.000000,6.000000,262400
2020-02-03,5.920000,5.920000,5.400000,5.580000,5.580000,216800
2020-02-04,5.500000,5.500000,5.050000,5.110000,5.110000,277500
2020-02-05,5.200000,5.490000,4.860000,4.940000,4.940000,149300
2020-02-06,5.100000,5.290000,4.820000,4.880000,4.880000,253700
2020-02-07,5.050000,5.110000,4.500000,4.550000,4.550000,336400
2020-02-10,4.500000,4.650000,4.440000,4.570000,4.570000,355400
2020-02-11,4.760000,4.760000,4.310000,4.400000,4.400000,325400
2020-02-12,4.420000,8.690000,4.410000,8.040000,8.040000,11997700
2020-02-13,7.060000,7.460000,6.030000,6.640000,6.640000,4089200
2020-02-14,6.950000,7.480000,6.750000,6.780000,6.780000,1932600
2020-02-18,6.830000,6.840000,5.700000,5.750000,5.750000,1349700
2020-02-19,5.820000,6.380000,5.700000,5.710000,5.710000,1029100
2020-02-20,5.500000,5.650000,5.110000,5.320000,5.320000,745300
2020-02-21,5.260000,5.950000,5.188000,5.860000,5.860000,580400
2020-02-24,5.990000,6.090000,5.470000,5.650000,5.650000,494800
2020-02-25,5.620000,5.620000,5.310000,5.500000,5.500000,326500
2020-02-26,5.400000,5.570000,5.350000,5.500000,5.500000,332800
2020-02-27,5.230000,5.600000,5.050000,5.360000,5.360000,451600
2020-02-28,5.230000,5.230000,4.800000,5.090000,5.090000,314000
2020-03-02,5.130000,5.480000,4.930000,5.040000,5.040000,225100
2020-03-03,5.020000,5.280000,4.830000,4.900000,4.900000,291900
2020-03-04,4.900000,4.970000,4.660000,4.660000,4.660000,229000
2020-03-05,4.630000,4.889000,4.610000,4.830000,4.830000,311800
