Date,Open,High,Low,Close,Adj Close,Volume
2021-06-30,12.260000,34.869999,12.260000,30.299999,30.299999,3578400
2021-07-01,60.094002,78.000000,48.299999,59.900002,59.900002,6531000
2021-07-02,69.699997,70.750000,46.020000,53.400002,53.400002,2459900
2021-07-06,43.919998,47.520000,31.530001,31.540001,31.540001,1350500
2021-07-07,38.117001,38.231998,23.010000,26.260000,26.260000,2909200
2021-07-08,23.309999,23.549999,18.511999,19.600000,19.600000,1940100
2021-07-09,18.100000,23.000000,18.000000,18.020000,18.020000,1550600
2021-07-12,18.459999,18.469999,14.110000,15.240000,15.240000,1045200
2021-07-13,13.878000,15.400000,10.300000,11.230000,11.230000,7315400
2021-07-14,11.940000,11.940000,9.310000,9.840000,9.840000,3785300
2021-07-15,9.200000,11.210000,9.040000,9.430000,9.430000,8322500
2021-07-16,9.420000,9.880000,8.550000,8.700000,8.700000,3938400
2021-07-19,7.660000,7.880000,6.660000,6.850000,6.850000,4747400
2021-07-20,7.080000,8.770000,6.570000,7.480000,7.480000,18690300
2021-07-21,7.160000,9.240000,7.060000,8.080000,8.080000,7080700
2021-07-22,8.150000,9.000000,7.100000,7.240000,7.240000,3747400
2021-07-23,7.110000,7.110000,6.053000,6.200000,6.200000,1990700
2021-07-26,5.800000,6.171000,5.050000,5.320000,5.320000,1621400
2021-07-27,5.370000,5.660000,4.800000,4.950000,4.950000,1721300
2021-07-28,5.110000,6.000000,5.080000,6.000000,6.000000,2487800
2021-07-29,6.400000,6.480000,5.710000,5.880000,5.880000,2553200
2021-07-30,5.550000,5.910000,5.350000,5.700000,5.700000,725700
2021-08-02,5.700000,5.900000,5.250000,5.500000,5.500000,901900
2021-08-03,5.450000,5.530000,5.120000,5.340000,5.340000,777400
2021-08-04,5.310000,5.550000,4.940000,5.090000,5.090000,1451500
2021-08-05,5.020000,5.580000,4.840000,5.230000,5.230000,2080900
2021-08-06,5.100000,5.200000,5.010000,5.020000,5.020000,454800
2021-08-09,5.000000,5.300000,4.980000,5.200000,5.200000,924300
2021-08-10,5.200000,5.236000,4.800000,4.900000,4.900000,1120500
2021-08-11,4.900000,4.930000,4.610000,4.730000,4.730000,512600
2021-08-12,4.759000,4.759000,4.440000,4.510000,4.510000,547300
2021-08-13,4.320000,4.345000,3.920000,4.050000,4.050000,864600
2021-08-16,3.900000,4.050000,3.650000,3.720000,3.720000,594100
2021-08-17,3.720000,4.190000,3.720000,3.930000,3.930000,1778400
2021-08-18,3.790000,3.910000,3.660000,3.710000,3.710000,1164300
2021-08-19,3.610000,4.330000,3.510000,3.880000,3.880000,2335800
2021-08-20,3.860000,3.990000,3.650000,3.690000,3.690000,842100
2021-08-23,3.850000,4.120000,3.750000,4.100000,4.100000,959000
2021-08-24,4.110000,4.440000,4.040000,4.190000,4.190000,1212800
2021-08-25,4.770000,4.770000,4.260000,4.480000,4.480000,17289100
2021-08-26,4.370000,4.380000,3.970000,4.050000,4.050000,2046700
2021-08-27,4.020000,4.150000,3.881000,4.070000,4.070000,722300
2021-08-30,4.000000,4.000000,3.750000,3.950000,3.950000,503000
2021-08-31,3.920000,4.250000,3.900000,4.130000,4.130000,788300
2021-09-01,4.050000,4.330000,4.016000,4.200000,4.200000,605300
2021-09-02,4.150000,4.280000,4.140000,4.180000,4.180000,379500
2021-09-03,4.100000,4.190000,4.032000,4.080000,4.080000,438600
2021-09-07,4.070000,4.150000,3.910000,4.000000,4.000000,661900
2021-09-08,3.937000,4.000000,3.766000,3.880000,3.880000,548600
2021-09-09,3.850000,4.020000,3.780000,3.990000,3.990000,431600
2021-09-10,3.930000,3.940000,3.790000,3.820000,3.820000,410800
2021-09-13,3.810000,3.834000,3.570000,3.600000,3.600000,476300
2021-09-14,3.670000,3.673000,3.380000,3.400000,3.400000,328500
2021-09-15,3.340000,3.400000,3.210000,3.260000,3.260000,419700
2021-09-16,3.200000,3.330000,3.180000,3.300000,3.300000,222100
2021-09-17,3.350000,3.354000,3.185000,3.250000,3.250000,302500
2021-09-20,3.100000,3.130000,2.940000,2.980000,2.980000,417400
2021-09-21,2.980000,3.060000,2.980000,3.000000,3.000000,311500
2021-09-22,3.100000,3.136000,3.020000,3.080000,3.080000,246700
2021-09-23,3.060000,3.110000,3.020000,3.050000,3.050000,175700
2021-09-24,3.010000,3.040000,2.810000,2.880000,2.880000,398400
2021-09-27,2.870000,2.988000,2.860000,2.940000,2.940000,221100
2021-09-28,2.860000,2.930000,2.787000,2.820000,2.820000,253100
2021-09-29,2.780000,3.500000,2.780000,3.030000,3.030000,5315700
2021-09-30,3.000000,3.060000,2.833000,3.030000,3.030000,670800
2021-10-01,3.090000,3.100000,2.880000,2.970000,2.970000,232800
