Date,Open,High,Low,Close,Adj Close,Volume
2006-05-04,16.110001,17.150000,16.100000,16.250000,10.205070,7249500
2006-05-05,16.280001,16.549999,16.260000,16.420000,10.311840,752700
2006-05-08,16.500000,16.969999,16.480000,16.830000,10.569311,569400
2006-05-09,17.190001,17.260000,16.850000,16.950001,10.644678,412300
2006-05-10,17.150000,17.350000,17.030001,17.290001,10.858199,593800
2006-05-11,17.389999,17.709999,17.350000,17.680000,11.103118,848500
2006-05-12,17.850000,17.990000,17.700001,17.709999,11.121958,567500
2006-05-15,17.700001,17.700001,16.299999,16.389999,10.292995,560000
2006-05-16,16.400000,16.750000,16.030001,16.059999,10.085751,407200
2006-05-17,16.400000,16.400000,15.600000,15.670000,9.840830,285400
2006-05-18,15.770000,16.000000,15.600000,15.600000,9.796872,105400
2006-05-19,15.700000,15.720000,14.550000,15.150000,9.514270,361500
2006-05-22,15.150000,15.200000,14.930000,15.140000,9.507986,441900
2006-05-23,15.240000,16.299999,15.240000,16.000000,10.048074,254000
2006-05-24,16.290001,16.400000,15.350000,15.750000,9.891074,206400
2006-05-25,15.830000,15.870000,14.890000,15.330000,9.627311,312300
2006-05-26,15.330000,15.330000,15.110000,15.150000,9.514270,244300
2006-05-30,15.200000,15.460000,14.790000,15.000000,9.420070,406500
2006-05-31,15.000000,15.140000,14.770000,14.800000,9.294465,223000
2006-06-01,14.900000,15.100000,14.250000,14.660000,9.206548,307500
2006-06-02,14.750000,15.120000,14.600000,15.000000,9.420070,190200
2006-06-05,15.100000,15.400000,15.010000,15.040000,9.445185,275100
2006-06-06,14.810000,14.890000,14.120000,14.350000,9.011869,302700
2006-06-07,14.380000,14.840000,13.830000,14.490000,9.099788,301100
2006-06-08,14.600000,14.670000,13.870000,14.160000,8.892546,351600
2006-06-09,14.400000,14.700000,14.220000,14.350000,9.011869,182700
2006-06-12,14.250000,14.300000,12.970000,13.200000,8.289660,252100
2006-06-13,13.150000,13.330000,12.080000,12.280000,7.711895,549300
2006-06-14,12.500000,12.600000,12.300000,12.490000,7.843779,283700
2006-06-15,12.750000,13.450000,12.700000,13.180000,8.277099,436600
2006-06-16,13.180000,13.930000,13.010000,13.750000,8.635061,117100
2006-06-19,13.950000,13.950000,13.400000,13.650000,8.572260,163000
2006-06-20,13.750000,14.070000,13.000000,14.000000,8.792063,113900
2006-06-21,14.080000,14.800000,14.080000,14.590000,9.162588,230400
2006-06-22,14.910000,14.910000,14.250000,14.480000,9.093509,93300
2006-06-23,14.500000,14.510000,14.260000,14.300000,8.980464,124800
2006-06-26,14.300000,14.440000,14.100000,14.440000,9.068382,129600
2006-06-27,14.700000,14.720000,14.230000,14.390000,9.036986,89700
2006-06-28,14.650000,15.080000,14.500000,14.950000,9.388671,257300
2006-06-29,14.900000,15.720000,14.780000,15.580000,9.784312,346400
2006-06-30,16.000000,16.000000,15.200000,15.200000,9.545669,577800
2006-07-03,15.200000,15.390000,15.010000,15.210000,9.551950,82700
2006-07-05,15.290000,15.320000,14.830000,15.200000,9.545669,107400
2006-07-06,15.100000,15.200000,14.960000,15.120000,9.495427,77800
2006-07-07,15.000000,15.460000,15.000000,15.170000,9.526831,102700
2006-07-10,15.190000,15.620000,15.190000,15.620000,9.809429,190000
2006-07-11,15.370000,15.550000,15.310000,15.540000,9.759190,92800
2006-07-12,15.520000,15.540000,15.300000,15.450000,9.702670,106200
2006-07-13,15.400000,15.410000,15.020000,15.220000,9.558231,168400
2006-07-14,15.050000,15.750000,14.930000,15.290000,9.602188,216500
2006-07-17,15.420000,15.670000,15.060000,15.470000,9.715228,79200
2006-07-18,15.550000,15.570000,15.070000,15.280000,9.595911,93100
2006-07-19,15.100000,15.600000,15.050000,15.530000,9.752911,119500
2006-07-20,15.700000,15.740000,15.210000,15.440000,9.696388,75100
2006-07-21,15.450000,15.450000,15.050000,15.150000,9.514270,63200
2006-07-24,15.400000,15.450000,15.290000,15.450000,9.702670,207300
2006-07-25,15.420000,15.890000,15.200000,15.760000,9.897349,100400
2006-07-26,15.560000,15.990000,15.100000,15.880000,9.972718,129000
2006-07-27,16.000000,16.250000,15.810000,15.950000,10.016672,75100
2006-07-28,16.120001,16.139999,15.910000,16.030001,10.066912,89000
2006-07-31,16.059999,16.299999,15.920000,16.299999,10.236472,173400
2006-08-01,16.549999,16.549999,16.139999,16.360001,10.274157,145400
2006-08-02,16.549999,16.549999,16.250000,16.459999,10.336956,177500
2006-08-03,16.459999,16.520000,16.209999,16.290001,10.230197,115700
2006-08-04,16.490000,16.500000,15.900000,16.000000,10.048074,97300
2006-08-07,16.000000,16.200001,15.750000,15.950000,10.016672,159500
2006-08-08,16.000000,16.030001,15.710000,15.790000,9.916188,138500
2006-08-09,17.000000,17.389999,16.330000,17.320000,10.877041,928800
2006-08-10,17.120001,17.480000,17.100000,17.480000,10.977521,449000
2006-08-11,17.500000,18.920000,17.480000,18.600000,11.680881,679000
2006-08-14,18.850000,19.750000,18.719999,19.299999,12.120490,622300
2006-08-15,19.490000,19.500000,18.350000,18.879999,11.856727,426600
2006-08-16,19.120001,19.389999,18.549999,19.290001,12.114203,429200
2006-08-17,19.309999,19.799999,18.799999,19.320000,12.133054,417200
2006-08-18,19.400000,19.900000,19.160000,19.900000,12.497290,348600
2006-08-21,21.000000,21.000000,20.250000,20.500000,12.874091,710600
2006-08-22,20.980000,21.660000,20.700001,21.639999,13.590016,888000
2006-08-23,22.400000,22.850000,20.850000,21.780001,13.677938,1160500
2006-08-24,21.900000,22.200001,21.010000,21.309999,13.382773,559900
2006-08-25,21.469999,22.180000,21.389999,21.620001,13.577462,418200
2006-08-28,21.799999,21.820000,20.000000,20.459999,12.848973,807400
2006-08-29,20.459999,20.490000,19.040001,19.930000,12.516133,839500
2006-08-30,20.100000,20.440001,19.510000,20.049999,12.591491,493800
2006-08-31,20.240000,21.330000,19.820000,20.910000,13.131575,423000
2006-09-01,20.920000,21.760000,20.920000,21.100000,13.250898,294000
2006-09-05,21.100000,21.100000,20.100000,20.219999,12.698249,424100
2006-09-06,19.559999,19.650000,18.500000,19.139999,12.020005,776800
2006-09-07,18.410000,18.940001,18.280001,18.799999,11.806491,451900
2006-09-08,18.660000,18.980000,17.670000,18.059999,11.341762,428600
2006-09-11,17.250000,17.480000,16.299999,16.430000,10.318115,922700
2006-09-12,16.030001,16.780001,16.010000,16.690001,10.481397,547400
2006-09-13,16.860001,17.570000,16.799999,17.540001,11.015201,472800
2006-09-14,17.799999,17.830000,16.910000,17.000000,10.676072,281500
2006-09-15,17.200001,17.850000,16.820000,17.760000,11.153362,356500
2006-09-18,17.680000,18.570000,17.500000,17.950001,11.272681,340300
2006-09-19,17.959999,18.400000,16.570000,16.920000,10.625838,571900
2006-09-20,16.820000,18.100000,16.430000,17.219999,10.814240,435100
2006-09-21,17.219999,17.350000,16.600000,16.610001,10.431155,364200
2006-09-22,16.730000,16.820000,16.299999,16.440001,10.324394,236900
2006-09-25,16.290001,16.879999,16.000000,16.790001,10.544195,201800
2006-09-26,16.889999,17.360001,16.889999,17.280001,10.851920,163100
2006-09-27,17.940001,18.500000,17.180000,18.139999,11.392002,565600
2006-09-28,18.190001,18.440001,18.090000,18.309999,11.498760,318000
2006-09-29,18.309999,18.500000,18.270000,18.500000,11.618083,280300
2006-10-02,18.500000,18.559999,17.730000,17.950001,11.272681,212200
2006-10-03,17.450001,17.600000,16.650000,16.809999,10.556756,508800
2006-10-04,16.709999,17.160000,16.629999,17.110001,10.745155,184400
2006-10-05,17.250000,17.740000,17.230000,17.469999,10.971239,172400
2006-10-06,17.719999,17.719999,17.040001,17.180000,10.789119,177900
2006-10-09,17.309999,17.549999,17.150000,17.450001,10.958681,173200
2006-10-10,17.450001,17.799999,17.049999,17.420000,10.939842,160300
2006-10-11,17.400000,17.660000,17.340000,17.570000,11.034038,89800
2006-10-12,18.000000,18.059999,17.350000,17.660000,11.090562,245400
2006-10-13,17.700001,18.219999,17.650000,18.180000,11.417123,225800
2006-10-16,18.150000,18.469999,18.150000,18.440001,11.580403,200300
2006-10-17,18.500000,18.600000,18.350000,18.430000,11.574123,301400
2006-10-18,18.500000,18.500000,17.959999,18.049999,11.335482,130800
2006-10-19,18.190001,18.450001,18.049999,18.350000,11.523883,125800
2006-10-20,18.440001,18.480000,18.139999,18.320000,11.505040,101000
2006-10-23,18.139999,18.340000,18.049999,18.110001,11.373159,154200
2006-10-24,17.900000,18.240000,17.690001,18.180000,11.417123,109800
2006-10-25,18.190001,19.000000,18.190001,18.750000,11.775084,332500
2006-10-26,18.320000,18.750000,18.209999,18.750000,11.775084,218400
2006-10-27,18.750000,18.809999,18.520000,18.750000,11.775084,222800
2006-10-30,18.730000,18.730000,18.410000,18.540001,11.643205,82100
2006-10-31,18.450001,18.790001,18.450001,18.629999,11.699728,235800
2006-11-01,18.629999,18.629999,18.000000,18.290001,11.486203,135400
2006-11-02,18.290001,18.330000,17.980000,18.139999,11.392002,205900
2006-11-03,18.110001,18.480000,18.110001,18.370001,11.536446,186000
2006-11-06,18.469999,18.590000,18.370001,18.440001,11.580403,202200
2006-11-07,18.459999,18.600000,18.420000,18.440001,11.580403,121400
2006-11-08,18.440001,18.770000,18.430000,18.700001,11.743690,164700
2006-11-09,16.700001,18.100000,16.700001,18.100000,11.366887,613100
2006-11-10,18.000000,18.170000,17.910000,18.010000,11.310361,170200
2006-11-13,18.000000,18.000000,16.709999,16.980000,10.663514,378800
2006-11-14,17.080000,17.230000,16.600000,16.990000,10.669795,338800
2006-11-15,16.969999,17.379999,16.879999,17.250000,10.833076,367600
2006-11-16,17.230000,17.230000,16.940001,17.150000,10.794053,348700
2006-11-17,17.110001,17.360001,17.090000,17.250000,10.856994,173200
