Date,Open,High,Low,Close,Adj Close,Volume
2018-11-13,6.390000,6.650000,6.120000,6.250000,6.250000,456300
2018-11-14,6.250000,6.300000,6.000000,6.000000,6.000000,122900
2018-11-15,6.050000,6.350000,6.050000,6.050000,6.050000,42300
2018-11-16,6.050000,6.200000,6.050000,6.100000,6.100000,21800
2018-11-19,6.280000,6.280000,5.900000,6.020000,6.020000,41900
2018-11-20,6.200000,6.200000,6.000000,6.010000,6.010000,45600
2018-11-21,6.150000,6.150000,6.030000,6.030000,6.030000,8900
2018-11-23,6.100000,6.120000,6.000000,6.090000,6.090000,10700
2018-11-26,6.150000,6.150000,6.000000,6.030000,6.030000,15400
2018-11-27,6.080000,6.100000,6.010000,6.050000,6.050000,12900
2018-11-28,6.140000,6.590000,6.040000,6.570000,6.570000,14200
2018-11-29,6.600000,6.680000,6.200000,6.240000,6.240000,34600
2018-11-30,6.200000,6.350000,6.100000,6.350000,6.350000,44900
2018-12-03,6.500000,6.500000,6.150000,6.200000,6.200000,19800
2018-12-04,6.290000,6.500000,6.150000,6.250000,6.250000,14100
2018-12-06,6.510000,6.510000,6.120000,6.150000,6.150000,13200
2018-12-07,6.270000,6.270000,6.120000,6.150000,6.150000,9500
2018-12-10,6.240000,6.400000,6.080000,6.080000,6.080000,31200
2018-12-11,6.300000,6.310000,6.000000,6.150000,6.150000,32300
2018-12-12,6.190000,6.190000,6.010000,6.020000,6.020000,11200
2018-12-13,6.050000,6.150000,6.010000,6.010000,6.010000,7200
2018-12-14,6.090000,6.090000,6.000000,6.000000,6.000000,10500
2018-12-17,6.090000,6.680000,6.030000,6.500000,6.500000,14900
2018-12-18,6.680000,6.680000,6.010000,6.680000,6.680000,23900
2018-12-19,6.430000,6.650000,6.000000,6.300000,6.300000,54300
2018-12-20,6.140000,6.200000,6.010000,6.090000,6.090000,18500
2018-12-21,6.200000,6.200000,5.790000,5.790000,5.790000,76000
2018-12-24,6.070000,6.070000,6.000000,6.000000,6.000000,2400
2018-12-26,6.100000,6.100000,6.000000,6.000000,6.000000,600
2018-12-27,6.070000,6.070000,6.000000,6.000000,6.000000,2500
2018-12-28,6.030000,6.030000,6.000000,6.000000,6.000000,7000
