Date,Open,High,Low,Close,Adj Close,Volume
1999-10-26,4.840000,5.100000,4.685000,4.840000,3.537734,2600
1999-10-27,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-10-28,4.840000,4.840000,4.685000,4.840000,3.537734,2200
1999-10-29,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-11-01,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-11-02,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-11-03,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-11-04,4.840000,4.840000,4.840000,4.840000,3.537734,0
1999-11-05,4.375000,4.375000,4.375000,4.375000,3.197848,3000
1999-11-08,4.060000,4.375000,4.060000,4.060000,2.967603,2000
1999-11-09,3.750000,3.750000,3.750000,3.750000,2.741013,2000
1999-11-10,3.750000,3.750000,3.750000,3.750000,2.741013,0
1999-11-11,3.750000,3.750000,3.750000,3.750000,2.741013,0
1999-11-12,4.060000,4.060000,4.060000,4.060000,2.967603,2000
1999-11-15,4.375000,4.685000,4.375000,4.685000,3.424439,400
1999-11-16,5.000000,5.000000,4.685000,5.000000,3.654684,2520
1999-11-17,5.000000,5.000000,5.000000,5.000000,3.654684,480
1999-11-18,5.050000,5.050000,5.050000,5.050000,3.691231,1800
1999-11-19,4.060000,4.060000,4.060000,4.060000,2.967603,20
1999-11-22,4.060000,4.060000,4.060000,4.060000,2.967603,0
1999-11-23,4.060000,4.060000,4.060000,4.060000,2.967603,0
1999-11-24,4.060000,4.060000,4.060000,4.060000,2.967603,0
1999-11-26,5.050000,5.050000,5.050000,5.050000,3.691231,2340
1999-11-29,5.310000,5.310000,5.050000,5.310000,3.881274,820
1999-11-30,5.310000,5.310000,5.310000,5.310000,3.881274,0
1999-12-01,5.935000,5.935000,5.625000,5.625000,4.111519,600
1999-12-02,5.625000,5.625000,5.625000,5.625000,4.111519,80
1999-12-03,5.625000,5.625000,5.625000,5.625000,4.111519,400
1999-12-06,5.625000,5.625000,5.625000,5.625000,4.111519,0
1999-12-07,5.625000,5.625000,5.625000,5.625000,4.111519,20
1999-12-08,5.625000,5.625000,5.625000,5.625000,4.111519,0
1999-12-09,5.625000,5.625000,5.625000,5.625000,4.111519,0
1999-12-10,5.625000,5.625000,5.625000,5.625000,4.111519,0
1999-12-13,5.310000,5.310000,5.310000,5.310000,3.881274,220
1999-12-14,5.000000,5.310000,4.530000,4.530000,3.311143,1600
1999-12-15,4.530000,4.530000,4.530000,4.530000,3.311143,0
1999-12-16,4.530000,4.530000,4.530000,4.530000,3.311143,0
1999-12-17,4.530000,4.530000,4.530000,4.530000,3.311143,60
1999-12-20,4.530000,4.530000,4.530000,4.530000,3.311143,1000
1999-12-21,4.685000,4.840000,4.530000,4.840000,3.537734,3100
1999-12-22,4.530000,4.530000,4.530000,4.530000,3.311143,420
1999-12-23,4.530000,4.530000,4.530000,4.530000,3.311143,0
1999-12-27,4.840000,4.840000,4.840000,4.840000,3.537734,260
1999-12-28,4.530000,4.530000,4.530000,4.530000,3.311143,700
1999-12-29,4.685000,4.685000,4.375000,4.375000,3.197848,1640
1999-12-30,4.685000,4.685000,4.685000,4.685000,3.424439,2940
1999-12-31,4.685000,4.840000,4.685000,4.685000,3.424439,800
2000-01-03,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-01-04,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-01-05,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-01-06,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-01-07,4.840000,4.840000,4.840000,4.840000,3.537734,1000
2000-01-10,4.840000,4.840000,4.840000,4.840000,3.537734,600
2000-01-11,4.840000,4.840000,4.685000,4.685000,3.424439,420
2000-01-12,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-01-13,5.000000,5.000000,5.000000,5.000000,3.654684,200
2000-01-14,5.000000,5.000000,5.000000,5.000000,3.654684,0
2000-01-18,4.685000,4.685000,4.685000,4.685000,3.424439,40
2000-01-19,4.840000,4.840000,4.840000,4.840000,3.537734,600
2000-01-20,4.840000,4.840000,4.840000,4.840000,3.537734,0
2000-01-21,4.840000,4.840000,4.840000,4.840000,3.537734,3400
2000-01-24,4.840000,4.840000,4.840000,4.840000,3.537734,880
2000-01-25,4.840000,4.840000,4.840000,4.840000,3.537734,0
2000-01-26,4.840000,4.840000,4.840000,4.840000,3.537734,1500
2000-01-27,4.840000,4.840000,4.840000,4.840000,3.537734,20
2000-01-28,4.840000,4.840000,4.840000,4.840000,3.537734,0
2000-01-31,4.840000,4.840000,4.840000,4.840000,3.537734,1600
2000-02-01,4.685000,4.685000,4.685000,4.685000,3.424439,140
2000-02-02,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-02-03,5.155000,5.155000,4.840000,5.155000,3.767978,6380
2000-02-04,5.155000,5.310000,5.155000,5.155000,3.767978,1600
2000-02-07,5.000000,5.000000,5.000000,5.000000,3.654684,500
2000-02-08,5.000000,5.000000,5.000000,5.000000,3.654684,800
2000-02-09,4.840000,4.840000,4.840000,4.840000,3.537734,60
2000-02-10,4.685000,4.685000,4.685000,4.685000,3.424439,1020
2000-02-11,4.840000,4.840000,4.840000,4.840000,3.537734,20
2000-02-14,4.685000,4.685000,4.685000,4.685000,3.424439,4500
2000-02-15,4.685000,4.685000,4.685000,4.685000,3.424439,0
2000-02-16,4.530000,4.530000,4.530000,4.530000,3.311143,60
2000-02-17,4.530000,4.530000,4.530000,4.530000,3.311143,0
2000-02-18,4.530000,4.530000,4.530000,4.530000,3.311143,1500
2000-02-22,4.530000,4.530000,4.530000,4.530000,3.311143,0
2000-02-23,4.530000,4.530000,4.530000,4.530000,3.311143,0
2000-02-24,4.530000,4.530000,4.530000,4.530000,3.311143,0
2000-02-25,4.530000,4.530000,4.530000,4.530000,3.311143,0
2000-02-28,4.530000,4.530000,4.530000,4.530000,3.311143,0
