Date,Open,High,Low,Close,Adj Close,Volume
2021-11-01,15.500000,15.500000,13.520000,13.700000,13.700000,2429400
2021-11-02,13.500000,13.939000,13.250000,13.390000,13.390000,895000
2021-11-03,13.190000,13.849000,12.990000,13.500000,13.500000,484700
2021-11-04,13.500000,14.200000,13.395000,13.840000,13.840000,442800
2021-11-05,13.800000,14.500000,13.500000,14.410000,14.410000,552200
2021-11-08,14.440000,14.440000,14.000000,14.070000,14.070000,196800
2021-11-09,14.000000,14.370000,13.630000,13.850000,13.850000,235300
2021-11-10,13.850000,14.180000,13.850000,14.060000,14.060000,134500
2021-11-11,14.000000,14.170000,13.980000,14.060000,14.060000,319900
2021-11-12,14.010000,14.610000,14.010000,14.600000,14.600000,309500
2021-11-15,14.610000,15.830000,14.610000,15.740000,15.740000,171200
2021-11-16,15.730000,15.850000,15.360000,15.850000,15.850000,85000
2021-11-17,15.580000,16.350000,15.270000,16.200001,16.200001,58600
2021-11-18,16.030001,16.100000,15.430000,15.630000,15.630000,20500
2021-11-19,15.580000,16.370001,15.580000,16.030001,16.030001,65200
2021-11-22,16.190001,16.257000,15.500000,15.680000,15.680000,120800
2021-11-23,15.650000,16.090000,14.090000,14.140000,14.140000,401200
2021-11-24,14.210000,15.995000,14.000000,15.570000,15.570000,1232300
2021-11-26,15.500000,16.110001,15.500000,16.000000,16.000000,645300
2021-11-29,16.000000,16.000000,13.000000,13.430000,13.430000,247100
2021-11-30,13.670000,14.440000,12.031000,12.350000,12.350000,146000
2021-12-01,12.350000,12.670000,11.630000,11.950000,11.950000,147600
2021-12-02,11.880000,12.190000,9.710000,10.310000,10.310000,626000
2021-12-03,10.310000,10.310000,8.735000,10.080000,10.080000,590600
2021-12-06,10.380000,10.540000,8.520000,9.310000,9.310000,387700
2021-12-07,9.480000,10.580000,8.670000,10.100000,10.100000,485700
2021-12-08,10.250000,10.250000,9.560000,10.000000,10.000000,244200
2021-12-09,9.910000,10.330000,9.580000,9.970000,9.970000,169700
2021-12-10,10.040000,10.110000,9.030000,9.500000,9.500000,1020100
2021-12-13,9.500000,10.360000,9.160000,9.750000,9.750000,221700
2021-12-14,9.640000,10.000000,9.335000,9.760000,9.760000,116200
2021-12-15,9.810000,9.810000,7.180000,7.680000,7.680000,595000
2021-12-16,7.630000,8.690000,7.460000,7.610000,7.610000,307300
2021-12-17,7.570000,8.080000,7.030000,7.650000,7.650000,329000
2021-12-20,7.630000,7.830000,7.080000,7.530000,7.530000,125600
2021-12-21,8.000000,8.010000,7.320000,7.470000,7.470000,123400
2021-12-22,7.360000,7.770000,7.300000,7.440000,7.440000,134400
2021-12-23,7.530000,7.790000,7.060000,7.300000,7.300000,145300
2021-12-27,7.320000,7.420000,6.710000,6.770000,6.770000,97500
2021-12-28,6.750000,6.750000,6.330000,6.360000,6.360000,172800
2021-12-29,6.330000,6.830000,5.860000,6.140000,6.140000,183900
2021-12-30,6.150000,6.410000,5.870000,6.190000,6.190000,306800
2021-12-31,6.200000,6.340000,5.940000,6.160000,6.160000,171600
2022-01-03,6.220000,6.315000,6.100000,6.210000,6.210000,54700
2022-01-04,6.250000,6.480000,5.880000,6.020000,6.020000,82900
2022-01-05,5.900000,6.150000,5.470000,5.470000,5.470000,79200
2022-01-06,5.470000,5.942000,5.000000,5.240000,5.240000,151500
2022-01-07,5.730000,5.730000,4.810000,4.960000,4.960000,201100
2022-01-10,4.760000,5.070000,4.330000,4.880000,4.880000,75200
2022-01-11,4.910000,5.970000,4.860000,5.840000,5.840000,138000
2022-01-12,5.860000,6.115000,5.150000,5.240000,5.240000,94300
2022-01-13,5.170000,5.470000,5.010000,5.110000,5.110000,108900
2022-01-14,4.980000,5.400000,4.793000,4.980000,4.980000,110400
2022-01-18,4.950000,5.380000,4.780000,4.940000,4.940000,276500
2022-01-19,5.130000,5.280000,4.740000,4.850000,4.850000,99900
2022-01-20,5.010000,5.220000,4.720000,4.720000,4.720000,98300
2022-01-21,5.190000,5.280000,4.375000,4.500000,4.500000,72300
2022-01-24,4.100000,4.720000,3.890000,4.510000,4.510000,152100
2022-01-25,4.270000,4.540000,4.175000,4.480000,4.480000,72400
2022-01-26,4.480000,6.000000,3.590000,3.820000,3.820000,214600
2022-01-27,3.830000,4.210000,3.710000,3.750000,3.750000,55300
2022-01-28,3.770000,3.988000,3.660000,3.800000,3.800000,842600
2022-01-31,3.800000,4.120000,3.790000,3.900000,3.900000,239900
2022-02-01,3.990000,4.173000,3.760000,4.140000,4.140000,125900
2022-02-02,4.170000,4.200000,3.720000,3.765000,3.765000,56900
2022-02-03,3.700000,3.770000,3.500000,3.520000,3.520000,58500
2022-02-04,3.580000,3.770000,3.450000,3.460000,3.460000,42900
2022-02-07,3.470000,3.570000,3.380000,3.430000,3.430000,101000
2022-02-08,3.450000,3.750000,3.369000,3.640000,3.640000,569800
2022-02-09,3.730000,4.330000,3.600000,4.100000,4.100000,600400
2022-02-10,4.100000,4.100000,3.620000,3.780000,3.780000,228400
2022-02-11,3.750000,3.940000,3.610000,3.850000,3.850000,101400
2022-02-14,3.820000,3.950000,3.660000,3.860000,3.860000,181100
2022-02-15,3.890000,4.750000,3.885000,4.575000,4.575000,965700
2022-02-16,4.480000,5.170000,4.400000,4.880000,4.880000,343300
2022-02-17,4.790000,4.930000,4.185000,4.390000,4.390000,300300
2022-02-18,4.400000,5.050000,4.400000,4.820000,4.820000,270700
2022-02-22,4.770000,5.240000,4.330000,4.430000,4.430000,286700
2022-02-23,4.430000,4.650000,4.174000,4.400000,4.400000,147400
2022-02-24,4.210000,4.860000,4.090000,4.640000,4.640000,225200
2022-02-25,4.750000,4.750000,4.230000,4.320000,4.320000,59900
2022-02-28,4.260000,4.840000,4.250000,4.600000,4.600000,80200
2022-03-01,4.610000,4.830000,4.427000,4.570000,4.570000,55200
2022-03-02,4.650000,4.810000,4.480000,4.780000,4.780000,51800
2022-03-03,4.790000,4.850000,4.365000,4.370000,4.370000,118700
2022-03-04,4.410000,4.560000,4.060000,4.180000,4.180000,99600
2022-03-07,4.120000,4.300000,3.950000,3.950000,3.950000,86300
2022-03-08,3.950000,4.030000,3.740000,3.830000,3.830000,159500
2022-03-09,3.980000,4.710000,3.900000,4.140000,4.140000,752200
2022-03-10,4.020000,4.100000,3.630000,3.720000,3.720000,292100
2022-03-11,3.760000,3.960000,3.350000,3.390000,3.390000,205500
2022-03-14,3.330000,3.367000,2.880000,2.990000,2.990000,402500
2022-03-15,3.000000,3.050000,2.605000,2.810000,2.810000,487400
2022-03-16,3.230000,3.990000,3.080000,3.230000,3.230000,1279900
2022-03-17,3.040000,3.264000,2.860000,3.050000,3.050000,498000
2022-03-18,3.080000,3.460000,2.940000,3.150000,3.150000,458100
2022-03-21,3.180000,3.390000,2.770000,2.920000,2.920000,517600
2022-03-22,2.930000,3.160000,2.830000,2.890000,2.890000,813600
2022-03-23,2.900000,2.940000,2.810000,2.840000,2.840000,217200
2022-03-24,2.880000,2.910000,2.810000,2.840000,2.840000,265400
2022-03-25,2.830000,2.980000,2.830000,2.940000,2.940000,298300
2022-03-28,2.930000,2.960000,2.700000,2.800000,2.800000,401000
2022-03-29,2.840000,3.690000,2.840000,3.570000,3.570000,2226300
2022-03-30,3.630000,4.110000,3.340000,3.570000,3.570000,1593200
2022-03-31,3.640000,4.230000,3.430000,3.710000,3.710000,1785400
2022-04-01,3.800000,3.930000,3.600000,3.730000,3.730000,872700
2022-04-04,3.820000,4.650000,3.800000,4.500000,4.500000,1537500
2022-04-05,4.500000,5.050000,4.340000,4.970000,4.970000,621900
2022-04-06,4.970000,5.150000,4.768000,4.950000,4.950000,731200
2022-04-07,4.890000,5.585000,4.780000,5.400000,5.400000,992600
2022-04-08,5.460000,5.569000,4.780000,5.040000,5.040000,1628300
2022-04-11,5.050000,5.210000,4.900000,4.960000,4.960000,450900
2022-04-12,4.980000,5.240000,4.870000,5.220000,5.220000,372100
2022-04-13,5.220000,6.019000,5.090000,5.770000,5.770000,473800
2022-04-14,5.850000,6.160000,5.650000,6.010000,6.010000,350000
2022-04-18,6.140000,6.240000,5.140000,5.370000,5.370000,964300
2022-04-19,5.380000,5.990000,5.380000,5.480000,5.480000,416300
2022-04-20,5.540000,5.715000,5.010000,5.170000,5.170000,421300
2022-04-21,5.220000,5.330000,4.880000,4.910000,4.910000,440500
2022-04-22,4.890000,5.170000,4.750000,5.040000,5.040000,495100
2022-04-25,5.180000,5.711000,4.610000,4.770000,4.770000,791300
2022-04-26,4.700000,4.770000,4.284000,4.670000,4.670000,408400
2022-04-27,4.700000,5.150000,4.660000,5.045000,5.045000,446200
2022-04-28,5.110000,5.340000,4.930000,5.020000,5.020000,615200
2022-04-29,5.020000,5.085000,3.675000,3.830000,3.830000,2319200
2022-05-02,3.730000,3.919000,3.290000,3.710000,3.710000,587100
2022-05-03,3.620000,3.810000,3.105000,3.150000,3.150000,669500
2022-05-04,3.140000,3.140000,2.880000,3.020000,3.020000,743400
2022-05-05,2.980000,2.980000,2.601000,2.690000,2.690000,613200
