Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,8.280000,9.300000,8.280000,9.300000,9.300000,900
2021-01-11,9.870000,11.070000,9.600000,10.920000,10.920000,2233
2021-01-12,10.500000,10.920000,7.650000,10.320000,10.320000,1900
2021-01-13,9.630000,10.650000,9.630000,10.650000,10.650000,100
2021-01-14,10.200000,10.830000,10.200000,10.830000,10.830000,700
2021-01-15,10.590000,10.620000,10.200000,10.200000,10.200000,2433
2021-01-19,10.920000,10.920000,10.200000,10.740000,10.740000,1233
2021-01-20,9.900000,10.770000,9.900000,10.305000,10.305000,833
2021-01-21,10.200000,10.470000,9.300000,10.470000,10.470000,433
2021-01-22,10.530000,10.710000,10.350000,10.710000,10.710000,1000
2021-01-25,10.710000,10.800000,10.500000,10.500000,10.500000,367
2021-01-26,9.750000,10.965000,9.600000,10.530000,10.530000,3300
2021-01-27,10.530000,10.530000,9.300000,9.750000,9.750000,1900
2021-01-28,10.680000,10.680000,9.900000,10.200000,10.200000,933
2021-01-29,10.230000,10.242000,9.870000,9.870000,9.870000,2167
2021-02-01,8.490000,9.300000,8.490000,9.300000,9.300000,433
2021-02-02,10.200000,10.950000,9.330000,10.056000,10.056000,567
2021-02-03,10.500000,10.500000,10.050000,10.050000,10.050000,2700
2021-02-04,10.500000,10.500000,10.200000,10.200000,10.200000,400
2021-02-05,10.200000,10.200000,9.930000,9.930000,9.930000,967
2021-02-08,10.500000,10.500000,8.940000,9.330000,9.330000,1333
2021-02-09,10.200000,10.200000,9.030000,9.600000,9.600000,2000
2021-02-10,10.500000,10.500000,9.000000,9.720000,9.720000,1833
2021-02-11,9.840000,9.840000,8.730000,9.270000,9.270000,2667
2021-02-12,9.600000,9.750000,9.600000,9.600000,9.600000,200
2021-02-16,9.000000,9.750000,7.500000,9.600000,9.600000,1833
2021-02-17,9.750000,10.500000,9.210000,9.210000,9.210000,3500
2021-02-18,9.330000,9.600000,9.330000,9.360000,9.360000,2267
2021-02-19,9.450000,9.462000,9.060000,9.150000,9.150000,2367
2021-02-22,8.700000,9.720000,8.700000,9.150000,9.150000,3267
2021-02-23,9.120000,9.600000,7.500000,8.280000,8.280000,3633
2021-02-24,8.850000,9.750000,8.835000,8.910000,8.910000,600
2021-02-25,9.000000,9.150000,4.650000,7.500000,7.500000,10100
2021-02-26,8.700000,8.700000,7.800000,7.800000,7.800000,1100
2021-03-01,8.970000,9.000000,8.250000,8.400000,8.400000,933
2021-03-02,8.400000,8.400000,7.950000,7.950000,7.950000,600
2021-03-03,7.650000,8.250000,7.650000,8.100000,8.100000,1267
2021-03-04,8.100000,8.550000,7.800000,8.550000,8.550000,1433
2021-03-05,8.100000,8.400000,7.500000,8.250000,8.250000,1000
2021-03-08,7.710000,8.400000,7.710000,7.950000,7.950000,5667
2021-03-09,7.950000,8.175000,7.950000,8.175000,8.175000,700
2021-03-10,8.160000,8.400000,8.160000,8.400000,8.400000,700
2021-03-11,8.250000,8.400000,8.250000,8.280000,8.280000,900
2021-03-12,8.130000,8.130000,8.130000,8.130000,8.130000,333
2021-03-15,8.250000,8.400000,7.530000,8.100000,8.100000,3800
2021-03-16,8.100000,8.100000,7.260000,8.100000,8.100000,2233
2021-03-17,8.040000,8.040000,7.350000,7.500000,7.500000,5533
2021-03-18,7.500000,7.500000,7.500000,7.500000,7.500000,0
2021-03-19,7.290000,7.290000,6.534000,6.750000,6.750000,4567
2021-03-22,6.900000,7.200000,3.300000,6.300000,6.300000,4967
2021-03-23,6.150000,7.800000,6.150000,7.500000,7.500000,3567
2021-03-24,7.575000,7.695000,7.500000,7.500000,7.500000,733
2021-03-25,6.750000,9.150000,6.750000,9.150000,9.150000,1467
2021-03-26,8.700000,8.700000,8.250000,8.250000,8.250000,733
2021-03-29,8.850000,10.200000,8.400000,10.200000,10.200000,500
2021-03-30,9.600000,9.600000,6.600000,9.000000,9.000000,2633
2021-03-31,9.150000,9.150000,8.625000,8.700000,8.700000,867
2021-04-01,9.000000,9.000000,8.850000,8.850000,8.850000,233
2021-04-05,7.050000,9.000000,7.050000,9.000000,9.000000,233
2021-04-06,7.950000,9.000000,7.530000,9.000000,9.000000,567
2021-04-07,9.000000,9.000000,6.180000,8.700000,8.700000,7300
2021-04-08,7.854000,8.550000,7.854000,8.550000,8.550000,700
2021-04-09,8.355000,8.355000,6.060000,6.300000,6.300000,3500
2021-04-12,8.100000,8.850000,8.100000,8.850000,8.850000,900
2021-04-13,8.850000,9.750000,6.630000,8.250000,8.250000,1833
2021-04-14,8.250000,8.850000,8.250000,8.850000,8.850000,200
2021-04-15,8.850000,8.850000,8.430000,8.850000,8.850000,233
2021-04-16,8.850000,8.850000,8.400000,8.460000,8.460000,1033
2021-04-19,8.355000,8.355000,7.500000,7.500000,7.500000,300
2021-04-20,7.500000,8.100000,7.500000,7.530000,7.530000,400
2021-04-21,8.100000,8.250000,7.689000,8.250000,8.250000,200
2021-04-22,8.250000,8.550000,8.100000,8.550000,8.550000,6167
2021-04-23,7.500000,7.500000,7.500000,7.500000,7.500000,100
2021-04-26,8.550000,8.550000,8.250000,8.250000,8.250000,1400
2021-04-27,8.520000,8.520000,8.520000,8.520000,8.520000,100
2021-04-28,8.250000,9.990000,8.220000,9.000000,9.000000,8567
2021-04-29,9.000000,9.000000,9.000000,9.000000,9.000000,0
