Date,Open,High,Low,Close,Adj Close,Volume
2023-09-27,7.000000,7.348000,6.160000,6.200000,6.200000,2328900
2023-09-28,5.250000,5.630000,4.520000,4.700000,4.700000,493800
2023-09-29,4.700000,4.990000,4.700000,4.900000,4.900000,141800
2023-10-02,5.180000,5.920000,4.840000,5.620000,5.620000,857000
2023-10-03,5.950000,5.950000,5.510000,5.760000,5.760000,269500
2023-10-04,5.310000,6.000000,5.310000,6.000000,6.000000,61700
2023-10-05,5.800000,5.960000,5.720000,5.820000,5.820000,14300
2023-10-06,5.700000,6.480000,5.700000,6.024000,6.024000,104200
2023-10-09,6.050000,6.050000,5.900000,5.950000,5.950000,10800
2023-10-10,5.905000,6.090000,5.810000,5.840000,5.840000,18400
2023-10-11,5.800000,5.800000,5.630000,5.690000,5.690000,16000
2023-10-12,5.700000,5.700000,5.480000,5.650000,5.650000,25800
2023-10-13,5.637000,5.637000,5.400000,5.400000,5.400000,8900
2023-10-16,5.410000,5.550000,5.410000,5.430000,5.430000,2300
2023-10-17,5.430000,5.650000,5.350000,5.370000,5.370000,5000
2023-10-18,5.320000,5.650000,5.260000,5.450000,5.450000,49200
2023-10-19,5.590000,5.741000,5.353000,5.410000,5.410000,20800
2023-10-20,5.374000,5.526000,5.350000,5.350000,5.350000,8100
2023-10-23,5.470000,5.670000,5.350000,5.370000,5.370000,12700
2023-10-24,5.380000,5.750000,5.330000,5.360000,5.360000,17800
2023-10-25,5.366000,5.366000,5.366000,5.366000,5.366000,300
2023-10-26,5.660000,5.790000,5.280000,5.320000,5.320000,2600
2023-10-27,5.350000,5.790000,5.350000,5.450000,5.450000,5300
2023-10-30,5.360000,5.480000,4.869000,5.293000,5.293000,20000
2023-10-31,5.240000,5.500000,5.065000,5.473000,5.473000,17100
2023-11-01,5.300000,5.500000,5.300000,5.400000,5.400000,8700
2023-11-02,5.300000,5.810000,4.993000,5.724000,5.724000,35300
2023-11-03,5.400000,5.570000,5.350000,5.500000,5.500000,22300
2023-11-06,5.520000,5.700000,5.410000,5.600000,5.600000,13200
2023-11-07,5.600000,5.600000,5.600000,5.600000,5.600000,0
2023-11-08,5.625000,5.800000,5.575000,5.700000,5.700000,17900
2023-11-09,5.948000,6.000000,5.730000,5.810000,5.810000,16200
2023-11-10,5.644000,5.700000,5.610000,5.610000,5.610000,2000
2023-11-13,5.580000,5.850000,5.580000,5.830000,5.830000,10500
2023-11-14,5.850000,6.649000,5.850000,6.310000,6.310000,36500
2023-11-15,6.300000,6.870000,6.300000,6.720000,6.720000,24500
2023-11-16,6.800000,7.000000,6.700000,6.980000,6.980000,109300
2023-11-17,6.800000,6.800000,6.590000,6.600000,6.600000,1600
2023-11-20,6.933000,6.962000,6.351000,6.875000,6.875000,6500
2023-11-21,6.620000,6.800000,6.350000,6.480000,6.480000,7700
2023-11-22,6.460000,6.850000,6.162000,6.680000,6.680000,90500
2023-11-24,6.500000,6.590000,5.950000,6.490000,6.490000,16400
2023-11-27,6.500000,7.000000,6.500000,6.840000,6.840000,17700
2023-11-28,7.060000,7.080000,6.900000,7.070000,7.070000,43000
2023-11-29,7.200000,7.200000,6.920000,7.000000,7.000000,10300
2023-11-30,7.200000,7.200000,6.975000,7.000000,7.000000,8800
2023-12-01,6.975000,7.050000,6.903000,6.910000,6.910000,4400
2023-12-04,7.010000,7.050000,6.950000,6.990000,6.990000,10700
2023-12-05,6.980000,6.980000,6.840000,6.980000,6.980000,8800
2023-12-06,6.750000,7.000000,6.750000,6.800000,6.800000,10200
2023-12-07,6.990000,6.990000,6.750000,6.880000,6.880000,2500
2023-12-08,6.870000,6.890000,6.600000,6.800000,6.800000,2700
2023-12-11,6.600000,6.600000,6.300000,6.426000,6.426000,7100
2023-12-12,6.450000,6.900000,6.217000,6.870000,6.870000,12200
2023-12-13,6.640000,6.870000,6.640000,6.850000,6.850000,1600
2023-12-14,6.770000,7.000000,6.770000,7.000000,7.000000,4000
2023-12-15,6.614000,6.900000,6.614000,6.889000,6.889000,1000
2023-12-18,6.600000,6.620000,6.600000,6.600000,6.600000,3300
2023-12-19,6.600000,6.620000,6.440000,6.440000,6.440000,5700
2023-12-20,6.451000,6.451000,6.300000,6.350000,6.350000,4700
2023-12-21,6.130000,6.130000,5.620000,5.620000,5.620000,29900
2023-12-22,5.620000,5.620000,5.620000,5.620000,5.620000,900
2023-12-26,5.700000,5.700000,5.490000,5.490000,5.490000,10500
2023-12-27,5.543000,5.890000,5.490000,5.500000,5.500000,16900
2023-12-28,5.840000,6.200000,5.500000,5.500000,5.500000,6100
2023-12-29,5.524000,5.775000,5.370000,5.740000,5.740000,7900
2024-01-02,5.510000,5.680000,5.500000,5.500000,5.500000,10400
2024-01-03,5.540000,5.550000,5.451000,5.451000,5.451000,1700
2024-01-04,5.570000,5.570000,5.500000,5.500000,5.500000,900
2024-01-05,5.370000,5.490000,5.370000,5.490000,5.490000,700
2024-01-08,5.420000,5.450000,5.370000,5.370000,5.370000,1700
2024-01-09,5.400000,5.400000,5.280000,5.400000,5.400000,1100
2024-01-10,5.341000,5.341000,5.341000,5.341000,5.341000,300
2024-01-11,5.400000,5.400000,5.280000,5.280000,5.280000,3900
2024-01-12,5.450000,5.450000,5.450000,5.450000,5.450000,1500
2024-01-16,5.280000,5.280000,5.280000,5.280000,5.280000,600
2024-01-17,5.280000,5.280000,5.280000,5.280000,5.280000,400
2024-01-18,5.280000,5.360000,5.280000,5.280000,5.280000,800
2024-01-19,5.390000,5.500000,5.280000,5.300000,5.300000,3600
2024-01-22,5.352000,5.352000,5.010000,5.010000,5.010000,3300
2024-01-23,5.371000,5.510000,5.200000,5.200000,5.200000,4000
2024-01-24,5.250000,5.540000,5.150000,5.170000,5.170000,2300
2024-01-25,5.510000,5.510000,5.490000,5.500000,5.500000,6400
2024-01-26,6.510000,6.829000,5.250000,5.250000,5.250000,24000
2024-01-29,5.360000,5.360000,5.224000,5.260000,5.260000,6500
2024-01-30,5.260000,5.303000,5.234000,5.260000,5.260000,4700
2024-01-31,5.343000,5.343000,5.260000,5.340000,5.340000,2200
2024-02-01,5.260000,5.320000,5.260000,5.320000,5.320000,2400
2024-02-02,5.230000,5.320000,5.040000,5.060000,5.060000,19600
2024-02-05,5.230000,5.299000,5.220000,5.299000,5.299000,1900
2024-02-06,5.200000,5.230000,5.020000,5.020000,5.020000,3800
2024-02-07,5.020000,5.280000,5.020000,5.280000,5.280000,500
2024-02-08,5.150000,5.150000,5.125000,5.140000,5.140000,1800
2024-02-09,5.150000,5.150000,5.100000,5.100000,5.100000,800
2024-02-12,5.100000,5.100000,5.100000,5.100000,5.100000,0
2024-02-13,5.370000,5.370000,4.930000,4.960000,4.960000,4300
2024-02-14,5.050000,5.075000,5.050000,5.055000,5.055000,600
2024-02-15,5.060000,5.190000,5.060000,5.190000,5.190000,1500
2024-02-16,5.190000,5.190000,5.190000,5.190000,5.190000,0
2024-02-20,4.590000,4.740000,3.970000,4.100000,4.100000,3200
2024-02-21,4.500000,4.500000,4.500000,4.500000,4.500000,800
2024-02-22,4.500000,4.500000,4.500000,4.500000,4.500000,600
2024-02-23,4.570000,4.570000,4.570000,4.570000,4.570000,600
2024-02-26,4.570000,4.570000,4.570000,4.570000,4.570000,200
2024-02-27,4.570000,4.570000,4.570000,4.570000,4.570000,800
2024-02-28,4.570000,4.570000,4.570000,4.570000,4.570000,500
2024-02-29,4.500000,4.850000,4.260000,4.330000,4.330000,16100
2024-03-01,4.620000,4.720000,4.560000,4.630000,4.630000,14800
2024-03-04,4.670000,5.200000,4.670000,5.200000,5.200000,10000
2024-03-05,4.995000,5.470000,4.995000,5.470000,5.470000,24500
2024-03-06,5.170000,5.499000,5.120000,5.499000,5.499000,41900
2024-03-07,5.441000,5.441000,5.175000,5.380000,5.380000,29100
2024-03-08,5.540000,5.550000,5.340000,5.340000,5.340000,24400
