Date,Open,High,Low,Close,Adj Close,Volume
2023-11-03,9.500000,10.340000,9.000000,10.050000,10.050000,1144400
2023-11-06,10.000000,10.850000,9.670000,10.500000,10.500000,295300
2023-11-07,10.500000,10.780000,10.300000,10.460000,10.460000,123200
2023-11-08,10.700000,10.700000,9.320000,10.640000,10.640000,249800
2023-11-09,10.810000,11.000000,10.050000,10.850000,10.850000,176400
2023-11-10,10.450000,11.149000,10.450000,10.780000,10.780000,151600
2023-11-13,10.980000,11.100000,9.380000,10.520000,10.520000,153100
2023-11-14,10.800000,10.845000,9.800000,10.550000,10.550000,131900
2023-11-15,10.470000,11.100000,10.470000,11.010000,11.010000,123200
2023-11-16,11.090000,11.185000,10.739000,11.090000,11.090000,89100
2023-11-17,10.900000,11.155000,10.550000,11.020000,11.020000,17100
2023-11-20,11.105000,12.585000,11.010000,11.340000,11.340000,98700
2023-11-21,11.340000,12.200000,10.990000,11.010000,11.010000,174000
2023-11-22,10.840000,11.250000,10.510000,10.900000,10.900000,63500
2023-11-24,10.710000,11.425000,10.710000,11.300000,11.300000,13500
2023-11-27,11.400000,12.020000,10.870000,11.000000,11.000000,50400
2023-11-28,11.510000,12.980000,11.360000,11.940000,11.940000,154000
2023-11-29,12.030000,13.125000,12.000000,12.500000,12.500000,81000
2023-11-30,12.990000,13.390000,12.660000,12.720000,12.720000,159700
2023-12-01,13.390000,16.000000,13.110000,15.350000,15.350000,230500
2023-12-04,16.270000,17.716000,14.790000,15.770000,15.770000,206400
2023-12-05,15.680000,16.000000,14.750000,15.930000,15.930000,162700
2023-12-06,15.860000,15.930000,13.501000,13.960000,13.960000,94000
2023-12-07,14.050000,14.850000,13.000000,13.000000,13.000000,59800
2023-12-08,12.950000,12.950000,11.260000,11.590000,11.590000,69300
2023-12-11,11.000000,11.000000,10.000000,10.090000,10.090000,73100
2023-12-12,10.590000,12.330000,10.200000,11.610000,11.610000,62700
2023-12-13,11.610000,14.380000,11.610000,11.930000,11.930000,80800
2023-12-14,12.160000,12.930000,11.130000,11.500000,11.500000,118900
2023-12-15,11.640000,13.270000,11.220000,12.510000,12.510000,597000
2023-12-18,12.500000,14.490000,12.500000,13.600000,13.600000,104900
2023-12-19,14.340000,14.535000,13.225000,13.660000,13.660000,101400
2023-12-20,14.060000,14.060000,13.340000,13.890000,13.890000,49900
2023-12-21,13.530000,16.000000,13.530000,14.660000,14.660000,104300
2023-12-22,14.340000,15.790000,14.190000,15.550000,15.550000,108700
2023-12-26,15.300000,15.860000,14.178000,15.770000,15.770000,203200
2023-12-27,15.740000,17.049999,15.550000,15.910000,15.910000,71800
2023-12-28,15.710000,16.080000,14.490000,14.550000,14.550000,68600
2023-12-29,14.070000,14.570000,12.760000,13.420000,13.420000,63600
2024-01-02,13.010000,15.590000,12.208000,14.830000,14.830000,130900
2024-01-03,14.500000,15.630000,13.590000,14.500000,14.500000,41300
2024-01-04,14.440000,15.500000,13.800000,14.680000,14.680000,47400
2024-01-05,14.250000,15.180000,13.370000,14.480000,14.480000,67500
2024-01-08,14.530000,15.650000,14.390000,15.400000,15.400000,42500
2024-01-09,15.000000,15.630000,14.915000,15.340000,15.340000,47900
2024-01-10,15.590000,15.600000,13.750000,13.750000,13.750000,47000
2024-01-11,14.400000,15.000000,13.359000,14.780000,14.780000,59700
2024-01-12,15.050000,16.600000,14.870000,15.610000,15.610000,118600
2024-01-16,15.300000,16.370001,15.210000,16.150000,16.150000,127900
2024-01-17,15.760000,17.590000,15.760000,17.330000,17.330000,89800
2024-01-18,19.570000,22.330000,14.010000,15.070000,15.070000,429800
2024-01-19,15.090000,16.500000,14.310000,16.330000,16.330000,135800
2024-01-22,16.020000,17.785000,16.020000,16.850000,16.850000,104000
2024-01-23,17.395000,17.490000,16.160000,17.150000,17.150000,88500
2024-01-24,16.600000,16.969999,16.405001,16.549999,16.549999,37600
2024-01-25,17.000000,17.000000,16.200001,16.700001,16.700001,27200
2024-01-26,17.000000,17.010000,16.090000,16.510000,16.510000,90400
2024-01-29,16.059999,17.340000,15.650000,16.820000,16.820000,111300
2024-01-30,17.360001,17.790001,16.562000,16.830000,16.830000,43300
2024-01-31,16.790001,17.563000,16.400000,17.139999,17.139999,109200
2024-02-01,16.930000,17.549999,16.620001,16.809999,16.809999,77200
