Date,Open,High,Low,Close,Adj Close,Volume
2007-03-14,7.460000,8.300000,7.150000,7.460000,7.460000,45900
2007-03-15,7.470000,7.600000,7.440000,7.470000,7.470000,15800
2007-03-16,7.770000,7.880000,7.670000,7.770000,7.770000,44800
2007-03-19,7.800000,8.010000,7.710000,7.800000,7.800000,16400
2007-03-20,7.880000,8.100000,7.870000,7.880000,7.880000,106300
2007-03-21,7.930000,7.940000,7.840000,7.930000,7.930000,26100
2007-03-22,8.140000,8.140000,7.850000,8.140000,8.140000,13900
2007-03-23,8.140000,8.250000,8.010000,8.200000,8.200000,25600
2007-03-26,8.100000,8.220000,7.960000,8.100000,8.100000,13300
2007-03-27,7.850000,8.080000,7.790000,7.850000,7.850000,86000
2007-03-28,7.900000,7.970000,7.800000,7.900000,7.900000,12200
2007-03-29,7.930000,7.960000,7.890000,7.930000,7.930000,6300
2007-03-30,7.970000,8.040000,7.910000,7.970000,7.970000,11600
2007-04-02,7.820000,8.010000,7.820000,7.820000,7.820000,3300
2007-04-03,7.360000,7.750000,6.930000,7.360000,7.360000,76400
2007-04-04,7.200000,7.330000,7.130000,7.200000,7.200000,45800
2007-04-05,7.360000,7.360000,7.040000,7.360000,7.360000,10800
2007-04-09,7.270000,7.300000,7.180000,7.270000,7.270000,8700
2007-04-10,7.400000,7.550000,7.090000,7.400000,7.400000,65400
2007-04-11,7.200000,7.570000,7.200000,7.200000,7.200000,14700
2007-04-12,7.440000,7.440000,7.310000,7.440000,7.440000,4700
2007-04-13,7.010000,7.450000,7.000000,7.010000,7.010000,26300
2007-04-16,7.110000,7.110000,6.850000,7.110000,7.110000,49900
2007-04-17,7.250000,7.250000,7.020000,7.250000,7.250000,32400
2007-04-18,7.290000,7.330000,7.230000,7.290000,7.290000,3600
2007-04-19,7.260000,7.260000,7.020000,7.260000,7.260000,2100
2007-04-20,8.160000,8.160000,7.320000,8.160000,8.160000,73200
2007-04-23,8.140000,8.280000,7.880000,8.140000,8.140000,18800
2007-04-24,8.390000,8.510000,8.250000,8.390000,8.390000,27600
2007-04-25,8.650000,8.650000,8.480000,8.650000,8.650000,14500
2007-04-26,8.550000,8.610000,8.290000,8.550000,8.550000,7200
2007-04-27,8.420000,8.600000,8.420000,8.420000,8.420000,86800
2007-04-30,8.210000,8.350000,7.870000,8.210000,8.210000,8300
2007-05-01,8.190000,8.340000,8.130000,8.190000,8.190000,14000
2007-05-02,9.140000,9.180000,8.460000,9.140000,9.140000,24400
2007-05-03,9.460000,9.520000,9.220000,9.460000,9.460000,17300
2007-05-04,9.640000,9.830000,9.570000,9.640000,9.640000,26300
2007-05-07,9.790000,9.790000,9.510000,9.790000,9.790000,20300
2007-05-08,9.770000,9.890000,9.680000,9.770000,9.770000,41900
2007-05-09,10.000000,10.000000,9.630000,10.000000,10.000000,14200
2007-05-10,10.020000,10.320000,9.760000,10.020000,10.020000,44300
2007-05-11,10.360000,10.360000,9.890000,10.360000,10.360000,18500
2007-05-14,10.280000,10.310000,10.020000,10.280000,10.280000,8500
2007-05-15,10.170000,10.340000,10.050000,10.170000,10.170000,17800
2007-05-16,10.270000,10.270000,9.760000,10.270000,10.270000,19600
2007-05-17,10.250000,10.250000,9.810000,10.250000,10.250000,9200
2007-05-18,11.370000,11.400000,10.250000,11.370000,11.370000,39200
2007-05-21,11.370000,11.370000,11.370000,11.370000,11.370000,0
2007-05-22,11.240000,11.310000,10.460000,11.240000,11.240000,65700
2007-05-23,10.900000,11.310000,10.860000,10.900000,10.900000,21500
2007-05-24,9.750000,10.190000,9.310000,9.750000,9.750000,64200
2007-05-25,9.920000,10.100000,9.700000,9.920000,9.920000,52600
2007-05-29,9.800000,9.990000,9.800000,9.800000,9.800000,49900
2007-05-30,9.720000,9.800000,9.510000,9.720000,9.720000,16800
2007-05-31,9.800000,9.840000,9.550000,9.800000,9.800000,46900
2007-06-01,9.780000,9.930000,9.620000,9.780000,9.780000,18800
2007-06-04,9.980000,9.980000,9.670000,9.980000,9.980000,54100
2007-06-05,10.500000,10.500000,9.940000,10.500000,10.500000,18800
2007-06-06,10.450000,10.500000,10.100000,10.450000,10.450000,26000
2007-06-07,10.510000,10.560000,10.120000,10.510000,10.510000,6000
2007-06-08,9.860000,9.880000,9.490000,9.860000,9.860000,15500
2007-06-11,10.020000,10.250000,9.910000,10.020000,10.020000,10600
2007-06-12,9.750000,9.880000,9.570000,9.750000,9.750000,39700
2007-06-13,9.650000,9.820000,9.580000,9.650000,9.650000,14400
2007-06-14,9.980000,9.980000,9.590000,9.980000,9.980000,47900
2007-06-15,9.880000,9.940000,9.650000,9.880000,9.880000,10800
2007-06-18,9.910000,9.910000,9.730000,9.910000,9.910000,38700
2007-06-19,10.980000,11.000000,9.970000,10.980000,10.980000,21600
2007-06-20,11.530000,11.710000,11.120000,11.530000,11.530000,43200
2007-06-21,11.210000,11.210000,11.130000,11.210000,11.210000,3100
2007-06-22,11.530000,11.530000,11.210000,11.530000,11.530000,19900
2007-06-25,11.230000,11.390000,11.230000,11.230000,11.230000,3600
2007-06-26,10.640000,11.050000,10.640000,10.640000,10.640000,18700
2007-06-27,10.610000,10.930000,10.500000,10.610000,10.610000,15800
2007-06-28,10.810000,10.900000,10.700000,10.810000,10.810000,11100
2007-06-29,10.970000,10.970000,10.850000,10.970000,10.970000,11300
2007-07-02,10.970000,10.970000,10.970000,10.970000,10.970000,0
2007-07-03,11.000000,11.050000,10.850000,11.000000,11.000000,18100
2007-07-05,11.250000,11.250000,11.030000,11.250000,11.250000,2700
2007-07-06,11.000000,11.510000,11.000000,11.000000,11.000000,24500
2007-07-09,11.000000,11.380000,11.000000,11.370000,11.370000,60000
2007-07-10,11.500000,13.180000,11.500000,13.020000,13.020000,106900
2007-07-11,13.090000,13.100000,12.750000,12.760000,12.760000,54600
