Date,Open,High,Low,Close,Adj Close,Volume
1990-01-02,0.000000,6.312500,6.125000,6.125000,3.835809,28000
1990-01-03,0.000000,6.312500,6.125000,6.312500,3.953230,19200
1990-01-04,0.000000,6.312500,6.125000,6.125000,3.835809,13600
1990-01-05,0.000000,6.125000,6.125000,6.125000,3.835809,800
1990-01-08,0.000000,6.312500,6.125000,6.125000,3.835809,14400
1990-01-09,0.000000,6.312500,6.125000,6.250000,3.914088,107200
1990-01-10,0.000000,6.312500,6.187500,6.187500,3.874949,54400
1990-01-11,0.000000,6.312500,6.187500,6.187500,3.874949,12800
1990-01-12,0.000000,6.250000,6.187500,6.250000,3.914088,46400
1990-01-15,0.000000,6.250000,6.125000,6.125000,3.835809,13600
1990-01-16,0.000000,6.250000,6.125000,6.187500,3.874949,116000
1990-01-17,0.000000,6.312500,6.125000,6.281250,3.933657,72800
1990-01-18,0.000000,6.312500,6.125000,6.187500,3.874949,29600
1990-01-19,0.000000,6.312500,6.125000,6.312500,3.953230,16000
1990-01-22,0.000000,6.312500,6.125000,6.250000,3.914088,75200
1990-01-23,0.000000,6.375000,6.187500,6.375000,3.992368,54400
1990-01-24,0.000000,6.375000,6.250000,6.375000,3.992368,131200
1990-01-25,0.000000,6.375000,6.250000,6.250000,3.914088,63200
1990-01-26,0.000000,6.375000,6.281250,6.375000,3.992368,119200
1990-01-29,0.000000,6.437500,6.312500,6.390625,4.002154,120000
1990-01-30,0.000000,6.375000,6.312500,6.312500,3.953230,116800
1990-01-31,0.000000,6.406250,6.312500,6.406250,4.011940,1040800
1990-02-01,0.000000,6.500000,6.312500,6.312500,3.953230,25600
1990-02-02,0.000000,6.500000,6.312500,6.500000,4.070652,40800
1990-02-05,0.000000,6.406250,6.343750,6.406250,4.011940,12800
1990-02-06,0.000000,6.468750,6.406250,6.468750,4.051082,98400
1990-02-07,0.000000,6.437500,6.406250,6.406250,4.011940,57600
1990-02-08,0.000000,6.562500,6.406250,6.437500,4.031514,231200
1990-02-09,0.000000,6.500000,6.375000,6.375000,3.992368,52800
1990-02-12,0.000000,6.500000,6.375000,6.500000,4.070652,114400
1990-02-13,0.000000,6.406250,6.375000,6.406250,4.011940,87200
1990-02-14,0.000000,6.500000,6.375000,6.500000,4.070652,18400
1990-02-15,0.000000,6.500000,6.312500,6.312500,3.953230,13600
1990-02-16,0.000000,6.500000,6.375000,6.500000,4.085213,36800
1990-02-20,0.000000,6.500000,6.312500,6.312500,3.967369,12800
1990-02-21,0.000000,6.375000,6.250000,6.250000,3.928089,100800
1990-02-22,0.000000,6.375000,6.250000,6.375000,4.006649,25600
1990-02-23,0.000000,6.218750,6.000000,6.125000,3.849528,930400
1990-02-26,0.000000,6.062500,5.875000,6.062500,3.810248,164800
1990-02-27,0.000000,6.000000,5.875000,5.906250,3.712044,9600
1990-02-28,0.000000,6.000000,6.000000,6.000000,3.770965,15200
1990-03-01,0.000000,6.000000,5.906250,6.000000,3.770965,2400
1990-03-02,0.000000,6.000000,5.906250,5.906250,3.712044,24800
1990-03-05,0.000000,6.000000,5.906250,5.906250,3.712044,32000
1990-03-06,0.000000,6.000000,5.906250,6.000000,3.770965,116000
1990-03-07,0.000000,6.015625,5.968750,6.000000,3.770965,40800
1990-03-08,0.000000,6.062500,5.937500,5.937500,3.731685,41600
1990-03-09,0.000000,6.062500,5.968750,6.062500,3.810248,14400
1990-03-12,0.000000,6.187500,5.968750,6.125000,3.849528,199200
1990-03-13,0.000000,6.250000,6.000000,6.062500,3.810248,10400
1990-03-14,0.000000,6.250000,6.062500,6.062500,3.810248,15200
1990-03-15,0.000000,6.093750,6.093750,6.093750,3.829886,4000
1990-03-16,0.000000,6.250000,6.250000,6.250000,3.928089,7200
1990-03-19,0.000000,6.250000,6.125000,6.125000,3.849528,52800
1990-03-20,0.000000,6.250000,6.125000,6.250000,3.928089,462400
1990-03-21,0.000000,6.375000,6.187500,6.187500,3.888808,48800
1990-03-22,0.000000,6.218750,6.187500,6.218750,3.908448,102400
1990-03-23,0.000000,6.375000,6.187500,6.375000,4.006649,884800
1990-03-26,6.187500,6.187500,6.187500,6.187500,3.888808,2400
1990-03-27,6.312500,6.312500,6.187500,6.312500,3.967369,4800
1990-03-28,6.312500,6.312500,6.187500,6.312500,3.967369,32800
1990-03-29,6.218750,6.218750,6.218750,6.218750,3.908448,800
1990-03-30,6.250000,6.375000,6.250000,6.312500,3.967369,118400
1990-04-02,6.250000,6.250000,6.187500,6.250000,3.928089,55200
1990-04-03,6.281250,6.312500,6.187500,6.187500,3.888808,2400
1990-04-04,6.187500,6.234375,6.125000,6.187500,3.888808,207200
1990-04-05,6.125000,6.125000,6.062500,6.062500,3.810248,103200
1990-04-06,6.062500,6.218750,6.062500,6.218750,3.908448,20000
1990-04-09,6.062500,6.187500,6.062500,6.187500,3.888808,28000
1990-04-10,6.062500,6.187500,6.062500,6.187500,3.888808,4000
1990-04-11,6.062500,6.062500,6.062500,6.062500,3.810248,15200
1990-04-12,6.062500,6.156250,6.062500,6.093750,3.829886,118400
1990-04-16,6.062500,6.187500,6.062500,6.062500,3.810248,11200
1990-04-17,6.062500,6.062500,6.062500,6.062500,3.810248,10400
1990-04-18,6.187500,6.187500,6.000000,6.000000,3.770965,59200
1990-04-19,6.062500,6.062500,5.937500,5.937500,3.731685,56000
1990-04-20,5.937500,6.000000,5.937500,6.000000,3.770965,418400
1990-04-23,5.937500,5.937500,5.937500,5.937500,3.731685,12000
1990-04-24,5.937500,6.062500,5.937500,5.937500,3.731685,25600
1990-04-25,5.937500,6.062500,5.937500,6.000000,3.770965,51200
1990-04-26,5.937500,6.000000,5.937500,5.937500,3.731685,46400
1990-04-27,5.937500,5.937500,5.937500,5.937500,3.731685,2400
1990-04-30,5.812500,5.937500,5.812500,5.921875,3.721866,14400
1990-05-01,5.812500,5.937500,5.812500,5.937500,3.731685,80800
1990-05-02,5.875000,6.000000,5.875000,5.937500,3.731685,458400
1990-05-03,5.875000,5.937500,5.875000,5.875000,3.692405,23200
1990-05-04,6.000000,6.000000,5.875000,5.937500,3.731685,33600
1990-05-07,5.875000,5.937500,5.812500,5.937500,3.731685,10400
1990-05-08,5.875000,6.000000,5.875000,6.000000,3.770965,5600
1990-05-09,6.000000,6.000000,5.875000,5.890625,3.702225,27200
1990-05-10,5.875000,5.937500,5.812500,5.937500,3.731685,104000
1990-05-11,6.000000,6.000000,5.843750,6.000000,3.770965,500000
1990-05-14,5.875000,6.000000,5.875000,5.937500,3.731685,16000
1990-05-15,5.875000,5.875000,5.875000,5.875000,3.692405,2400
1990-05-16,5.875000,5.968750,5.812500,5.843750,3.672764,150400
1990-05-17,5.765625,5.828125,5.750000,5.750000,3.613842,163200
1990-05-18,5.750000,5.875000,5.687500,5.875000,3.692405,137600
1990-05-21,5.687500,5.875000,5.687500,5.750000,3.613842,208000
