Date,Open,High,Low,Close,Adj Close,Volume
2020-05-20,3.000000,3.000000,1.150000,1.290000,1.290000,111800
2020-05-21,1.450000,1.800000,1.250000,1.340000,1.340000,310600
2020-05-22,1.500000,1.670000,1.250000,1.410000,1.410000,638300
2020-05-26,1.450000,1.460000,1.380000,1.450000,1.450000,360500
2020-05-27,1.450000,1.670000,1.410000,1.670000,1.670000,417500
2020-05-28,1.650000,1.690000,1.505000,1.670000,1.670000,320000
2020-05-29,1.680000,1.710000,1.680000,1.710000,1.710000,77500
2020-06-01,1.720000,1.800000,1.710000,1.780000,1.780000,157500
2020-06-02,1.800000,1.880000,1.800000,1.860000,1.860000,221800
2020-06-03,1.880000,1.940000,1.870000,1.940000,1.940000,143800
2020-06-04,1.950000,1.990000,1.940000,1.970000,1.970000,117800
2020-06-05,1.990000,2.020000,1.980000,2.020000,2.020000,111700
2020-06-08,2.025000,2.030000,2.000000,2.030000,2.030000,32200
2020-06-09,2.040000,2.040000,2.000000,2.020000,2.020000,36000
2020-06-10,2.030000,2.030000,2.000000,2.010000,2.010000,24700
2020-06-11,2.020000,2.040000,1.865000,1.970000,1.970000,19700
2020-06-12,2.040000,2.040000,1.820000,2.000000,2.000000,76000
2020-06-15,2.190000,2.190000,1.900000,2.040000,2.040000,24400
2020-06-16,2.020000,2.070000,2.020000,2.060000,2.060000,15600
2020-06-17,2.065000,2.110000,2.060000,2.090000,2.090000,34700
2020-06-18,2.100000,2.150000,2.100000,2.120000,2.120000,54500
2020-06-19,2.140000,2.150000,2.120000,2.145000,2.145000,62100
2020-06-22,2.160000,2.165000,2.145000,2.165000,2.165000,44200
2020-06-23,2.180000,2.190000,2.160000,2.180000,2.180000,66900
2020-06-24,2.190000,2.200000,2.150000,2.200000,2.200000,57800
2020-06-25,2.210000,2.220000,2.200000,2.200000,2.200000,28800
2020-06-26,2.220000,2.230000,2.210000,2.230000,2.230000,34600
2020-06-29,2.250000,2.270000,2.240000,2.260000,2.260000,44000
2020-06-30,2.280000,2.280000,2.260000,2.270000,2.270000,28000
2020-07-01,2.290000,2.300000,2.275000,2.285000,2.285000,36200
2020-07-02,2.290000,2.330000,2.280000,2.330000,2.330000,40300
2020-07-06,2.310000,2.370000,2.310000,2.350000,2.350000,66100
2020-07-07,2.390000,2.390000,2.355000,2.380000,2.380000,76400
2020-07-08,2.390000,2.400000,2.380000,2.395000,2.395000,53900
2020-07-09,2.390000,2.450000,2.390000,2.435000,2.435000,85400
2020-07-10,2.447000,2.455000,2.440000,2.450000,2.450000,31000
2020-07-13,2.460000,2.460000,2.350000,2.440000,2.440000,48200
2020-07-14,2.440000,2.490000,2.370000,2.460000,2.460000,89200
2020-07-15,2.470000,2.490000,2.446000,2.485000,2.485000,93000
2020-07-16,2.480000,2.520000,2.470000,2.520000,2.520000,53700
2020-07-17,2.520000,2.550000,2.520000,2.550000,2.550000,81200
2020-07-20,2.560000,2.580000,2.555000,2.570000,2.570000,49100
2020-07-21,2.580000,2.610000,2.580000,2.600000,2.600000,97400
2020-07-22,2.600000,2.620000,2.600000,2.620000,2.620000,54400
2020-07-23,1.950000,2.630000,1.950000,2.620000,2.620000,70200
2020-07-24,2.630000,2.660000,2.620000,2.660000,2.660000,29800
2020-07-27,2.670000,2.700000,2.650000,2.700000,2.700000,29500
2020-07-28,2.700000,2.740000,2.700000,2.730000,2.730000,92100
2020-07-29,2.730000,2.770000,2.340000,2.765000,2.765000,113600
2020-07-30,2.760000,2.800000,2.080000,2.780000,2.780000,48800
2020-07-31,2.800000,2.810000,2.790000,2.800000,2.800000,36800
2020-08-03,2.800000,2.820000,2.800000,2.820000,2.820000,35000
2020-08-04,2.830000,2.850000,2.830000,2.850000,2.850000,49200
2020-08-05,2.850000,2.870000,2.840000,2.860000,2.860000,23400
2020-08-06,2.890000,2.890000,2.860000,2.880000,2.880000,16900
2020-08-07,2.890000,2.900000,2.875000,2.890000,2.890000,14700
2020-08-10,2.900000,2.920000,2.880000,2.920000,2.920000,16100
2020-08-11,2.920000,2.940000,2.915000,2.940000,2.940000,31600
2020-08-12,2.950000,3.060000,2.940000,3.060000,3.060000,230200
2020-08-13,3.070000,3.180000,3.055000,3.180000,3.180000,385300
2020-08-14,3.180000,3.230000,3.180000,3.230000,3.230000,154800
2020-08-17,3.240000,3.250000,3.220000,3.250000,3.250000,61800
2020-08-18,3.260000,3.285000,3.250000,3.280000,3.280000,91200
2020-08-19,3.300000,3.300000,3.220000,3.295000,3.295000,85800
2020-08-20,3.340000,3.340000,3.290000,3.310000,3.310000,54300
2020-08-21,3.310000,3.750000,3.310000,3.360000,3.360000,109100
2020-08-24,3.400000,3.400000,3.360000,3.400000,3.400000,86900
2020-08-25,3.440000,3.440000,3.400000,3.440000,3.440000,91300
2020-08-26,3.450000,3.670000,3.230000,3.480000,3.480000,115800
2020-08-27,3.470000,3.500000,3.410000,3.490000,3.490000,97600
2020-08-28,3.470000,3.490000,3.390000,3.475000,3.475000,89900
2020-08-31,3.470000,3.490000,3.180000,3.490000,3.490000,141200
2020-09-01,3.490000,3.610000,3.490000,3.605000,3.605000,110500
2020-09-02,3.610000,3.680000,3.600000,3.650000,3.650000,108800
2020-09-03,3.670000,3.720000,3.650000,3.720000,3.720000,140900
2020-09-04,3.720000,3.890000,3.720000,3.771000,3.771000,264300
2020-09-08,3.770000,3.810000,3.750000,3.780000,3.780000,177700
2020-09-09,3.890000,3.890000,3.700000,3.830000,3.830000,87300
2020-09-10,3.840000,3.860000,3.750000,3.850000,3.850000,71300
2020-09-11,3.860000,3.880000,3.860000,3.865000,3.865000,49100
2020-09-14,3.880000,3.880000,3.500000,3.820000,3.820000,126400
2020-09-15,3.840000,3.860000,3.830000,3.860000,3.860000,82100
2020-09-16,3.850000,3.900000,3.760000,3.900000,3.900000,89200
2020-09-17,3.700000,3.895000,3.610000,3.850000,3.850000,111400
2020-09-18,3.860000,4.060000,3.800000,3.990000,3.990000,93100
2020-09-21,4.080000,4.080000,3.940000,3.950000,3.950000,22000
2020-09-22,3.990000,4.000000,3.860000,4.000000,4.000000,28200
2020-09-23,4.010000,4.050000,3.800000,4.040000,4.040000,53700
2020-09-24,4.040000,4.040000,3.650000,3.890000,3.890000,94800
2020-09-25,4.000000,4.000000,3.550000,3.900000,3.900000,84600
2020-09-28,3.910000,3.965000,3.590000,3.750000,3.750000,71100
2020-09-29,3.800000,4.100000,3.775000,3.890000,3.890000,135900
2020-09-30,3.930000,4.040000,3.880000,4.020000,4.020000,55300
2020-10-01,4.015000,4.060000,4.000000,4.040000,4.040000,56400
2020-10-02,4.040000,4.040000,3.640000,3.860000,3.860000,95000
2020-10-05,3.880000,3.890000,3.670000,3.740000,3.740000,54100
2020-10-06,3.690000,3.820000,3.600000,3.745000,3.745000,50000
2020-10-07,3.750000,3.840000,3.650000,3.780000,3.780000,48600
2020-10-08,3.830000,3.830000,3.600000,3.775000,3.775000,56200
2020-10-09,3.770000,3.900000,3.770000,3.880000,3.880000,103100
2020-10-12,3.860000,3.900000,3.710000,3.780000,3.780000,43500
2020-10-13,3.790000,3.900000,3.750000,3.830000,3.830000,37300
2020-10-14,3.850000,3.870000,3.720000,3.800000,3.800000,42300
2020-10-15,3.790000,3.840000,3.580000,3.670000,3.670000,84100
2020-10-16,3.670000,3.900000,3.650000,3.850000,3.850000,71700
2020-10-19,3.850000,3.950000,3.850000,3.930000,3.930000,48100
2020-10-20,3.950000,3.965000,3.870000,3.960000,3.960000,37900
2020-10-21,3.960000,4.010000,3.920000,4.000000,4.000000,38100
2020-10-22,4.000000,4.050000,3.960000,4.040000,4.040000,37000
2020-10-23,4.040000,4.040000,3.955000,4.040000,4.040000,24700
2020-10-26,4.040000,4.040000,3.900000,4.020000,4.020000,35600
2020-10-27,4.000000,4.050000,3.900000,4.030000,4.030000,47800
2020-10-28,4.050000,4.050000,3.990000,4.030000,4.030000,69400
2020-10-29,4.030000,4.030000,3.810000,4.010000,4.010000,31000
2020-10-30,4.000000,4.010000,3.660000,3.845000,3.845000,44300
2020-11-02,3.980000,3.980000,3.700000,3.700000,3.700000,59300
2020-11-03,3.700000,3.780000,3.470000,3.685000,3.685000,105800
2020-11-04,3.700000,3.850000,3.700000,3.790000,3.790000,44400
2020-11-05,3.800000,3.810000,3.590000,3.700000,3.700000,24500
2020-11-06,3.710000,3.850000,3.705000,3.790000,3.790000,14800
2020-11-09,3.770000,3.890000,3.690000,3.860000,3.860000,37400
2020-11-10,3.820000,3.910000,3.700000,3.790000,3.790000,57200
2020-11-11,3.810000,3.910000,3.810000,3.880000,3.880000,38200
2020-11-12,3.890000,3.910000,3.720000,3.870000,3.870000,26200
2020-11-13,3.880000,3.890000,3.760000,3.890000,3.890000,14400
2020-11-16,3.760000,3.855000,3.720000,3.800000,3.800000,8200
2020-11-17,3.810000,3.880000,3.600000,3.700000,3.700000,19800
2020-11-18,3.730000,3.780000,3.650000,3.705000,3.705000,28900
2020-11-19,3.670000,3.780000,3.530000,3.580000,3.580000,43300
2020-11-20,3.645000,3.740000,3.480000,3.630000,3.630000,42700
2020-11-23,3.640000,3.715000,3.470000,3.680000,3.680000,16800
2020-11-24,3.680000,3.700000,3.550000,3.620000,3.620000,21900
2020-11-25,3.700000,3.700000,3.200000,3.410000,3.410000,61000
2020-11-27,3.400000,3.420000,3.000000,3.170000,3.170000,68600
2020-11-30,3.170000,3.600000,3.170000,3.600000,3.600000,53600
