Date,Open,High,Low,Close,Adj Close,Volume
2021-07-06,9.850000,9.850000,9.770000,9.770000,9.770000,800
2021-07-07,9.770000,9.770000,9.650000,9.650000,9.650000,32000
2021-07-08,9.655000,9.660000,9.600000,9.620000,9.620000,110100
2021-07-09,9.620000,9.620000,9.590000,9.620000,9.620000,27300
2021-07-12,9.650000,9.650000,9.600000,9.620000,9.620000,21600
2021-07-13,9.640000,9.640000,9.620000,9.620000,9.620000,32500
2021-07-14,9.630000,9.630000,9.600000,9.620000,9.620000,4600
2021-07-15,9.620000,9.620000,9.610000,9.610000,9.610000,12400
2021-07-16,9.610000,9.620000,9.610000,9.610000,9.610000,10000
2021-07-19,9.610000,9.610000,9.600000,9.610000,9.610000,5300
2021-07-20,9.620000,9.620000,9.580000,9.620000,9.620000,29600
2021-07-21,9.620000,9.630000,9.620000,9.630000,9.630000,700
2021-07-22,9.610000,9.680000,9.610000,9.630000,9.630000,152000
2021-07-23,9.670000,9.670000,9.670000,9.670000,9.670000,400
2021-07-26,9.900000,9.900000,9.620000,9.620000,9.620000,1400
2021-07-27,9.650000,9.650000,9.650000,9.650000,9.650000,5900
2021-07-28,9.680000,9.680000,9.600000,9.650000,9.650000,13700
2021-07-29,9.650000,9.659000,9.590000,9.620000,9.620000,2500
2021-07-30,9.590000,9.650000,9.590000,9.650000,9.650000,15200
2021-08-02,9.670000,9.670000,9.630000,9.650000,9.650000,1500
2021-08-03,9.640000,9.670000,9.635000,9.670000,9.670000,7700
2021-08-04,9.670000,9.670000,9.670000,9.670000,9.670000,0
2021-08-05,9.625000,9.625000,9.625000,9.625000,9.625000,100
2021-08-06,9.625000,9.625000,9.625000,9.625000,9.625000,0
2021-08-09,9.630000,9.640000,9.630000,9.640000,9.640000,500
2021-08-10,9.621000,9.640000,9.621000,9.640000,9.640000,400
2021-08-11,9.640000,9.640000,9.640000,9.640000,9.640000,100
2021-08-12,9.610000,9.640000,9.610000,9.640000,9.640000,500
2021-08-13,9.610000,9.640000,9.610000,9.640000,9.640000,500
2021-08-16,9.630000,9.630000,9.620000,9.630000,9.630000,509000
2021-08-17,9.630000,9.630000,9.630000,9.630000,9.630000,0
2021-08-18,9.630000,9.630000,9.610000,9.630000,9.630000,3600
2021-08-19,9.600000,9.630000,9.600000,9.630000,9.630000,1000
2021-08-20,9.630000,9.630000,9.630000,9.630000,9.630000,0
2021-08-23,9.609000,9.640000,9.600000,9.640000,9.640000,9200
2021-08-24,9.640000,9.640000,9.640000,9.640000,9.640000,0
2021-08-25,9.640000,9.640000,9.640000,9.640000,9.640000,0
2021-08-26,9.600000,9.600000,9.560000,9.590000,9.590000,194900
2021-08-27,9.600000,9.610000,9.600000,9.610000,9.610000,2200
2021-08-30,9.590000,9.610000,9.586000,9.610000,9.610000,2300
2021-08-31,9.620000,9.640000,9.600000,9.640000,9.640000,10400
2021-09-01,9.620000,9.640000,9.620000,9.630000,9.630000,800
2021-09-02,9.600000,9.640000,9.600000,9.640000,9.640000,5600
2021-09-03,9.610000,9.640000,9.610000,9.640000,9.640000,600
2021-09-07,9.630000,9.630000,9.630000,9.630000,9.630000,100
2021-09-08,9.720000,9.900000,9.720000,9.740000,9.740000,298100
2021-09-09,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-09-10,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-09-13,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-09-14,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-09-15,9.754000,9.754000,9.720000,9.750000,9.750000,5800
2021-09-16,9.730000,9.730000,9.720000,9.720000,9.720000,2900
2021-09-17,9.710000,9.710000,9.710000,9.710000,9.710000,200
2021-09-20,9.710000,9.710000,9.710000,9.710000,9.710000,0
2021-09-21,9.630000,9.770000,9.620000,9.770000,9.770000,1900
2021-09-22,9.770000,9.770000,9.770000,9.770000,9.770000,0
2021-09-23,9.675000,9.750000,9.675000,9.740000,9.740000,12900
2021-09-24,9.702000,9.750000,9.700000,9.740000,9.740000,6700
2021-09-27,9.800000,9.800000,9.800000,9.800000,9.800000,200
2021-09-28,9.700000,9.760000,9.700000,9.750000,9.750000,6800
2021-09-29,9.700000,9.740000,9.630000,9.740000,9.740000,15100
2021-09-30,9.760000,9.820000,9.700000,9.820000,9.820000,30200
2021-10-01,9.700000,9.760000,9.680000,9.730000,9.730000,47700
2021-10-04,9.790000,9.790000,9.710000,9.730000,9.730000,1400
2021-10-05,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-10-06,9.700000,9.700000,9.700000,9.700000,9.700000,100
2021-10-07,9.760000,9.760000,9.690000,9.700000,9.700000,8300
2021-10-08,9.710000,9.820000,9.710000,9.810000,9.810000,50200
2021-10-11,9.810000,9.810000,9.810000,9.810000,9.810000,0
2021-10-12,9.720000,9.720000,9.720000,9.720000,9.720000,300
2021-10-13,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-10-14,9.820000,9.820000,9.700000,9.700000,9.700000,300
2021-10-15,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-10-18,9.720000,9.730000,9.720000,9.720000,9.720000,14900
2021-10-19,9.700000,9.730000,9.700000,9.700000,9.700000,4900
2021-10-20,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-10-21,9.800000,9.800000,9.740000,9.740000,9.740000,2000
2021-10-22,9.680000,9.710000,9.680000,9.710000,9.710000,400
2021-10-25,9.707000,9.720000,9.707000,9.720000,9.720000,1600
2021-10-26,9.710000,9.720000,9.700000,9.720000,9.720000,1400
2021-10-27,9.700000,9.720000,9.700000,9.720000,9.720000,600
2021-10-28,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-10-29,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-11-01,9.820000,9.820000,9.770000,9.770000,9.770000,700
2021-11-02,9.770000,9.770000,9.770000,9.770000,9.770000,0
2021-11-03,9.710000,9.750000,9.700000,9.700000,9.700000,3200
2021-11-04,9.700000,9.800000,9.700000,9.760000,9.760000,1200
2021-11-05,9.760000,9.760000,9.760000,9.760000,9.760000,0
2021-11-08,9.789000,9.840000,9.740000,9.780000,9.780000,14100
2021-11-09,9.630000,9.790000,9.630000,9.790000,9.790000,1200
2021-11-10,9.790000,9.790000,9.790000,9.790000,9.790000,0
2021-11-11,9.750000,9.750000,9.750000,9.750000,9.750000,100
2021-11-12,9.750000,9.750000,9.750000,9.750000,9.750000,0
2021-11-15,9.700000,9.750000,9.670000,9.740000,9.740000,189000
2021-11-16,9.740000,9.740000,9.740000,9.740000,9.740000,0
2021-11-17,9.710000,9.730000,9.700000,9.700000,9.700000,800
2021-11-18,9.720000,9.720000,9.720000,9.720000,9.720000,100
2021-11-19,9.700000,9.730000,9.700000,9.730000,9.730000,1900
2021-11-22,9.730000,9.730000,9.730000,9.730000,9.730000,0
2021-11-23,9.830000,9.830000,9.700000,9.720000,9.720000,8100
2021-11-24,9.720000,9.720000,9.720000,9.720000,9.720000,0
2021-11-26,9.750000,9.750000,9.750000,9.750000,9.750000,200
2021-11-29,9.700000,9.740000,9.700000,9.740000,9.740000,400
2021-11-30,9.700000,9.740000,9.690000,9.740000,9.740000,34400
2021-12-01,9.740000,9.740000,9.730000,9.730000,9.730000,1100
2021-12-02,9.710000,9.730000,9.700000,9.720000,9.720000,251500
2021-12-03,9.720000,9.720000,9.700000,9.720000,9.720000,1100
2021-12-06,9.700000,9.720000,9.700000,9.710000,9.710000,24800
2021-12-07,9.710000,9.710000,9.700000,9.700000,9.700000,3900
2021-12-08,9.700000,9.720000,9.700000,9.710000,9.710000,274800
2021-12-09,9.710000,9.710000,9.705000,9.705000,9.705000,14600
2021-12-10,9.700000,9.710000,9.700000,9.705000,9.705000,1700
2021-12-13,9.700000,9.700000,9.700000,9.700000,9.700000,200
2021-12-14,9.700000,9.710000,9.690000,9.710000,9.710000,4200
2021-12-15,9.700000,9.710000,9.695000,9.710000,9.710000,23900
2021-12-16,9.710000,9.710000,9.680000,9.690000,9.690000,27300
2021-12-17,9.690000,9.700000,9.690000,9.700000,9.700000,6400
2021-12-20,9.700000,9.710000,9.700000,9.700000,9.700000,11200
2021-12-21,9.710000,9.720000,9.693000,9.710000,9.710000,9000
2021-12-22,9.720000,9.720000,9.700000,9.700000,9.700000,51100
2021-12-23,9.720000,9.720000,9.700000,9.700000,9.700000,20100
2021-12-27,9.700000,9.720000,9.690000,9.710000,9.710000,10000
2021-12-28,9.720000,9.720000,9.720000,9.720000,9.720000,700
2021-12-29,9.700000,9.700000,9.700000,9.700000,9.700000,200
2021-12-30,9.700000,9.700000,9.700000,9.700000,9.700000,0
2021-12-31,9.680000,9.680000,9.680000,9.680000,9.680000,200
2022-01-03,9.660000,9.660000,9.660000,9.660000,9.660000,600
2022-01-04,9.720000,9.720000,9.710000,9.710000,9.710000,200
2022-01-05,9.720000,9.730000,9.720000,9.730000,9.730000,11700
2022-01-06,9.700000,9.700000,9.700000,9.700000,9.700000,300
2022-01-07,9.700000,9.700000,9.700000,9.700000,9.700000,200
2022-01-10,9.700000,9.700000,9.700000,9.700000,9.700000,100
2022-01-11,9.700000,9.730000,9.690000,9.730000,9.730000,28000
2022-01-12,9.720000,9.730000,9.720000,9.730000,9.730000,15700
2022-01-13,9.720000,9.720000,9.700000,9.700000,9.700000,5600
2022-01-14,9.710000,9.710000,9.690000,9.690000,9.690000,32200
2022-01-18,9.680000,9.680000,9.680000,9.680000,9.680000,200
2022-01-19,9.680000,9.680000,9.680000,9.680000,9.680000,0
2022-01-20,9.680000,9.680000,9.680000,9.680000,9.680000,400
2022-01-21,9.680000,9.680000,9.680000,9.680000,9.680000,56900
2022-01-24,9.670000,9.670000,9.670000,9.670000,9.670000,1800
2022-01-25,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-01-26,9.680000,9.680000,9.650000,9.650000,9.650000,39400
2022-01-27,9.650000,9.650000,9.650000,9.650000,9.650000,200
2022-01-28,9.650000,9.650000,9.650000,9.650000,9.650000,600
2022-01-31,9.650000,9.650000,9.650000,9.650000,9.650000,9700
2022-02-01,9.680000,9.680000,9.655000,9.670000,9.670000,5600
2022-02-02,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-02-03,9.680000,9.680000,9.680000,9.680000,9.680000,1200
2022-02-04,9.673000,9.673000,9.673000,9.673000,9.673000,100
2022-02-07,9.673000,9.673000,9.673000,9.673000,9.673000,0
2022-02-08,9.650000,9.650000,9.650000,9.650000,9.650000,100
2022-02-09,9.650000,9.650000,9.630000,9.632000,9.632000,59800
2022-02-10,9.670000,9.680000,9.650000,9.650000,9.650000,417500
2022-02-11,9.650000,9.650000,9.650000,9.650000,9.650000,0
2022-02-14,9.650000,9.650000,9.650000,9.650000,9.650000,0
2022-02-15,9.650000,9.650000,9.650000,9.650000,9.650000,0
2022-02-16,9.650000,9.660000,9.650000,9.660000,9.660000,1200
2022-02-17,9.660000,9.660000,9.660000,9.660000,9.660000,0
2022-02-18,9.660000,9.660000,9.660000,9.660000,9.660000,0
2022-02-22,9.660000,9.670000,9.660000,9.670000,9.670000,100200
2022-02-23,9.670000,9.670000,9.670000,9.670000,9.670000,0
2022-02-24,9.665000,9.680000,9.665000,9.665000,9.665000,5000
2022-02-25,9.650000,9.650000,9.650000,9.650000,9.650000,400
2022-02-28,9.650000,9.660000,9.650000,9.660000,9.660000,18200
2022-03-01,9.680000,9.710000,9.677000,9.690000,9.690000,148300
2022-03-02,9.685000,9.700000,9.670000,9.700000,9.700000,8300
