Date,Open,High,Low,Close,Adj Close,Volume
2023-01-25,13.700000,13.790000,12.000000,12.520000,12.520000,1165900
2023-01-26,12.500000,13.430000,12.000000,12.560000,12.560000,167400
2023-01-27,12.450000,12.830000,12.300000,12.600000,12.600000,119900
2023-01-30,12.240000,12.565000,12.000000,12.530000,12.530000,55000
2023-01-31,12.400000,12.600000,12.260000,12.600000,12.600000,18800
2023-02-01,12.278000,12.590000,12.278000,12.500000,12.500000,31000
2023-02-02,12.420000,12.545000,12.250000,12.500000,12.500000,29100
2023-02-03,12.300000,12.525000,12.300000,12.360000,12.360000,20800
2023-02-06,12.100000,12.500000,12.060000,12.480000,12.480000,40300
2023-02-07,12.200000,12.450000,12.100000,12.300000,12.300000,29700
2023-02-08,12.200000,12.300000,12.003000,12.090000,12.090000,37800
2023-02-09,12.150000,12.700000,12.107000,12.700000,12.700000,28200
2023-02-10,12.500000,12.500000,12.250000,12.400000,12.400000,9400
2023-02-13,12.300000,12.900000,12.200000,12.700000,12.700000,24900
2023-02-14,12.500000,13.150000,12.320000,13.150000,13.150000,23200
2023-02-15,13.000000,13.050000,12.600000,12.710000,12.710000,11600
2023-02-16,12.570000,13.140000,12.570000,12.800000,12.800000,7300
2023-02-17,12.710000,12.710000,12.280000,12.360000,12.360000,5600
2023-02-21,12.340000,12.350000,12.000000,12.220000,12.220000,10800
2023-02-22,12.250000,13.200000,12.250000,12.390000,12.390000,17600
2023-02-23,12.360000,12.888000,12.360000,12.500000,12.500000,7200
2023-02-24,12.166000,12.328000,12.000000,12.210000,12.210000,11300
2023-02-27,12.200000,13.095000,12.200000,12.450000,12.450000,41600
2023-02-28,12.300000,12.300000,12.200000,12.200000,12.200000,1800
2023-03-01,12.113000,12.500000,12.051000,12.500000,12.500000,2800
2023-03-02,12.205000,12.205000,12.180000,12.180000,12.180000,600
2023-03-03,12.150000,12.850000,11.094000,12.462000,12.462000,24400
2023-03-06,12.462000,12.462000,12.462000,12.462000,12.462000,0
2023-03-07,12.250000,12.250000,11.800000,12.200000,12.200000,7900
2023-03-08,12.190000,12.930000,12.100000,12.720000,12.720000,29200
2023-03-09,12.470000,12.500000,12.260000,12.260000,12.260000,2500
2023-03-10,12.320000,12.320000,11.990000,11.990000,11.990000,3000
2023-03-13,12.000000,12.060000,12.000000,12.020000,12.020000,2900
2023-03-14,12.110000,12.400000,12.000000,12.400000,12.400000,2600
2023-03-15,12.052000,12.320000,12.000000,12.000000,12.000000,600
2023-03-16,12.020000,12.020000,12.020000,12.020000,12.020000,1300
2023-03-17,12.020000,12.020000,12.020000,12.020000,12.020000,0
2023-03-20,11.800000,11.800000,11.800000,11.800000,11.800000,100
2023-03-21,11.620000,12.700000,11.620000,12.700000,12.700000,16800
2023-03-22,12.120000,12.120000,12.110000,12.112000,12.112000,600
2023-03-23,12.170000,12.170000,12.170000,12.170000,12.170000,500
2023-03-24,12.300000,12.300000,12.300000,12.300000,12.300000,700
2023-03-27,12.200000,12.500000,12.200000,12.201000,12.201000,2000
2023-03-28,12.140000,12.140000,12.100000,12.100000,12.100000,900
2023-03-29,11.900000,11.950000,11.530000,11.700000,11.700000,3900
2023-03-30,11.500000,11.500000,11.444000,11.444000,11.444000,1100
2023-03-31,11.440000,12.000000,11.090000,11.980000,11.980000,9500
2023-04-03,11.300000,11.500000,11.102000,11.500000,11.500000,1500
2023-04-04,11.180000,11.500000,11.180000,11.460000,11.460000,800
2023-04-05,11.460000,11.460000,11.460000,11.460000,11.460000,0
2023-04-06,11.280000,11.450000,11.100000,11.450000,11.450000,1300
2023-04-10,11.500000,11.500000,11.460000,11.500000,11.500000,700
2023-04-11,11.500000,11.500000,11.500000,11.500000,11.500000,500
2023-04-12,11.500000,11.500000,11.500000,11.500000,11.500000,0
2023-04-13,11.500000,11.500000,11.500000,11.500000,11.500000,0
2023-04-14,11.010000,11.010000,10.570000,10.570000,10.570000,1500
2023-04-17,10.570000,10.570000,10.570000,10.570000,10.570000,0
2023-04-18,9.890000,11.500000,9.890000,11.260000,11.260000,14600
2023-04-19,11.200000,11.200000,10.950000,11.000000,11.000000,1000
2023-04-20,10.990000,10.990000,10.930000,10.930000,10.930000,700
2023-04-21,11.450000,12.450000,10.900000,10.900000,10.900000,6500
2023-04-24,11.000000,11.690000,11.000000,11.500000,11.500000,1100
2023-04-25,10.570000,11.460000,10.235000,10.600000,10.600000,5300
2023-04-26,10.600000,11.200000,10.560000,10.560000,10.560000,3500
2023-04-27,10.760000,10.760000,10.760000,10.760000,10.760000,1000
2023-04-28,10.800000,12.000000,10.800000,12.000000,12.000000,1700
2023-05-01,11.990000,12.000000,11.990000,12.000000,12.000000,800
2023-05-02,12.000000,12.000000,12.000000,12.000000,12.000000,300
2023-05-03,11.910000,11.910000,11.910000,11.910000,11.910000,200
2023-05-04,11.450000,11.450000,10.910000,10.910000,10.910000,500
2023-05-05,10.910000,10.910000,10.910000,10.910000,10.910000,0
2023-05-08,10.500000,10.500000,10.500000,10.500000,10.500000,800
2023-05-09,10.450000,10.460000,10.350000,10.350000,10.350000,500
2023-05-10,10.010000,10.300000,10.010000,10.300000,10.300000,11300
2023-05-11,10.000000,10.000000,9.865000,9.865000,9.865000,400
2023-05-12,9.760000,11.500000,9.450000,9.500000,9.500000,19800
2023-05-15,9.000000,9.000000,8.750000,8.750000,8.750000,15700
2023-05-16,7.850000,8.750000,7.554000,8.500000,8.500000,4200
2023-05-17,8.500000,8.500000,8.500000,8.500000,8.500000,0
2023-05-18,7.630000,7.660000,6.660000,6.993000,6.993000,3200
2023-05-19,7.040000,7.750000,7.040000,7.750000,7.750000,7300
2023-05-22,7.720000,7.750000,7.410000,7.410000,7.410000,7800
2023-05-23,7.540000,9.002000,7.540000,8.250000,8.250000,9900
2023-05-24,9.000000,28.990000,9.000000,19.000000,19.000000,1169900
2023-05-25,11.570000,13.499000,9.720000,11.080000,11.080000,316400
2023-05-26,10.310000,11.393000,9.600000,10.000000,10.000000,81700
2023-05-30,9.929000,10.487000,7.220000,9.110000,9.110000,119700
2023-05-31,8.710000,9.800000,8.390000,8.600000,8.600000,62500
2023-06-01,11.990000,13.910000,10.000000,10.060000,10.060000,1108300
2023-06-02,10.110000,10.560000,8.650000,9.080000,9.080000,71000
2023-06-05,8.800000,9.403000,8.800000,8.870000,8.870000,20600
2023-06-06,9.010000,9.010000,8.360000,8.750000,8.750000,30800
2023-06-07,8.580000,9.500000,8.550000,8.700000,8.700000,54100
2023-06-08,8.620000,9.000000,8.500000,8.980000,8.980000,12500
2023-06-09,9.250000,9.250000,8.660000,8.660000,8.660000,14300
2023-06-12,8.490000,9.160000,8.202000,8.600000,8.600000,39600
2023-06-13,8.800000,8.965000,8.500000,8.870000,8.870000,23700
2023-06-14,8.890000,9.364000,8.582000,9.100000,9.100000,27700
2023-06-15,8.760000,9.179000,8.760000,8.960000,8.960000,2800
2023-06-16,8.700000,9.230000,8.670000,9.090000,9.090000,6900
2023-06-20,8.502000,9.251000,8.410000,8.900000,8.900000,10300
2023-06-21,9.180000,9.180000,8.672000,8.870000,8.870000,7200
2023-06-22,8.900000,9.070000,8.110000,8.610000,8.610000,16300
2023-06-23,8.600000,8.980000,8.345000,8.550000,8.550000,5700
2023-06-26,8.590000,9.190000,8.110000,8.570000,8.570000,16300
2023-06-27,8.378000,8.885000,8.302000,8.510000,8.510000,10400
2023-06-28,8.460000,8.900000,8.100000,8.100000,8.100000,5400
2023-06-29,8.480000,9.000000,8.110000,8.710000,8.710000,23200
2023-06-30,8.502000,8.700000,8.400000,8.440000,8.440000,6900
2023-07-03,8.128000,8.650000,8.128000,8.600000,8.600000,12700
2023-07-05,8.390000,9.400000,8.330000,8.900000,8.900000,41000
2023-07-06,8.800000,9.350000,8.240000,8.360000,8.360000,15200
2023-07-07,8.750000,8.899000,8.750000,8.840000,8.840000,2300
2023-07-10,8.800000,9.230000,8.746000,9.080000,9.080000,14000
2023-07-11,9.190000,9.190000,8.670000,8.670000,8.670000,6700
2023-07-12,8.300000,8.805000,8.300000,8.805000,8.805000,2400
2023-07-13,8.610000,8.620000,8.510000,8.510000,8.510000,2300
2023-07-14,8.310000,8.400000,8.310000,8.320000,8.320000,1300
2023-07-17,8.250000,8.420000,8.250000,8.360000,8.360000,2400
2023-07-18,8.300000,8.340000,8.010000,8.117000,8.117000,3700
2023-07-19,8.040000,8.100000,7.990000,8.100000,8.100000,5000
2023-07-20,7.990000,8.080000,7.600000,7.600000,7.600000,4500
2023-07-21,7.610000,7.810000,7.350000,7.810000,7.810000,8100
2023-07-24,7.460000,8.002000,7.420000,7.800000,7.800000,17700
2023-07-25,7.400000,7.790000,7.370000,7.605000,7.605000,3500
2023-07-26,7.410000,7.730000,7.410000,7.510000,7.510000,5900
2023-07-27,7.510000,7.510000,7.510000,7.510000,7.510000,0
2023-07-28,7.230000,7.230000,7.220000,7.230000,7.230000,800
2023-07-31,7.020000,7.700000,7.020000,7.690000,7.690000,11100
2023-08-01,7.450000,7.450000,7.450000,7.450000,7.450000,800
2023-08-02,7.411000,7.411000,7.403000,7.403000,7.403000,600
2023-08-03,7.400000,8.750000,7.400000,8.320000,8.320000,62500
2023-08-04,8.350000,8.430000,8.100000,8.400000,8.400000,34400
2023-08-07,8.300000,8.300000,8.149000,8.149000,8.149000,2900
2023-08-08,7.590000,8.000000,7.590000,8.000000,8.000000,3700
