Date,Open,High,Low,Close,Adj Close,Volume
2021-01-08,0.845000,0.850000,0.810000,0.810000,0.810000,72400
2021-01-11,0.847000,0.905000,0.812000,0.865000,0.865000,148500
2021-01-12,0.867000,0.869000,0.850000,0.860000,0.860000,87900
2021-01-13,0.880000,0.900000,0.829000,0.850000,0.850000,293100
2021-01-14,0.865000,0.880000,0.827000,0.827000,0.827000,175500
2021-01-15,0.860000,0.869000,0.820000,0.820000,0.820000,145500
2021-01-19,0.798000,0.880000,0.782000,0.800000,0.800000,237400
2021-01-20,0.850000,1.050000,0.810000,0.910000,0.910000,516500
2021-01-21,0.932000,1.040000,0.900000,0.927000,0.927000,254300
2021-01-22,0.924000,1.053000,0.924000,1.030000,1.030000,406100
2021-01-25,1.003000,1.030000,0.930000,0.989000,0.989000,247000
2021-01-26,1.010000,1.030000,0.950000,0.995000,0.995000,255700
2021-01-27,0.991000,1.075000,0.934000,1.040000,1.040000,189700
2021-01-28,1.022000,1.330000,1.000000,1.300000,1.300000,594000
2021-01-29,1.300000,1.600000,1.050000,1.169000,1.169000,1005600
2021-02-01,1.140000,1.420000,1.030000,1.253000,1.253000,255300
2021-02-02,1.300000,1.400000,1.200000,1.400000,1.400000,243200
2021-02-03,1.350000,1.530000,1.329000,1.450000,1.450000,331400
2021-02-04,1.430000,1.790000,1.350000,1.790000,1.790000,523700
2021-02-05,1.790000,2.850000,1.700000,2.480000,2.480000,1358700
2021-02-08,2.660000,2.660000,2.080000,2.458000,2.458000,868800
2021-02-09,2.205000,2.560000,2.175000,2.480000,2.480000,266000
2021-02-10,2.400000,2.510000,2.300000,2.490000,2.490000,326400
2021-02-11,2.390000,2.500000,2.349000,2.460000,2.460000,178300
2021-02-12,2.450000,2.460000,2.370000,2.387000,2.387000,177300
2021-02-16,2.380000,2.390000,2.280000,2.363000,2.363000,198100
2021-02-17,2.700000,2.700000,2.166000,2.246000,2.246000,203500
2021-02-18,2.225000,2.290000,2.200000,2.260000,2.260000,180400
2021-02-19,2.260000,2.270000,2.193000,2.240000,2.240000,91400
2021-02-22,2.550000,2.550000,2.130000,2.260000,2.260000,138000
2021-02-23,2.340000,2.340000,2.010000,2.305000,2.305000,187800
2021-02-24,2.350000,2.350000,2.100000,2.150000,2.150000,64100
2021-02-25,2.218000,2.270000,2.149000,2.150000,2.150000,92500
2021-02-26,2.120000,2.148000,1.960000,1.980000,1.980000,134500
2021-03-01,1.990000,2.220000,1.990000,2.220000,2.220000,121600
2021-03-02,2.110000,2.220000,2.090000,2.150000,2.150000,75500
2021-03-03,2.218000,2.218000,2.130000,2.140000,2.140000,58100
2021-03-04,2.123000,2.140000,1.850000,1.850000,1.850000,181000
2021-03-05,1.850000,2.020000,1.586000,1.920000,1.920000,318100
2021-03-08,1.920000,2.120000,1.920000,2.050000,2.050000,138800
2021-03-09,2.050000,2.050000,1.909000,1.970000,1.970000,35400
2021-03-10,1.970000,2.110000,1.950000,1.980000,1.980000,59200
2021-03-11,2.030000,2.100000,2.010000,2.052000,2.052000,57700
2021-03-12,2.010000,2.160000,2.010000,2.135000,2.135000,35700
2021-03-15,2.130000,2.200000,2.080000,2.120000,2.120000,119800
2021-03-16,2.150000,2.170000,2.050000,2.099000,2.099000,57600
2021-03-17,2.120000,2.160000,2.050000,2.090000,2.090000,50100
2021-03-18,2.155000,2.163000,2.060000,2.060000,2.060000,70300
2021-03-19,2.120000,2.170000,2.060000,2.110000,2.110000,94900
2021-03-22,2.170000,2.200000,2.089000,2.100000,2.100000,127700
2021-03-23,2.100000,2.150000,2.050000,2.085000,2.085000,56600
2021-03-24,2.068000,2.080000,1.950000,2.000000,2.000000,67900
2021-03-25,1.995000,2.030000,1.950000,2.000000,2.000000,159400
2021-03-26,2.080000,2.080000,1.940000,1.990000,1.990000,85700
2021-03-29,1.980000,2.070000,1.878000,1.970000,1.970000,94400
2021-03-30,1.972000,1.980000,1.872000,1.920000,1.920000,66700
2021-03-31,1.970000,1.986000,1.850000,1.910000,1.910000,81700
2021-04-01,1.910000,1.930000,1.840000,1.910000,1.910000,62200
2021-04-05,1.988000,1.988000,1.900000,1.910000,1.910000,34500
2021-04-06,1.860000,1.940000,1.838000,1.900000,1.900000,58400
2021-04-07,1.888000,1.950000,1.851000,1.890000,1.890000,54700
2021-04-08,1.905000,1.928000,1.860000,1.900000,1.900000,69500
2021-04-09,1.830000,1.930000,1.830000,1.919000,1.919000,19100
2021-04-12,1.880000,1.930000,1.840000,1.910000,1.910000,25400
2021-04-13,1.918000,1.918000,1.829000,1.830000,1.830000,72000
2021-04-14,1.819000,1.900000,1.790000,1.884000,1.884000,88200
2021-04-15,1.980000,1.980000,1.832000,1.920000,1.920000,61300
2021-04-16,1.920000,1.959000,1.900000,1.940000,1.940000,42600
2021-04-19,1.964000,1.964000,1.720000,1.900000,1.900000,112000
2021-04-20,1.710000,1.900000,1.604000,1.720000,1.720000,234100
2021-04-21,1.710000,1.870000,1.590000,1.650000,1.650000,149800
2021-04-22,1.800000,1.950000,1.650000,1.800000,1.800000,396500
2021-04-23,1.786000,2.000000,1.786000,1.928000,1.928000,210300
2021-04-26,1.950000,1.950000,1.868000,1.910000,1.910000,112300
2021-04-27,1.970000,1.970000,1.910000,1.930000,1.930000,35500
2021-04-28,1.940000,1.949000,1.850000,1.893000,1.893000,75300
2021-04-29,1.905000,1.950000,1.860000,1.939000,1.939000,107500
2021-04-30,1.980000,1.980000,1.875000,1.900000,1.900000,68100
2021-05-03,1.900000,1.940000,1.881000,1.881000,1.881000,40800
2021-05-04,1.690000,1.910000,1.690000,1.837000,1.837000,110700
2021-05-05,1.830000,1.900000,1.799000,1.880000,1.880000,66800
2021-05-06,1.910000,1.920000,1.750000,1.750000,1.750000,148000
2021-05-07,1.720000,1.820000,1.695000,1.775000,1.775000,193000
2021-05-10,1.980000,1.980000,1.737000,1.738000,1.738000,97100
2021-05-11,1.830000,1.830000,1.600000,1.670000,1.670000,177500
2021-05-12,1.635000,1.670000,1.550000,1.570000,1.570000,181100
2021-05-13,1.610000,1.647000,1.530000,1.560000,1.560000,33800
2021-05-14,1.650000,1.650000,1.520000,1.610000,1.610000,39600
2021-05-17,1.560000,1.650000,1.500000,1.530000,1.530000,116000
2021-05-18,1.660000,1.670000,1.586000,1.602000,1.602000,54200
2021-05-19,1.600000,1.620000,1.544000,1.590000,1.590000,51800
2021-05-20,1.550000,1.650000,1.550000,1.630000,1.630000,48900
2021-05-21,1.650000,1.660000,1.560000,1.600000,1.600000,64000
2021-05-24,1.570000,1.770000,1.570000,1.755000,1.755000,75100
2021-05-25,1.590000,1.690000,1.590000,1.630000,1.630000,98700
2021-05-26,1.580000,1.730000,1.580000,1.639000,1.639000,115100
2021-05-27,1.720000,1.720000,1.580000,1.690000,1.690000,60000
2021-05-28,1.690000,1.700000,1.645000,1.665000,1.665000,151100
2021-06-01,1.664750,1.664750,1.664750,1.664750,1.664750,400
2021-06-02,1.647250,1.797500,1.645250,1.750000,1.750000,44000
2021-06-03,1.797500,1.910250,1.797500,1.826250,1.826250,85600
2021-06-04,1.859000,1.865000,1.757500,1.800000,1.800000,110400
2021-06-07,1.817500,1.964250,1.817500,1.925000,1.925000,74800
2021-06-08,1.912500,2.013500,1.912500,2.000000,2.000000,103200
2021-06-09,2.072500,2.072500,1.979250,2.015000,2.015000,61200
2021-06-10,2.062250,2.415250,2.032500,2.247500,2.247500,251200
2021-06-11,2.165000,2.250000,2.125000,2.250000,2.250000,238000
2021-06-14,2.245000,2.407500,2.190000,2.302500,2.302500,226800
2021-06-15,2.252500,2.877500,2.179250,2.500000,2.500000,596000
2021-06-16,2.500000,2.777500,2.267500,2.412500,2.412500,280400
2021-06-17,2.448750,2.582500,2.438000,2.470000,2.470000,186800
2021-06-18,2.450000,2.450000,2.327250,2.411250,2.411250,126400
2021-06-21,2.477500,2.477500,2.308750,2.377500,2.377500,115200
2021-06-22,2.380000,2.380000,2.285000,2.351250,2.351250,109600
2021-06-23,2.355000,2.356250,2.225000,2.276250,2.276250,73200
2021-06-24,2.375000,2.375000,2.237500,2.275000,2.275000,78800
