Date,Open,High,Low,Close,Adj Close,Volume
2021-11-05,11.660000,12.750000,11.000000,11.000000,11.000000,2983000
2021-11-08,10.390000,10.810000,8.670000,9.000000,9.000000,816800
2021-11-09,9.480000,9.580000,8.840000,9.500000,9.500000,265600
2021-11-10,9.230000,9.770000,9.040000,9.510000,9.510000,134900
2021-11-11,9.510000,9.720000,9.300000,9.480000,9.480000,145300
2021-11-12,9.500000,10.260000,9.500000,9.970000,9.970000,170000
2021-11-15,9.990000,11.710000,9.767000,11.500000,11.500000,277900
2021-11-16,11.500000,11.640000,10.770000,11.590000,11.590000,66400
2021-11-17,11.500000,11.800000,10.140000,10.250000,10.250000,132100
2021-11-18,10.280000,10.640000,9.810000,10.190000,10.190000,99100
2021-11-19,10.320000,10.600000,10.050000,10.500000,10.500000,59400
2021-11-22,10.310000,10.340000,9.540000,9.840000,9.840000,72400
2021-11-23,9.970000,9.970000,8.390000,9.010000,9.010000,56500
2021-11-24,9.010000,10.000000,9.010000,9.260000,9.260000,14000
2021-11-26,9.300000,9.620000,9.050000,9.450000,9.450000,16200
2021-11-29,9.360000,9.500000,8.350000,8.460000,8.460000,186900
2021-11-30,8.400000,8.590000,8.000000,8.050000,8.050000,96600
2021-12-01,8.200000,8.480000,7.030000,7.210000,7.210000,150600
2021-12-02,7.340000,8.500000,7.340000,8.250000,8.250000,172400
2021-12-03,8.290000,8.465000,7.565000,8.150000,8.150000,112900
2021-12-06,8.050000,8.370000,7.125000,7.450000,7.450000,142100
2021-12-07,8.020000,8.150000,7.700000,7.930000,7.930000,171000
2021-12-08,8.150000,8.395000,7.295000,7.370000,7.370000,190000
2021-12-09,7.370000,7.500000,6.860000,7.110000,7.110000,131900
2021-12-10,6.950000,7.145000,6.170000,6.460000,6.460000,177200
2021-12-13,6.440000,6.589000,5.890000,5.890000,5.890000,168400
2021-12-14,6.270000,6.310000,5.650000,5.660000,5.660000,93300
2021-12-15,6.110000,6.110000,5.120000,5.500000,5.500000,127300
