Date,Open,High,Low,Close,Adj Close,Volume
2023-11-17,5.000000,6.329000,4.500000,5.250000,5.250000,2048400
2023-11-20,4.960000,6.000000,4.789000,5.660000,5.660000,1227800
2023-11-21,5.840000,6.540000,5.500000,5.550000,5.550000,583600
2023-11-22,5.370000,5.600000,5.210000,5.210000,5.210000,222300
2023-11-24,5.090000,5.220000,4.500000,4.620000,4.620000,130200
2023-11-27,4.560000,4.933000,4.540000,4.560000,4.560000,210200
2023-11-28,4.750000,4.960000,4.540000,4.660000,4.660000,164000
2023-11-29,4.740000,4.760000,4.190000,4.190000,4.190000,143000
2023-11-30,4.210000,4.460000,4.150000,4.270000,4.270000,66800
2023-12-01,4.370000,4.750000,4.320000,4.480000,4.480000,80100
2023-12-04,4.320000,5.250000,4.320000,5.030000,5.030000,144500
2023-12-05,4.940000,5.269000,4.830000,4.970000,4.970000,54700
2023-12-06,5.150000,5.200000,5.000000,5.090000,5.090000,44800
2023-12-07,5.250000,5.300000,5.010000,5.110000,5.110000,55300
2023-12-08,5.170000,5.300000,5.000000,5.010000,5.010000,40700
2023-12-11,4.990000,5.130000,4.830000,4.984000,4.984000,38700
2023-12-12,4.950000,4.950000,4.770000,4.780000,4.780000,27300
2023-12-13,5.000000,5.000000,4.690000,4.800000,4.800000,18500
2023-12-14,4.690000,4.930000,4.690000,4.730000,4.730000,21100
2023-12-15,4.820000,4.940000,4.680000,4.710000,4.710000,10300
2023-12-18,4.730000,5.090000,4.700000,4.800000,4.800000,45700
2023-12-19,4.900000,5.070000,4.850000,5.070000,5.070000,13800
2023-12-20,5.090000,5.090000,4.820000,4.990000,4.990000,16100
2023-12-21,4.900000,5.800000,4.800000,5.500000,5.500000,109100
2023-12-22,5.550000,5.750000,5.410000,5.610000,5.610000,99800
2023-12-26,5.750000,6.250000,5.120000,5.400000,5.400000,102100
2023-12-27,5.530000,6.000000,5.530000,5.824000,5.824000,66700
2023-12-28,5.890000,6.100000,5.545000,5.930000,5.930000,139400
2023-12-29,6.190000,6.190000,5.720000,5.950000,5.950000,17900
2024-01-02,5.970000,6.150000,5.700000,6.050000,6.050000,29600
2024-01-03,5.748000,6.160000,5.748000,6.010000,6.010000,95400
2024-01-04,5.980000,6.157000,5.900000,5.930000,5.930000,22500
2024-01-05,5.950000,6.540000,5.950000,6.480000,6.480000,69300
2024-01-08,6.820000,7.320000,5.550000,6.230000,6.230000,134300
2024-01-09,5.860000,6.790000,5.830000,6.660000,6.660000,58400
2024-01-10,6.900000,7.834000,6.861000,7.790000,7.790000,110700
2024-01-11,7.950000,8.500000,7.511000,7.900000,7.900000,123000
2024-01-12,8.290000,8.470000,7.820000,8.000000,8.000000,135900
2024-01-16,7.960000,8.048000,7.010000,7.470000,7.470000,142900
2024-01-17,7.180000,7.850000,6.500000,7.730000,7.730000,84900
2024-01-18,8.160000,8.160000,7.540000,7.980000,7.980000,31500
2024-01-19,8.090000,8.130000,7.760000,7.880000,7.880000,79400
2024-01-22,7.860000,9.800000,7.860000,9.800000,9.800000,234200
2024-01-23,9.930000,11.100000,9.710000,11.100000,11.100000,320600
2024-01-24,11.710000,12.290000,5.400000,7.500000,7.500000,1078000
2024-01-25,7.320000,10.983000,7.300000,9.900000,9.900000,447500
2024-01-26,8.500000,8.500000,2.852000,3.470000,3.470000,7438200
2024-01-29,2.910000,3.190000,2.740000,2.800000,2.800000,1859900
2024-01-30,2.640000,2.640000,2.170000,2.240000,2.240000,2458000
2024-01-31,2.150000,2.488000,1.900000,2.260000,2.260000,985800
2024-02-01,2.280000,2.320000,1.930000,2.050000,2.050000,610000
2024-02-02,2.050000,2.050000,1.920000,1.980000,1.980000,366300
2024-02-05,1.860000,1.970000,1.750000,1.820000,1.820000,421800
2024-02-06,1.860000,2.100000,1.830000,2.090000,2.090000,349000
2024-02-07,2.090000,2.150000,1.800000,1.850000,1.850000,358900
2024-02-08,1.850000,1.910000,1.750000,1.880000,1.880000,371100
2024-02-09,1.850000,1.910000,1.790000,1.860000,1.860000,173900
2024-02-12,1.970000,2.050000,1.900000,2.005000,2.005000,258200
2024-02-13,1.980000,2.000000,1.860000,1.880000,1.880000,137500
2024-02-14,1.860000,1.929000,1.840000,1.920000,1.920000,134700
2024-02-15,1.940000,1.940000,1.800000,1.830000,1.830000,370100
2024-02-16,1.850000,1.880000,1.800000,1.850000,1.850000,116600
2024-02-20,1.890000,1.900000,1.700000,1.730000,1.730000,294000
2024-02-21,1.750000,1.750000,1.550000,1.580000,1.580000,300500
2024-02-22,1.660000,1.660000,1.465000,1.490000,1.490000,195700
2024-02-23,1.480000,1.480000,1.311000,1.380000,1.380000,285700
2024-02-26,1.400000,1.630000,1.380000,1.600000,1.600000,249000
2024-02-27,1.600000,1.840000,1.560000,1.790000,1.790000,416700
2024-02-28,1.830000,1.830000,1.610000,1.670000,1.670000,346800
2024-02-29,1.710000,1.790000,1.630000,1.670000,1.670000,177800
2024-03-01,1.640000,1.720000,1.520000,1.590000,1.590000,184300
2024-03-04,1.600000,1.600000,1.470000,1.510000,1.510000,140300
2024-03-05,1.540000,1.590000,1.470000,1.570000,1.570000,142100
2024-03-06,1.620000,1.670000,1.520000,1.570000,1.570000,198200
2024-03-07,1.560000,1.590000,1.430000,1.520000,1.520000,122700
2024-03-08,1.520000,1.570000,1.500000,1.540000,1.540000,73400
2024-03-11,1.490000,1.540000,1.450100,1.530000,1.530000,35121
