Date,Open,High,Low,Close,Adj Close,Volume
2022-01-07,9.910000,9.950000,9.910000,9.920000,9.920000,1470700
2022-01-10,9.920000,9.960000,9.910000,9.930000,9.930000,2068700
2022-01-11,9.920000,9.960000,9.920000,9.960000,9.960000,1222500
2022-01-12,9.960000,9.960000,9.920000,9.940000,9.940000,1671400
2022-01-13,9.940000,9.950000,9.920000,9.930000,9.930000,391800
2022-01-14,9.930000,9.960000,9.920000,9.920000,9.920000,534800
2022-01-18,9.920000,9.950000,9.920000,9.930000,9.930000,293200
2022-01-19,9.920000,9.950000,9.920000,9.930000,9.930000,447600
2022-01-20,9.930000,9.950000,9.900000,9.900000,9.900000,2221100
2022-01-21,9.910000,9.940000,9.909000,9.930000,9.930000,905600
2022-01-24,9.930000,9.935000,9.880000,9.900000,9.900000,2864300
2022-01-25,9.880000,9.930000,9.880000,9.910000,9.910000,1564800
2022-01-26,9.900000,9.920000,9.900000,9.900000,9.900000,193500
2022-01-27,9.910000,9.918000,9.900000,9.900000,9.900000,81600
2022-01-28,9.910000,9.930000,9.910000,9.920000,9.920000,169200
2022-01-31,9.920000,9.940000,9.913000,9.920000,9.920000,310900
2022-02-01,9.890000,9.940000,9.890000,9.900000,9.900000,341600
2022-02-02,9.920000,9.940000,9.920000,9.940000,9.940000,133000
2022-02-03,9.940000,9.960000,9.930000,9.950000,9.950000,159800
2022-02-04,9.950000,9.990000,9.930000,9.970000,9.970000,282500
2022-02-07,9.980000,10.000000,9.957000,9.990000,9.990000,156700
2022-02-08,10.000000,10.000000,9.960000,9.980000,9.980000,759200
2022-02-09,10.000000,10.000000,9.950000,9.950000,9.950000,531800
2022-02-10,9.941000,9.941000,9.940000,9.940000,9.940000,1500
2022-02-11,9.933000,9.960000,9.933000,9.960000,9.960000,106000
2022-02-14,9.940000,9.940000,9.930000,9.930000,9.930000,46000
2022-02-15,10.000000,10.000000,9.930000,9.930000,9.930000,13400
2022-02-16,9.940000,9.970000,9.920000,9.920000,9.920000,188600
2022-02-17,9.930000,9.930000,9.910000,9.915000,9.915000,700
2022-02-18,9.900000,9.910000,9.880000,9.905000,9.905000,9800
2022-02-22,9.910000,9.920000,9.900000,9.900000,9.900000,24500
2022-02-23,9.935000,9.935000,9.900000,9.900000,9.900000,27100
