Date,Open,High,Low,Close,Adj Close,Volume
2004-06-17,14.750000,15.450000,14.400000,14.650000,2.057253,568900
2004-06-18,14.900000,14.900000,13.350000,13.450000,1.888741,742200
2004-06-21,13.500000,13.650000,12.850000,13.080000,1.836782,248200
2004-06-22,12.900000,13.250000,12.650000,13.100000,1.839591,442800
2004-06-23,13.160000,14.250000,13.100000,14.240000,1.999677,402300
2004-06-24,14.350000,14.980000,14.320000,14.880000,2.089551,248200
2004-06-25,15.000000,15.200000,14.950000,15.190000,2.133083,244800
2004-06-28,15.800000,16.000000,15.350000,15.500000,2.176615,466200
2004-06-29,15.500000,15.500000,14.900000,15.040000,2.112019,415400
2004-06-30,14.900000,15.350000,14.520000,14.950000,2.099381,379000
2004-07-01,14.800000,15.200000,14.800000,14.850000,2.085339,212700
2004-07-02,14.850000,14.850000,14.360000,14.400000,2.022146,139300
2004-07-06,14.300000,14.890000,14.300000,14.800000,2.078316,91300
2004-07-07,14.700000,14.850000,14.650000,14.780000,2.075508,252100
2004-07-08,14.780000,15.150000,14.710000,15.050000,2.113423,547300
2004-07-09,15.150000,16.190001,15.150000,16.030001,2.251042,303300
2004-07-12,16.000000,17.250000,15.810000,15.950000,2.239807,163800
2004-07-13,15.960000,16.030001,15.200000,15.530000,2.180828,132200
2004-07-14,15.350000,15.920000,15.350000,15.560000,2.185040,206300
2004-07-15,15.450000,15.800000,15.450000,15.550000,2.183636,106400
2004-07-16,15.650000,15.820000,15.510000,15.750000,2.211722,241100
2004-07-19,15.780000,16.070000,15.710000,15.850000,2.225765,161300
2004-07-20,15.900000,16.389999,15.880000,16.350000,2.295977,130800
2004-07-21,16.850000,17.270000,16.650000,17.000000,2.387256,322500
2004-07-22,17.160000,17.250000,16.480000,17.100000,2.401298,107200
2004-07-23,17.000000,17.049999,16.690001,16.809999,2.360576,32400
2004-07-26,16.900000,16.950001,15.590000,15.880000,2.229977,142200
2004-07-27,15.800000,16.299999,15.750000,16.150000,2.267894,94700
2004-07-28,16.240000,16.500000,16.049999,16.350000,2.295977,67600
2004-07-29,16.600000,16.700001,16.049999,16.450001,2.310021,177300
2004-07-30,16.400000,16.650000,16.299999,16.610001,2.332489,68600
2004-08-02,16.620001,16.650000,16.389999,16.469999,2.312829,44500
2004-08-03,16.400000,16.400000,15.620000,16.049999,2.253850,119200
2004-08-04,16.100000,16.400000,16.010000,16.350000,2.295977,184400
2004-08-05,16.299999,16.350000,15.500000,15.750000,2.211722,135100
2004-08-06,15.680000,16.299999,15.530000,15.940000,2.238403,68800
2004-08-09,15.900000,16.379999,15.900000,16.230000,2.279127,109600
2004-08-10,16.250000,16.360001,16.150000,16.330000,2.293169,97800
2004-08-11,16.080000,16.209999,15.970000,16.200001,2.274914,129600
2004-08-12,16.209999,16.209999,15.900000,15.930000,2.236998,109200
2004-08-13,15.940000,15.980000,15.820000,15.830000,2.222957,104900
2004-08-16,15.830000,16.200001,15.800000,16.200001,2.274914,81900
2004-08-17,16.350000,16.840000,16.299999,16.590000,2.329680,61500
2004-08-18,16.600000,16.799999,16.580000,16.670000,2.340915,95500
2004-08-19,16.750000,17.400000,16.750000,17.250000,2.422362,237300
2004-08-20,17.450001,17.700001,17.299999,17.450001,2.450448,214200
2004-08-23,18.250000,18.400000,18.000000,18.200001,2.555768,303800
2004-08-24,18.299999,18.320000,18.049999,18.090000,2.540321,88300
2004-08-25,18.020000,18.100000,17.610001,17.910000,2.515045,114600
2004-08-26,17.500000,17.620001,17.350000,17.469999,2.502154,74500
2004-08-27,17.650000,17.820000,17.600000,17.600000,2.520774,43900
2004-08-30,17.750000,17.860001,17.600000,17.639999,2.526501,39800
2004-08-31,17.600000,17.629999,17.410000,17.500000,2.506451,109200
2004-09-01,17.610001,17.700001,17.450001,17.510000,2.507882,128500
2004-09-02,17.690001,18.100000,17.690001,18.000000,2.578063,112500
2004-09-03,18.000000,18.250000,17.930000,18.200001,2.606709,93700
