Date,Open,High,Low,Close,Adj Close,Volume
1999-04-26,1.802083,1.854167,1.760417,1.833333,0.858096,39600
1999-04-27,1.916667,1.916667,1.916667,1.916667,0.897100,8400
1999-04-28,1.916667,1.916667,1.916667,1.916667,0.897100,0
1999-04-29,1.916667,1.916667,1.916667,1.916667,0.897100,0
1999-04-30,1.916667,1.916667,1.916667,1.916667,0.897100,0
1999-05-03,1.854167,1.875000,1.854167,1.875000,0.877598,33600
1999-05-04,1.875000,1.875000,1.875000,1.875000,0.877598,0
1999-05-05,1.875000,1.875000,1.875000,1.875000,0.877598,0
1999-05-06,1.875000,1.875000,1.875000,1.875000,0.877598,0
1999-05-07,1.875000,1.875000,1.875000,1.875000,0.877598,0
1999-05-10,1.875000,1.875000,1.875000,1.875000,0.877598,0
1999-05-11,1.937500,1.937500,1.895833,1.895833,0.887349,4800
1999-05-12,1.854167,1.937500,1.854167,1.937500,0.906851,58800
1999-05-13,1.916667,2.083333,1.916667,2.020833,0.945855,40800
1999-05-14,2.020833,2.020833,2.020833,2.020833,0.945855,0
1999-05-17,2.020833,2.020833,2.020833,2.020833,0.945855,7200
1999-05-18,2.020833,2.020833,2.020833,2.020833,0.945855,0
1999-05-19,2.072917,2.072917,2.072917,2.072917,0.970234,2400
1999-05-20,2.020833,2.229167,2.020833,2.229167,1.043366,12000
1999-05-21,2.000000,2.229167,2.000000,2.229167,1.043366,4800
1999-05-24,2.229167,2.229167,2.229167,2.229167,1.043366,0
1999-05-25,2.229167,2.229167,2.229167,2.229167,1.043366,0
1999-05-26,2.135417,2.250000,2.083333,2.250000,1.053118,14400
1999-05-27,2.250000,2.250000,2.250000,2.250000,1.053118,0
1999-05-28,2.000000,2.208333,2.000000,2.208333,1.033615,22800
1999-06-01,2.208333,2.208333,2.208333,2.208333,1.033615,0
1999-06-02,2.208333,2.208333,2.208333,2.208333,1.033615,0
1999-06-03,2.020833,2.020833,2.020833,2.020833,0.945855,6000
1999-06-04,2.156250,2.156250,2.156250,2.156250,1.009238,2400
1999-06-07,2.250000,2.250000,2.250000,2.250000,1.053118,6000
1999-06-08,2.083333,2.083333,2.083333,2.083333,0.975109,1200
1999-06-09,2.083333,2.125000,2.083333,2.125000,0.994611,18000
1999-06-10,2.083333,2.125000,2.083333,2.125000,0.994611,24000
1999-06-11,2.125000,2.125000,2.125000,2.125000,0.994611,0
1999-06-14,2.250000,2.250000,2.250000,2.250000,1.053118,1200
1999-06-15,2.250000,2.250000,2.250000,2.250000,1.053118,0
1999-06-16,2.250000,2.250000,2.250000,2.250000,1.053118,0
1999-06-17,2.250000,2.250000,2.250000,2.250000,1.053118,0
1999-06-18,2.062500,2.062500,2.062500,2.062500,0.965358,2400
1999-06-21,2.083333,2.114583,2.062500,2.083333,0.975109,63600
1999-06-22,2.083333,2.083333,2.083333,2.083333,0.975109,0
1999-06-23,2.083333,2.083333,2.083333,2.083333,0.975109,2400
1999-06-24,2.083333,2.083333,2.083333,2.083333,0.975109,0
1999-06-25,2.083333,2.083333,2.083333,2.083333,0.975109,0
1999-06-28,2.083333,2.083333,2.083333,2.083333,0.975109,0
1999-06-29,2.041667,2.083333,2.020833,2.041667,0.955607,40800
1999-06-30,2.041667,2.041667,2.041667,2.041667,0.955607,0
1999-07-01,2.020833,2.020833,2.020833,2.020833,0.945855,9600
1999-07-02,2.020833,2.062500,2.020833,2.062500,0.965358,13200
1999-07-06,2.062500,2.062500,2.062500,2.062500,0.965358,0
1999-07-07,2.083333,2.083333,2.041667,2.083333,0.975109,31200
1999-07-08,2.041667,2.083333,2.041667,2.041667,0.955607,14400
1999-07-09,2.000000,2.083333,2.000000,2.083333,0.975109,67200
1999-07-12,2.000000,2.000000,2.000000,2.000000,0.936105,6000
1999-07-13,2.000000,2.083333,2.000000,2.072917,0.970234,16800
1999-07-14,2.000000,2.000000,2.000000,2.000000,0.936105,44400
1999-07-15,2.000000,2.000000,1.958333,1.958333,0.916602,15600
1999-07-16,1.916667,1.916667,1.916667,1.916667,0.897100,4800
1999-07-19,1.916667,2.000000,1.916667,2.000000,0.936105,8400
1999-07-20,2.000000,2.000000,2.000000,2.000000,0.936105,4800
1999-07-21,1.937500,2.041667,1.937500,2.041667,0.955607,27600
1999-07-22,2.000000,2.125000,2.000000,2.041667,0.955607,19200
1999-07-23,2.041667,2.041667,2.041667,2.041667,0.955607,0
1999-07-26,2.041667,2.041667,2.041667,2.041667,0.955607,0
1999-07-27,2.020833,2.083333,2.020833,2.083333,0.975109,6000
1999-07-28,2.083333,2.083333,2.083333,2.083333,0.975109,4800
1999-07-29,2.031250,2.031250,2.031250,2.031250,0.950731,2400
1999-07-30,2.031250,2.031250,2.031250,2.031250,0.950731,0
1999-08-02,2.031250,2.031250,2.031250,2.031250,0.950731,0
1999-08-03,2.062500,2.062500,2.062500,2.062500,0.965358,7200
1999-08-04,2.020833,2.083333,2.020833,2.083333,0.975109,13200
1999-08-05,2.020833,2.031250,1.770833,1.770833,0.828842,45600
1999-08-06,1.770833,1.770833,1.770833,1.770833,0.828842,0
1999-08-09,1.770833,1.947917,1.770833,1.947917,0.911727,25200
1999-08-10,1.916667,1.916667,1.916667,1.916667,0.897100,2400
1999-08-11,1.770833,1.770833,1.770833,1.770833,0.828842,7200
1999-08-12,1.854167,1.854167,1.833333,1.833333,0.858096,10800
