Date,Open,High,Low,Close,Adj Close,Volume
2022-11-10,2.200000,2.810000,1.640000,2.250000,2.250000,3613400
2022-11-11,4.200000,4.360000,2.920000,3.000000,3.000000,20072500
2022-11-14,2.660000,3.500000,2.610000,3.370000,3.370000,1841300
2022-11-15,3.170000,3.568000,3.162000,3.350000,3.350000,920400
2022-11-16,3.250000,3.373000,2.980000,3.090000,3.090000,410800
2022-11-17,2.920000,3.320000,2.900000,3.050000,3.050000,336500
2022-11-18,3.130000,3.290000,3.037000,3.040000,3.040000,230900
2022-11-21,3.030000,3.210000,3.030000,3.085000,3.085000,193000
2022-11-22,3.100000,3.120000,2.860000,2.920000,2.920000,178800
2022-11-23,2.960000,3.560000,2.810000,2.850000,2.850000,1305000
2022-11-25,2.850000,2.900000,2.700000,2.840000,2.840000,30600
2022-11-28,2.740000,2.816000,2.500000,2.560000,2.560000,109100
2022-11-29,2.588000,2.735000,2.580000,2.650000,2.650000,126500
2022-11-30,2.650000,2.654000,2.250000,2.600000,2.600000,189200
2022-12-01,2.690000,2.690000,2.450000,2.590000,2.590000,66900
2022-12-02,2.560000,2.590000,2.411000,2.570000,2.570000,22600
2022-12-05,2.630000,2.630000,2.430000,2.490000,2.490000,43100
2022-12-06,2.455000,2.455000,2.220000,2.250000,2.250000,134600
2022-12-07,2.230000,2.592000,2.160000,2.260000,2.260000,425300
2022-12-08,2.280000,2.360000,2.150000,2.183000,2.183000,196100
2022-12-09,2.210000,2.260000,2.000000,2.000000,2.000000,143800
2022-12-12,2.020000,2.150000,2.020000,2.090000,2.090000,36000
2022-12-13,2.130000,2.130000,1.700000,1.800000,1.800000,179100
2022-12-14,1.850000,1.923000,1.800000,1.870000,1.870000,21800
2022-12-15,1.850000,1.910000,1.720000,1.740000,1.740000,54000
2022-12-16,1.600000,1.790000,1.440000,1.440000,1.440000,142400
2022-12-19,1.450000,1.605000,1.450000,1.450000,1.450000,46500
2022-12-20,1.490000,1.640000,1.430000,1.450000,1.450000,71200
2022-12-21,1.540000,1.600000,1.460000,1.460000,1.460000,57600
2022-12-22,1.460000,1.532000,1.400000,1.440000,1.440000,79300
2022-12-23,1.420000,1.493000,1.290000,1.300000,1.300000,36400
2022-12-27,1.280000,1.374000,1.280000,1.350000,1.350000,11600
2022-12-28,1.260000,1.546000,1.260000,1.470000,1.470000,112200
2022-12-29,1.500000,1.550000,1.450000,1.520000,1.520000,28900
2022-12-30,1.420000,1.659000,1.420000,1.470000,1.470000,38400
2023-01-03,1.550000,1.680000,1.260000,1.330000,1.330000,107400
2023-01-04,1.330000,1.547000,1.330000,1.502000,1.502000,43800
2023-01-05,1.510000,1.550000,1.430000,1.450000,1.450000,23300
2023-01-06,1.505000,1.620000,1.410000,1.510000,1.510000,35900
2023-01-09,1.460000,1.600000,1.460000,1.460000,1.460000,36100
2023-01-10,1.530000,1.540000,1.440000,1.460000,1.460000,43900
2023-01-11,1.570000,1.570000,1.470000,1.490000,1.490000,25400
2023-01-12,1.491000,1.810000,1.491000,1.710000,1.710000,156300
2023-01-13,1.900000,1.900000,1.700000,1.720000,1.720000,40700
2023-01-17,1.930000,1.930000,1.770000,1.830000,1.830000,49300
2023-01-18,1.890000,1.905000,1.720000,1.740000,1.740000,20200
2023-01-19,1.840000,1.840000,1.700000,1.740000,1.740000,13900
2023-01-20,1.780000,1.923000,1.740000,1.800000,1.800000,16100
2023-01-23,1.850000,1.850000,1.740000,1.760000,1.760000,36900
2023-01-24,1.750000,1.780000,1.700000,1.700000,1.700000,34100
2023-01-25,1.720000,1.750000,1.700000,1.720000,1.720000,17800
2023-01-26,1.720000,1.780000,1.670000,1.720000,1.720000,62500
2023-01-27,1.680000,1.800000,1.680000,1.710000,1.710000,76500
2023-01-30,1.740000,1.740000,1.690000,1.710000,1.710000,38200
2023-01-31,1.720000,1.830000,1.510000,1.600000,1.600000,170600
2023-02-01,1.710000,1.760000,1.610000,1.720000,1.720000,214200
2023-02-02,1.760000,1.800000,1.650000,1.700000,1.700000,90800
2023-02-03,1.710000,1.750000,1.700000,1.700000,1.700000,17500
2023-02-06,1.700000,1.750000,1.700000,1.720000,1.720000,55200
2023-02-07,1.710000,1.731000,1.620000,1.640000,1.640000,63900
2023-02-08,1.660000,1.760000,1.610000,1.740000,1.740000,24100
2023-02-09,1.760000,1.760000,1.635000,1.680000,1.680000,11800
2023-02-10,1.620000,1.620000,1.550000,1.580000,1.580000,17500
2023-02-13,1.597000,1.668000,1.590000,1.590000,1.590000,10500
2023-02-14,1.659000,1.659000,1.550000,1.610000,1.610000,15100
2023-02-15,1.570000,1.827000,1.570000,1.740000,1.740000,85000
2023-02-16,1.680000,1.790000,1.630000,1.720000,1.720000,36100
2023-02-17,1.750000,2.072000,1.660000,2.070000,2.070000,194400
2023-02-21,2.110000,2.110000,1.680000,1.760000,1.760000,116100
2023-02-22,1.910000,1.910000,1.610000,1.660000,1.660000,71800
2023-02-23,1.660000,1.770000,1.600000,1.670000,1.670000,123300
2023-02-24,1.650000,1.688000,1.550000,1.560000,1.560000,59600
2023-02-27,1.590000,1.635000,1.560000,1.580000,1.580000,17100
2023-02-28,1.650000,1.650000,1.560000,1.560000,1.560000,17700
2023-03-01,1.580000,1.610000,1.545000,1.590000,1.590000,10500
2023-03-02,1.570000,1.610000,1.560000,1.610000,1.610000,7300
2023-03-03,1.740000,1.740000,1.560000,1.600000,1.600000,17700
2023-03-06,1.580000,1.630000,1.560000,1.560000,1.560000,11000
2023-03-07,1.565000,1.590000,1.520000,1.520000,1.520000,11400
2023-03-08,1.530000,1.590000,1.450000,1.480000,1.480000,34200
2023-03-09,1.510000,1.620000,1.480000,1.520000,1.520000,11400
2023-03-10,1.502000,1.520000,1.400000,1.430000,1.430000,21400
2023-03-13,1.410000,1.430000,1.410000,1.410000,1.410000,3900
2023-03-14,1.429000,1.480000,1.400000,1.400000,1.400000,10900
2023-03-15,1.470000,1.470000,1.345000,1.380000,1.380000,11000
2023-03-16,1.320000,1.470000,1.310000,1.370000,1.370000,31900
2023-03-17,1.370000,1.397000,1.310000,1.320000,1.320000,12600
2023-03-20,1.310000,1.510000,1.310000,1.310000,1.310000,50100
2023-03-21,1.300000,1.410000,1.300000,1.330000,1.330000,16900
2023-03-22,1.390000,1.400000,1.350000,1.380000,1.380000,7300
2023-03-23,1.300000,1.400000,1.300000,1.350000,1.350000,17100
2023-03-24,1.350000,1.430000,1.350000,1.380000,1.380000,11100
2023-03-27,1.452000,1.480000,1.390000,1.430000,1.430000,14800
2023-03-28,1.430000,1.480000,1.390000,1.390000,1.390000,4600
2023-03-29,1.450000,1.463000,1.395000,1.395000,1.395000,7000
2023-03-30,1.400000,1.400000,1.310000,1.320000,1.320000,19400
2023-03-31,1.350000,1.350000,1.310000,1.330000,1.330000,5300
2023-04-03,1.240000,1.300000,1.240000,1.260000,1.260000,15900
2023-04-04,1.260000,1.284000,1.200000,1.200000,1.200000,9100
2023-04-05,1.220000,1.250000,1.110000,1.130000,1.130000,16800
2023-04-06,1.110000,1.150000,1.110000,1.111000,1.111000,8400
2023-04-10,1.140000,1.230000,1.140000,1.230000,1.230000,10400
2023-04-11,1.250000,1.250000,1.164000,1.175000,1.175000,5700
2023-04-12,1.160000,1.160000,1.110000,1.110000,1.110000,5400
2023-04-13,1.110000,1.400000,1.110000,1.390000,1.390000,56200
2023-04-14,1.380000,1.400000,1.246000,1.320000,1.320000,17400
2023-04-17,1.300000,1.300000,1.200000,1.230000,1.230000,21400
2023-04-18,1.250000,1.250000,1.102000,1.140000,1.140000,23300
2023-04-19,1.100000,1.250000,1.080000,1.130000,1.130000,38100
2023-04-20,1.110000,1.150000,1.060000,1.070000,1.070000,18700
2023-04-21,1.145000,1.230000,1.050000,1.071000,1.071000,11500
2023-04-24,1.180000,1.183000,1.100000,1.100000,1.100000,5200
2023-04-25,1.200000,1.200000,1.100000,1.130000,1.130000,15300
2023-04-26,1.136000,1.140000,1.090000,1.090000,1.090000,5200
2023-04-27,1.100000,1.129000,1.050000,1.129000,1.129000,13500
2023-04-28,1.170000,1.250000,1.150000,1.230000,1.230000,16100
2023-05-01,1.320000,1.350000,1.280000,1.320000,1.320000,19300
2023-05-02,1.340000,1.352000,1.220000,1.250000,1.250000,10800
2023-05-03,1.390000,1.638000,1.260000,1.290000,1.290000,117500
2023-05-04,1.280000,1.390000,1.280000,1.296000,1.296000,19300
2023-05-05,1.350000,1.350000,1.290000,1.300000,1.300000,5900
2023-05-08,1.310000,1.550000,1.275000,1.460000,1.460000,49000
2023-05-09,1.470000,1.677000,1.440000,1.570000,1.570000,52000
2023-05-10,1.740000,1.850000,1.600000,1.740000,1.740000,74900
2023-05-11,1.650000,1.693000,1.300000,1.390000,1.390000,30600
2023-05-12,1.410000,1.450000,1.383000,1.440000,1.440000,4700
2023-05-15,1.440000,1.530000,1.440000,1.465000,1.465000,4000
2023-05-16,1.490000,1.554000,1.440000,1.450000,1.450000,15900
2023-05-17,1.490000,1.490000,1.445000,1.450000,1.450000,3100
2023-05-18,1.460000,1.540000,1.440000,1.440000,1.440000,13400
2023-05-19,1.520000,1.700000,1.450000,1.520000,1.520000,67400
2023-05-22,1.470000,1.630000,1.460000,1.460000,1.460000,16100
2023-05-23,1.440000,1.530000,1.410000,1.520000,1.520000,5200
2023-05-24,1.480000,1.604000,1.480000,1.520000,1.520000,7100
2023-05-25,1.513000,1.590000,1.428000,1.550000,1.550000,10700
2023-05-26,1.510000,1.650000,1.467000,1.620000,1.620000,18800
2023-05-30,1.480000,1.650000,1.480000,1.650000,1.650000,8800
2023-05-31,1.600000,1.650000,1.500000,1.650000,1.650000,56100
2023-06-01,1.600000,1.600000,1.520000,1.570000,1.570000,7900
2023-06-02,1.590000,1.700000,1.570000,1.600000,1.600000,11200
2023-06-05,1.600000,1.600000,1.494000,1.590000,1.590000,17000
2023-06-06,1.590000,1.590000,1.565000,1.570000,1.570000,3600
2023-06-07,1.535000,1.640000,1.535000,1.640000,1.640000,4700
2023-06-08,1.560000,1.590000,1.560000,1.590000,1.590000,4700
2023-06-09,1.630000,1.630000,1.550000,1.550000,1.550000,3200
2023-06-12,1.570000,1.580000,1.510000,1.565000,1.565000,2300
2023-06-13,1.500000,1.640000,1.500000,1.590000,1.590000,11500
2023-06-14,1.560000,1.600000,1.560000,1.590000,1.590000,6000
2023-06-15,1.550000,1.610000,1.540000,1.605000,1.605000,2700
2023-06-16,1.540000,1.630000,1.510000,1.630000,1.630000,10500
2023-06-20,1.560000,1.630000,1.540000,1.580000,1.580000,8200
2023-06-21,1.630000,1.640000,1.590000,1.640000,1.640000,10100
2023-06-22,1.600000,1.640000,1.561000,1.630000,1.630000,5100
2023-06-23,1.610000,1.640000,1.600000,1.610000,1.610000,8400
2023-06-26,1.520000,1.650000,1.500000,1.620000,1.620000,19900
2023-06-27,1.661000,1.680000,1.540000,1.610000,1.610000,5800
2023-06-28,1.527000,1.580000,1.510000,1.570000,1.570000,5800
2023-06-29,1.480000,1.610000,1.480000,1.565000,1.565000,11600
2023-06-30,1.640000,1.640000,1.570000,1.590000,1.590000,4200
2023-07-03,1.630000,1.630000,1.520000,1.570000,1.570000,2900
2023-07-05,1.560000,1.560000,1.510000,1.560000,1.560000,7800
2023-07-06,1.510000,1.550000,1.510000,1.550000,1.550000,1900
2023-07-07,1.520000,1.600000,1.520000,1.570000,1.570000,2400
2023-07-10,1.590000,1.600000,1.580000,1.580000,1.580000,4200
2023-07-11,1.580000,1.580000,1.580000,1.580000,1.580000,200
2023-07-12,1.600000,1.700000,1.530000,1.650000,1.650000,75800
2023-07-13,2.120000,2.320000,1.950000,2.030000,2.030000,15107800
2023-07-14,1.850000,2.000000,1.760000,1.890000,1.890000,474200
2023-07-17,1.830000,1.990000,1.800000,1.970000,1.970000,131300
2023-07-18,1.910000,2.090000,1.910000,2.060000,2.060000,81200
2023-07-19,2.000000,2.060000,1.945000,1.945000,1.945000,30300
2023-07-20,2.000000,2.040000,1.890000,1.980000,1.980000,30900
2023-07-21,2.040000,2.050000,1.850000,1.900000,1.900000,57300
2023-07-24,1.860000,1.910000,1.830000,1.842000,1.842000,20600
2023-07-25,1.810000,1.960000,1.800000,1.800000,1.800000,29500
2023-07-26,1.760000,1.850000,1.760000,1.760000,1.760000,12200
2023-07-27,1.820000,1.870000,1.770000,1.840000,1.840000,24000
2023-07-28,1.830000,1.900000,1.782000,1.782000,1.782000,23800
2023-07-31,1.870000,1.890000,1.760000,1.870000,1.870000,11000
2023-08-01,1.850000,1.880000,1.750000,1.820000,1.820000,18000
2023-08-02,1.700000,1.840000,1.640000,1.720000,1.720000,26400
2023-08-03,1.660000,1.790000,1.660000,1.730000,1.730000,11200
2023-08-04,1.710000,1.710000,1.590000,1.590000,1.590000,12900
2023-08-07,1.590000,1.730000,1.586000,1.600000,1.600000,21300
2023-08-08,1.575000,1.785000,1.560000,1.725000,1.725000,105200
