Date,Open,High,Low,Close,Adj Close,Volume
2012-04-17,0.100000,0.100000,0.070000,0.100000,0.067222,26600
2012-04-18,0.140000,0.140000,0.140000,0.140000,0.094111,13000
2012-04-19,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-04-20,0.130000,0.160000,0.130000,0.160000,0.107556,18000
2012-04-23,0.150000,0.170000,0.150000,0.160000,0.107556,93900
2012-04-24,0.160000,0.200000,0.160000,0.180000,0.121000,27300
2012-04-25,0.190000,0.190000,0.180000,0.180000,0.121000,15200
2012-04-26,0.180000,0.180000,0.160000,0.160000,0.107556,1700
2012-04-27,0.160000,0.200000,0.160000,0.200000,0.134445,38000
2012-04-30,0.200000,0.260000,0.200000,0.260000,0.174778,128000
2012-05-01,0.210000,0.510000,0.210000,0.260000,0.174778,13000
2012-05-02,0.260000,0.260000,0.200000,0.240000,0.161333,45000
2012-05-03,0.240000,0.240000,0.240000,0.240000,0.161333,7200
2012-05-04,0.350000,0.350000,0.170000,0.350000,0.235278,1800
2012-05-07,0.350000,0.400000,0.240000,0.400000,0.268889,255000
2012-05-08,0.400000,0.400000,0.200000,0.390000,0.262167,2900
2012-05-09,0.370000,0.370000,0.220000,0.350000,0.235278,14400
2012-05-10,0.350000,0.350000,0.350000,0.350000,0.235278,0
2012-05-11,0.350000,0.350000,0.350000,0.350000,0.235278,0
2012-05-14,0.340000,0.340000,0.340000,0.340000,0.228556,500
2012-05-15,0.220000,0.300000,0.220000,0.220000,0.147889,13800
2012-05-16,0.220000,0.220000,0.220000,0.220000,0.147889,5100
2012-05-17,0.220000,0.220000,0.150000,0.190000,0.127722,22500
2012-05-18,0.230000,0.230000,0.160000,0.160000,0.107556,600
2012-05-21,0.200000,0.200000,0.200000,0.200000,0.134445,12300
2012-05-22,0.170000,0.230000,0.170000,0.230000,0.154611,5200
2012-05-23,0.240000,0.250000,0.230000,0.250000,0.168056,12800
2012-05-24,0.200000,0.200000,0.200000,0.200000,0.134445,500
2012-05-25,0.200000,0.200000,0.200000,0.200000,0.134445,600
2012-05-29,0.220000,0.220000,0.220000,0.220000,0.147889,400
2012-05-30,0.220000,0.220000,0.220000,0.220000,0.147889,2400
2012-05-31,0.250000,0.250000,0.250000,0.250000,0.168056,500
2012-06-01,0.250000,0.250000,0.250000,0.250000,0.168056,0
2012-06-04,0.220000,0.220000,0.220000,0.220000,0.147889,1400
2012-06-05,0.220000,0.220000,0.220000,0.220000,0.147889,5900
2012-06-06,0.220000,0.220000,0.220000,0.220000,0.147889,0
2012-06-07,0.220000,0.250000,0.220000,0.250000,0.168056,9000
2012-06-08,0.320000,0.320000,0.250000,0.250000,0.168056,4500
2012-06-11,0.190000,0.320000,0.170000,0.320000,0.215111,2800
2012-06-12,0.320000,0.320000,0.320000,0.320000,0.215111,0
2012-06-13,0.170000,0.250000,0.170000,0.250000,0.168056,9700
2012-06-14,0.250000,0.250000,0.200000,0.210000,0.141167,7300
2012-06-15,0.250000,0.300000,0.250000,0.290000,0.194945,25500
2012-06-18,0.300000,0.300000,0.170000,0.170000,0.114278,1600
2012-06-19,0.170000,0.170000,0.170000,0.170000,0.114278,0
2012-06-20,0.190000,0.290000,0.190000,0.290000,0.194945,700
2012-06-21,0.270000,0.270000,0.270000,0.270000,0.181500,1000
2012-06-22,0.250000,0.250000,0.250000,0.250000,0.168056,400
2012-06-25,0.200000,0.260000,0.200000,0.260000,0.174778,11400
2012-06-26,0.200000,0.200000,0.200000,0.200000,0.134445,1800
2012-06-27,0.200000,0.200000,0.200000,0.200000,0.134445,0
2012-06-28,0.160000,0.180000,0.150000,0.150000,0.100833,24300
2012-06-29,0.200000,0.200000,0.200000,0.200000,0.134445,900
2012-07-02,0.200000,0.200000,0.200000,0.200000,0.134445,500
2012-07-03,0.150000,0.150000,0.150000,0.150000,0.100833,5900
2012-07-05,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-07-06,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-07-09,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-07-10,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-07-11,0.130000,0.130000,0.130000,0.130000,0.087389,700
2012-07-12,0.130000,0.150000,0.130000,0.150000,0.100833,5200
2012-07-13,0.170000,0.170000,0.170000,0.170000,0.114278,1000
2012-07-16,0.170000,0.170000,0.170000,0.170000,0.114278,4600
2012-07-17,0.160000,0.160000,0.160000,0.160000,0.107556,900
2012-07-18,0.160000,0.160000,0.160000,0.160000,0.107556,0
2012-07-19,0.250000,0.250000,0.110000,0.230000,0.154611,3800
2012-07-20,0.240000,0.240000,0.240000,0.240000,0.161333,300
2012-07-23,0.100000,0.240000,0.100000,0.230000,0.154611,900
2012-07-24,0.230000,0.230000,0.230000,0.230000,0.154611,0
2012-07-25,0.230000,0.230000,0.230000,0.230000,0.154611,0
2012-07-26,0.240000,0.250000,0.240000,0.250000,0.168056,8500
2012-07-27,0.240000,0.240000,0.110000,0.240000,0.161333,1900
2012-07-30,0.120000,0.250000,0.120000,0.250000,0.168056,1300
2012-07-31,0.250000,0.250000,0.250000,0.250000,0.168056,0
2012-08-01,0.250000,0.250000,0.250000,0.250000,0.168056,0
2012-08-02,0.250000,0.250000,0.250000,0.250000,0.168056,0
2012-08-03,0.150000,0.160000,0.120000,0.160000,0.107556,5200
2012-08-06,0.160000,0.160000,0.160000,0.160000,0.107556,0
2012-08-07,0.240000,0.240000,0.240000,0.240000,0.161333,100
2012-08-08,0.150000,0.240000,0.150000,0.240000,0.161333,600
2012-08-09,0.240000,0.240000,0.240000,0.240000,0.161333,0
2012-08-10,0.240000,0.240000,0.240000,0.240000,0.161333,3000
2012-08-13,0.240000,0.240000,0.240000,0.240000,0.161333,0
2012-08-14,0.240000,0.240000,0.240000,0.240000,0.161333,200
2012-08-15,0.150000,0.240000,0.150000,0.240000,0.161333,15100
2012-08-16,0.150000,0.150000,0.150000,0.150000,0.100833,11000
2012-08-17,0.170000,0.170000,0.170000,0.170000,0.114278,12000
2012-08-20,0.170000,0.170000,0.170000,0.170000,0.114278,0
2012-08-21,0.170000,0.190000,0.170000,0.170000,0.114278,23700
2012-08-22,0.170000,0.170000,0.170000,0.170000,0.114278,0
2012-08-23,0.170000,0.170000,0.170000,0.170000,0.114278,300
2012-08-24,0.170000,0.170000,0.170000,0.170000,0.114278,0
2012-08-27,0.140000,0.140000,0.140000,0.140000,0.094111,600
2012-08-28,0.140000,0.140000,0.140000,0.140000,0.094111,7200
2012-08-29,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-08-30,0.140000,0.140000,0.140000,0.140000,0.094111,1000
2012-08-31,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-04,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-05,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-06,0.140000,0.140000,0.140000,0.140000,0.094111,1100
2012-09-07,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-10,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-11,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-12,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-13,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-09-14,0.190000,0.190000,0.180000,0.180000,0.121000,3200
2012-09-17,0.130000,0.130000,0.130000,0.130000,0.087389,300
2012-09-18,0.240000,0.240000,0.180000,0.180000,0.121000,1600
2012-09-19,0.180000,0.180000,0.140000,0.180000,0.121000,6200
2012-09-20,0.150000,0.240000,0.150000,0.240000,0.161333,12800
2012-09-21,0.240000,0.240000,0.240000,0.240000,0.161333,0
2012-09-24,0.130000,0.220000,0.130000,0.220000,0.147889,400
2012-09-25,0.220000,0.220000,0.220000,0.220000,0.147889,0
2012-09-26,0.220000,0.220000,0.220000,0.220000,0.147889,0
2012-09-27,0.220000,0.220000,0.220000,0.220000,0.147889,0
2012-09-28,0.050000,0.200000,0.050000,0.200000,0.134445,400
2012-10-01,0.200000,0.200000,0.200000,0.200000,0.134445,0
2012-10-02,0.200000,0.200000,0.200000,0.200000,0.134445,0
2012-10-03,0.200000,0.200000,0.050000,0.180000,0.121000,2300
2012-10-04,0.180000,0.180000,0.180000,0.180000,0.121000,0
2012-10-05,0.160000,0.210000,0.060000,0.210000,0.141167,11200
2012-10-08,0.110000,0.200000,0.110000,0.200000,0.134445,11200
2012-10-09,0.200000,0.200000,0.200000,0.200000,0.134445,13000
2012-10-10,0.200000,0.200000,0.200000,0.200000,0.134445,0
2012-10-11,0.150000,0.190000,0.130000,0.190000,0.127722,34700
2012-10-12,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-15,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-16,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-17,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-18,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-19,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-22,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-23,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-24,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-25,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-26,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-10-31,0.190000,0.190000,0.190000,0.190000,0.127722,0
2012-11-01,0.170000,0.170000,0.170000,0.170000,0.114278,300
2012-11-02,0.110000,0.170000,0.110000,0.170000,0.114278,1600
2012-11-05,0.110000,0.110000,0.110000,0.110000,0.073944,1300
2012-11-06,0.110000,0.170000,0.110000,0.170000,0.114278,12300
2012-11-07,0.120000,0.170000,0.070000,0.170000,0.114278,10800
2012-11-08,0.160000,0.160000,0.110000,0.120000,0.080667,50800
2012-11-09,0.070000,0.150000,0.070000,0.150000,0.100833,1300
2012-11-12,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-11-13,0.070000,0.140000,0.070000,0.140000,0.094111,7000
2012-11-14,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-11-15,0.150000,0.150000,0.150000,0.150000,0.100833,2000
2012-11-16,0.150000,0.150000,0.150000,0.150000,0.100833,700
2012-11-19,0.090000,0.150000,0.070000,0.150000,0.100833,6600
2012-11-20,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-11-21,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-11-23,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-11-26,0.150000,0.150000,0.150000,0.150000,0.100833,0
2012-11-27,0.140000,0.140000,0.140000,0.140000,0.094111,400
2012-11-28,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-11-29,0.140000,0.140000,0.140000,0.140000,0.094111,1200
2012-11-30,0.140000,0.140000,0.140000,0.140000,0.094111,0
2012-12-03,0.080000,0.130000,0.080000,0.130000,0.087389,700
2012-12-04,0.130000,0.130000,0.130000,0.130000,0.087389,0
2012-12-05,0.130000,0.130000,0.130000,0.130000,0.087389,0
2012-12-06,0.130000,0.130000,0.130000,0.130000,0.087389,0
2012-12-07,0.110000,0.110000,0.070000,0.110000,0.073944,3300
2012-12-10,0.100000,0.100000,0.100000,0.100000,0.067222,5000
2012-12-11,0.100000,0.100000,0.100000,0.100000,0.067222,0
2012-12-12,0.100000,0.100000,0.100000,0.100000,0.067222,0
2012-12-13,0.070000,0.140000,0.070000,0.140000,0.094111,12800
2012-12-14,0.050000,0.140000,0.050000,0.140000,0.094111,22700
2012-12-17,0.050000,0.100000,0.050000,0.100000,0.067222,2000
