Date,Open,High,Low,Close,Adj Close,Volume
2021-03-12,9.470000,10.490000,7.840000,10.000000,10.000000,1109000
2021-03-15,10.900000,11.790000,10.400000,11.180000,11.180000,2174000
2021-03-16,11.180000,11.320000,9.650000,10.850000,10.850000,631800
2021-03-17,10.600000,10.990000,10.370000,10.990000,10.990000,150800
2021-03-18,10.980000,10.980000,10.300000,10.360000,10.360000,136100
2021-03-19,10.210000,10.850000,10.210000,10.850000,10.850000,82000
2021-03-22,10.850000,11.240000,10.700000,10.800000,10.800000,110500
2021-03-23,10.500000,10.890000,10.187000,10.230000,10.230000,107600
2021-03-24,10.230000,10.617000,9.360000,9.490000,9.490000,145000
2021-03-25,9.500000,9.599000,9.000000,9.120000,9.120000,92900
2021-03-26,9.180000,9.310000,8.880000,9.010000,9.010000,96100
2021-03-29,9.290000,9.920000,9.290000,9.750000,9.750000,98000
2021-03-30,9.990000,9.990000,9.510000,9.620000,9.620000,111800
2021-03-31,9.670000,9.670000,9.300000,9.330000,9.330000,60900
2021-04-01,9.520000,9.620000,9.040000,9.340000,9.340000,56200
2021-04-05,9.900000,9.920000,9.520000,9.650000,9.650000,50300
2021-04-06,9.700000,9.790000,9.500000,9.720000,9.720000,31500
2021-04-07,9.700000,9.715000,9.360000,9.370000,9.370000,34900
2021-04-08,9.630000,9.634000,9.400000,9.510000,9.510000,17200
2021-04-09,9.700000,9.760000,9.510000,9.590000,9.590000,26400
2021-04-12,9.590000,9.590000,9.090000,9.230000,9.230000,41600
2021-04-13,9.330000,9.330000,8.880000,8.900000,8.900000,34700
2021-04-14,9.100000,9.100000,8.400000,8.560000,8.560000,78500
2021-04-15,8.770000,8.831000,8.390000,8.390000,8.390000,41000
2021-04-16,8.500000,8.920000,8.370000,8.870000,8.870000,38400
2021-04-19,8.980000,8.980000,8.300000,8.340000,8.340000,46100
2021-04-20,8.400000,8.622000,8.050000,8.200000,8.200000,64300
2021-04-21,8.080000,8.100000,7.550000,7.880000,7.880000,80600
2021-04-22,7.700000,8.130000,7.630000,7.700000,7.700000,64800
2021-04-23,7.800000,7.800000,7.610000,7.770000,7.770000,30300
2021-04-26,8.110000,8.430000,7.922000,8.306000,8.306000,48200
2021-04-27,8.500000,8.800000,8.430000,8.690000,8.690000,29700
2021-04-28,8.700000,8.720000,8.290000,8.425000,8.425000,45000
2021-04-29,8.600000,9.290000,8.280000,9.290000,9.290000,18900
2021-04-30,9.030000,9.030000,8.498000,8.620000,8.620000,23400
2021-05-03,8.700000,8.700000,8.097000,8.170000,8.170000,49500
2021-05-04,7.860000,7.890000,7.650000,7.800000,7.800000,50800
2021-05-05,7.900000,8.080000,7.715000,7.770000,7.770000,34800
2021-05-06,7.970000,8.170000,7.780000,7.950000,7.950000,25100
